format=0 tracks=1 division=480

BA    4   CR     2+1/2   TR  0   CH  1   NT  A            9/10
BA    4   CR     2+1/2   TR  0   CH  3   NT  A--          9/20
BA    4   CR     2+1/2   TR  0   CH 10   NT  C--          1/48
BA    4   CR     2+1/2   TR  0   CH 10   NT  D--          1/48
BA    4   CR         3   TR  0   CH  3   NT  A--          9/40
BA    4   CR         3   TR  0   CH 10   NT  F#--         1/48
BA    4   CR         3   TR  0   CH 10   NT  D--          1/48
BA    4   CR     3+1/4   TR  0   CH  3   NT  G-           9/40
BA    4   CR     3+1/2   TR  0   CH  1   NT  G            9/20
BA    4   CR     3+1/2   TR  0   CH  3   NT  E-           9/40
BA    4   CR     3+1/2   TR  0   CH 10   NT  C--          1/48
BA    4   CR     3+3/4   TR  0   CH  3   NT  G-           9/40

BA    5   CR         0   TR  0   CH  1   NT  F#           9/40
BA    5   CR         0   TR  0   CH  2   NT  E            9/40
BA    5   CR         0   TR  0   CH  3   NT  F#--         9/20
BA    5   CR         0   TR  0   CH 10   NT  C--          1/48
BA    5   CR         0   TR  0   CH 10   NT  F#--         1/48
BA    5   CR         0   TR  0   CH 10   NT  D--          1/48
BA    5   CR       1/4   TR  0   CH  1   NT  F#           9/40
BA    5   CR       1/4   TR  0   CH  2   NT  E            9/40
BA    5   CR       1/2   TR  0   CH  1   NT  E            9/40
BA    5   CR       1/2   TR  0   CH  2   NT  E            9/40
BA    5   CR       1/2   TR  0   CH  3   NT  A--          9/40
BA    5   CR       1/2   TR  0   CH 10   NT  C--          1/48
BA    5   CR       3/4   TR  0   CH  1   NT  F#           9/40
BA    5   CR       3/4   TR  0   CH  2   NT  E            9/40
BA    5   CR         1   TR  0   CH  3   NT  C#-          9/20
BA    5   CR         1   TR  0   CH 10   NT  F#--         1/48
BA    5   CR         1   TR  0   CH 10   NT  D--          1/48
BA    5   CR     1+1/4   TR  0   CH 10   NT  C--          1/48
BA    5   CR     1+3/8   TR  0   CH  1   NT  F#           9/80
BA    5   CR     1+1/2   TR  0   CH  1   NT  Bb           9/20
BA    5   CR     1+1/2   TR  0   CH  2   NT  F#           9/20
BA    5   CR     1+1/2   TR  0   CH  3   NT  F#--         9/40
BA    5   CR     1+1/2   TR  0   CH 10   NT  D--          1/48
BA    5   CR     1+3/4   TR  0   CH  3   NT  F#--         7/10
BA    5   CR     1+3/4   TR  0   CH 10   NT  D--          1/48
BA    5   CR         2   TR  0   CH 10   NT  C--          1/48
BA    5   CR         2   TR  0   CH 10   NT  F#--         1/48
BA    5   CR     2+1/2   TR  0   CH  1   NT  F#           9/20
BA    5   CR     2+1/2   TR  0   CH  2   NT  Eb           9/20
BA    5   CR     2+1/2   TR  0   CH  3   NT  G#--         9/20
BA    5   CR     2+1/2   TR  0   CH 10   NT  C--          1/48
BA    5   CR     2+1/2   TR  0   CH 10   NT  D--          1/48
BA    5   CR         3   TR  0   CH 10   NT  F#--         1/48
BA    5   CR         3   TR  0   CH 10   NT  D--          1/48
BA    5   CR     3+1/2   TR  0   CH  1   NT  E            9/20
BA    5   CR     3+1/2   TR  0   CH  2   NT  C#           9/20
BA    5   CR     3+1/2   TR  0   CH  3   NT  Bb--         9/20
BA    5   CR     3+1/2   TR  0   CH 10   NT  C--          1/48
BA    5   CR     3+1/2   TR  0   CH 10   NT  D--          1/48
BA    5   CR     3+3/4   TR  0   CH 10   NT  D--          1/48

BA    6   CR         0   TR  0   CH  1   NT  B            9/40
BA    6   CR         0   TR  0   CH  2   Instrument 40
BA    6   CR         0   TR  0   CH  2   NT  D           1+4/5
BA    6   CR         0   TR  0   CH  3   NT  D-           9/20
BA    6   CR         0   TR  0   CH 10   NT  C--          1/48
BA    6   CR         0   TR  0   CH 10   NT  F#--         1/48
BA    6   CR         0   TR  0   CH 10   NT  C#-          1/48
BA    6   CR         0   TR  0   CH 10   NT  D--          1/48
BA    6   CR       1/2   TR  0   CH  1   NT  D'           9/40
BA    6   CR       1/2   TR  0   CH  3   NT  A-           9/40
BA    6   CR       1/2   TR  0   CH 10   NT  C--          1/48
BA    6   CR         1   TR  0   CH  1   NT  F#'          9/40
BA    6   CR         1   TR  0   CH  3   NT  F#-          9/20
BA    6   CR         1   TR  0   CH 10   NT  F#--         1/48
BA    6   CR         1   TR  0   CH 10   NT  D--          1/48
BA    6   CR     1+1/4   TR  0   CH  1   NT  A'          27/40
BA    6   CR     1+1/4   TR  0   CH 10   NT  C--          1/48
BA    6   CR     1+1/2   TR  0   CH  3   NT  D-           9/40
BA    6   CR     1+3/4   TR  0   CH  3   NT  D-           7/10
BA    6   CR     1+3/4   TR  0   CH 10   NT  D--          1/48
BA    6   CR         2   TR  0   CH  1   NT  B'           9/10
BA    6   CR         2   TR  0   CH  2   NT  D'           9/40
BA    6   CR         2   TR  0   CH 10   NT  C--          1/48
BA    6   CR         2   TR  0   CH 10   NT  F#--         1/48
BA    6   CR     2+1/2   TR  0   CH  2   NT  E'           9/40
BA    6   CR     2+1/2   TR  0   CH  3   NT  F#-          9/20
BA    6   CR     2+1/2   TR  0   CH 10   NT  C--          1/48
BA    6   CR     2+1/2   TR  0   CH 10   NT  D--          1/48
BA    6   CR         3   TR  0   CH  2   NT  F#'          9/40
BA    6   CR         3   TR  0   CH  3   NT  A-           9/40
BA    6   CR         3   TR  0   CH 10   NT  F#--         1/48
BA    6   CR         3   TR  0   CH 10   NT  D--          1/48
BA    6   CR     3+1/4   TR  0   CH  1   NT  A'           9/40
BA    6   CR     3+1/4   TR  0   CH  2   NT  D'          27/40
BA    6   CR     3+1/4   TR  0   CH  3   NT  D-          27/40
BA    6   CR     3+1/2   TR  0   CH  1   NT  B'           9/40
BA    6   CR     3+1/2   TR  0   CH 10   NT  C--          1/48
BA    6   CR     3+3/4   TR  0   CH  1   NT  C#''         9/40

BA    7   CR         0   TR  0   CH  1   NT  D''          9/40
BA    7   CR         0   TR  0   CH  2   NT  E           1+4/5
BA    7   CR         0   TR  0   CH  3   NT  E-           9/20
BA    7   CR         0   TR  0   CH 10   NT  C--          1/48
BA    7   CR         0   TR  0   CH 10   NT  F#--         1/48
BA    7   CR         0   TR  0   CH 10   NT  D--          1/48
BA    7   CR       1/2   TR  0   CH  1   NT  C#''         9/40
BA    7   CR       1/2   TR  0   CH  3   NT  G#-          9/40
BA    7   CR       1/2   TR  0   CH 10   NT  C--          1/48
BA    7   CR         1   TR  0   CH  1   NT  D''          9/40
BA    7   CR         1   TR  0   CH  3   NT  B-           9/20
BA    7   CR         1   TR  0   CH 10   NT  F#--         1/48
BA    7   CR         1   TR  0   CH 10   NT  D--          1/48
BA    7   CR     1+1/4   TR  0   CH  1   NT  C#''        27/40
BA    7   CR     1+1/4   TR  0   CH 10   NT  C--          1/48
BA    7   CR     1+1/2   TR  0   CH  3   NT  E-           9/40
BA    7   CR     1+3/4   TR  0   CH  3   NT  E-           7/10
BA    7   CR     1+3/4   TR  0   CH 10   NT  D--          1/48
BA    7   CR         2   TR  0   CH  1   NT  B'          1+4/5
BA    7   CR         2   TR  0   CH  2   NT  B            9/40
BA    7   CR         2   TR  0   CH 10   NT  C--          1/48
BA    7   CR         2   TR  0   CH 10   NT  F#--         1/48
BA    7   CR     2+1/2   TR  0   CH  2   NT  C#'          9/40
BA    7   CR     2+1/2   TR  0   CH  3   NT  D-           9/20
BA    7   CR     2+1/2   TR  0   CH 10   NT  C--          1/48
BA    7   CR     2+1/2   TR  0   CH 10   NT  D--          1/48
BA    7   CR         3   TR  0   CH  2   NT  D'           9/40
BA    7   CR         3   TR  0   CH  3   NT  B--          9/20
BA    7   CR         3   TR  0   CH 10   NT  F#--         1/48
BA    7   CR         3   TR  0   CH 10   NT  D--          1/48
BA    7   CR     3+1/4   TR  0   CH  2   NT  B           27/40
BA    7   CR     3+1/4   TR  0   CH  3   NT  G#--        27/40
BA    7   CR 3+197/480   TR  0   CH  1   ST &E0 &5B &3F
BA    7   CR 3+227/480   TR  0   CH  1   ST &E0 &7B &38
BA    7   CR     3+1/2   TR  0   CH 10   NT  C--          1/48
