format=1 tracks=8 division=240

BA   14   CR         0   TR  6   CH  4   NT  F             2/5
BA   14   CR         0   TR  6   CH  4   NT  Bb-           2/5
BA   14   CR         1   TR  1   CH 10   NT  E--           4/5
BA   14   CR         1   TR  3   CH  2   NT  D'            4/5
BA   14   CR         1   TR  6   CH  4   NT  D             4/5
BA   14   CR         1   TR  6   CH  4   NT  Bb-           4/5
BA   14   CR         1   TR  6   CH  4   NT  F             4/5
BA   14   CR     1+5/8   TR  2   CH  1   NT  Bb--         4/15
BA   14   CR   1+23/24   TR  2   CH  1   NT  Bb--          2/5
BA   14   CR         2   TR  1   CH 10   NT  C--          8/15
BA   14   CR         2   TR  3   CH  2   NT  Bb        113/240
BA   14   CR         2   TR  6   CH  4   NT  Bb-           2/5
BA   14   CR         2   TR  6   CH  4   NT  F             2/5
BA   14   CR         2   TR  6   CH  4   NT  D             2/5
BA   14   CR     2+2/3   TR  1   CH 10   NT  C--          4/15
BA   14   CR         3   TR  1   CH 10   NT  E--           4/5
BA   14   CR         3   TR  3   CH  2   NT  G             4/5
BA   14   CR         3   TR  6   CH  4   NT  Bb-           4/5
BA   14   CR         3   TR  6   CH  4   NT  D             4/5
BA   14   CR         3   TR  6   CH  4   NT  F             4/5
BA   14   CR   3+17/24   TR  2   CH  1   NT  Bb--         4/15

BA   15   CR         0   TR  1   CH 10   NT  C--           4/5
BA   15   CR         0   TR  2   CH  1   NT  C-            2/5
BA   15   CR         0   TR  3   CH  2   NT  C'            4/5
BA   15   CR         0   TR  6   CH  4   NT  E             2/5
BA   15   CR         0   TR  6   CH  4   NT  C             2/5
BA   15   CR         0   TR  6   CH  4   NT  G             2/5
BA   15   CR         1   TR  1   CH 10   NT  E--           4/5
BA   15   CR         1   TR  6   CH  4   NT  E             4/5
BA   15   CR         1   TR  6   CH  4   NT  C             4/5
BA   15   CR         1   TR  6   CH  4   NT  G             4/5
BA   15   CR     1+5/8   TR  2   CH  1   NT  C-           4/15
BA   15   CR   1+23/24   TR  2   CH  1   NT  Bb--          2/5
BA   15   CR         2   TR  1   CH 10   NT  C--          8/15
BA   15   CR         2   TR  6   CH  4   NT  Bb-           2/5
BA   15   CR         2   TR  6   CH  4   NT  D             2/5
BA   15   CR         2   TR  6   CH  4   NT  F             2/5
BA   15   CR     2+2/3   TR  1   CH 10   NT  C--          4/15
BA   15   CR         3   TR  1   CH 10   NT  E--           4/5
BA   15   CR         3   TR  6   CH  4   NT  Bb-           4/5
BA   15   CR         3   TR  6   CH  4   NT  D             4/5
BA   15   CR         3   TR  6   CH  4   NT  F             4/5
BA   15   CR   3+17/24   TR  2   CH  1   NT  Bb--         4/15

BA   16   CR         0   TR  1   CH 10   NT  C--           4/5
BA   16   CR         0   TR  2   CH  1   NT  C-            2/5
BA   16   CR         0   TR  6   CH  4   NT  E             2/5
BA   16   CR         0   TR  6   CH  4   NT  G             2/5
BA   16   CR         0   TR  6   CH  4   NT  C             2/5
BA   16   CR         1   TR  1   CH 10   NT  E--           4/5
BA   16   CR         1   TR  6   CH  4   NT  C             4/5
BA   16   CR         1   TR  6   CH  4   NT  E             4/5
BA   16   CR         1   TR  6   CH  4   NT  G             4/5
BA   16   CR     1+5/8   TR  2   CH  1   NT  C-           4/15
BA   16   CR   1+23/24   TR  2   CH  1   NT  Bb--          2/5
BA   16   CR         2   TR  1   CH 10   NT  C--          8/15
BA   16   CR         2   TR  6   CH  4   NT  D             2/5
BA   16   CR         2   TR  6   CH  4   NT  Bb-           2/5
BA   16   CR         2   TR  6   CH  4   NT  F             2/5
BA   16   CR     2+2/3   TR  1   CH 10   NT  C--          4/15
BA   16   CR         3   TR  1   CH 10   NT  E--          8/15
BA   16   CR         3   TR  6   CH  4   NT  F             4/5
BA   16   CR         3   TR  6   CH  4   NT  D             4/5
BA   16   CR         3   TR  6   CH  4   NT  Bb-           4/5
BA   16   CR     3+2/3   TR  1   CH 10   NT  E--          4/15
BA   16   CR   3+17/24   TR  2   CH  1   NT  Bb--         4/15

BA   17   CR         0   TR  1   CH 10   NT  C--           4/5
BA   17   CR         0   TR  2   CH  1   NT  C-            2/5
BA   17   CR         0   TR  4   CH  3   NT  C'            2/5   von=90
BA   17   CR         0   TR  6   CH  4   NT  C'            2/5
BA   17   CR         0   TR  6   CH  4   NT  E             2/5
BA   17   CR         0   TR  6   CH  4   NT  G             2/5
BA   17   CR         0   TR  6   CH  4   NT  C             2/5
BA   17   CR         1   TR  1   CH 10   NT  E--           4/5
BA   17   CR         1   TR  4   CH  3   NT  C'            4/5
BA   17   CR         1   TR  6   CH  4   NT  G             4/5
BA   17   CR         1   TR  6   CH  4   NT  E             4/5
BA   17   CR         1   TR  6   CH  4   NT  C             4/5
BA   17   CR         1   TR  6   CH  4   NT  C'            4/5
BA   17   CR     1+5/8   TR  2   CH  1   NT  C-           4/15
BA   17   CR   1+23/24   TR  2   CH  1   NT  Bb--          2/5
BA   17   CR         2   TR  1   CH 10   NT  C--          8/15
BA   17   CR         2   TR  4   CH  3   NT  Bb        113/240
BA   17   CR         2   TR  6   CH  4   NT  Bb            2/5
BA   17   CR         2   TR  6   CH  4   NT  F             2/5
BA   17   CR         2   TR  6   CH  4   NT  Bb-           2/5
BA   17   CR         2   TR  6   CH  4   NT  D             2/5
BA   17   CR     2+2/3   TR  1   CH 10   NT  C--          4/15
BA   17   CR         3   TR  1   CH 10   NT  E--           4/5
BA   17   CR         3   TR  4   CH  3   NT  G             4/5
BA   17   CR         3   TR  6   CH  4   NT  D             4/5
BA   17   CR         3   TR  6   CH  4   NT  F             4/5
BA   17   CR         3   TR  6   CH  4   NT  Bb            4/5
BA   17   CR         3   TR  6   CH  4   NT  Bb-           4/5
BA   17   CR   3+17/24   TR  2   CH  1   NT  Bb--         4/15

BA   18   CR         0   TR  1   CH 10   NT  C--           4/5
BA   18   CR         0   TR  2   CH  1   NT  C-            2/5
BA   18   CR         0   TR  4   CH  3   NT  C'            2/5
BA   18   CR         0   TR  6   CH  4   NT  C'            2/5
BA   18   CR         0   TR  6   CH  4   NT  E             2/5
BA   18   CR         0   TR  6   CH  4   NT  C             2/5
BA   18   CR         0   TR  6   CH  4   NT  G             2/5
BA   18   CR         1   TR  1   CH 10   NT  E--           4/5
BA   18   CR         1   TR  4   CH  3   NT  C'            4/5
BA   18   CR         1   TR  6   CH  4   NT  C             4/5
BA   18   CR         1   TR  6   CH  4   NT  E             4/5
BA   18   CR         1   TR  6   CH  4   NT  G             4/5
BA   18   CR         1   TR  6   CH  4   NT  C'            4/5
BA   18   CR     1+5/8   TR  2   CH  1   NT  C-           4/15
BA   18   CR   1+23/24   TR  2   CH  1   NT  Bb--          2/5
BA   18   CR         2   TR  1   CH 10   NT  C--          8/15
BA   18   CR         2   TR  4   CH  3   NT  Bb        113/240
BA   18   CR         2   TR  6   CH  4   NT  Bb-           2/5
BA   18   CR         2   TR  6   CH  4   NT  Bb            2/5
BA   18   CR         2   TR  6   CH  4   NT  F             2/5
BA   18   CR         2   TR  6   CH  4   NT  D             2/5
BA   18   CR     2+2/3   TR  1   CH 10   NT  C--          4/15
BA   18   CR         3   TR  1   CH 10   NT  E--           4/5
BA   18   CR         3   TR  4   CH  3   NT  G             4/5
BA   18   CR         3   TR  6   CH  4   NT  Bb            4/5
BA   18   CR         3   TR  6   CH  4   NT  Bb-           4/5
BA   18   CR         3   TR  6   CH  4   NT  F             4/5
BA   18   CR         3   TR  6   CH  4   NT  D             4/5
BA   18   CR   3+17/24   TR  2   CH  1   NT  Bb--         4/15

BA   19   CR         0   TR  1   CH 10   NT  C--           4/5
BA   19   CR         0   TR  2   CH  1   NT  C-            2/5
BA   19   CR         0   TR  4   CH  3   NT  C'            4/5
BA   19   CR         0   TR  6   CH  4   NT  C'            2/5
BA   19   CR         0   TR  6   CH  4   NT  C             2/5
BA   19   CR         0   TR  6   CH  4   NT  G             2/5
BA   19   CR         0   TR  6   CH  4   NT  E             2/5
BA   19   CR         1   TR  1   CH 10   NT  E--           4/5
BA   19   CR         1   TR  6   CH  4   NT  C             4/5
BA   19   CR         1   TR  6   CH  4   NT  E             4/5
BA   19   CR         1   TR  6   CH  4   NT  G             4/5
BA   19   CR         1   TR  6   CH  4   NT  C'            4/5
BA   19   CR     1+5/8   TR  2   CH  1   NT  C-           4/15
BA   19   CR   1+23/24   TR  2   CH  1   NT  Bb--          2/5
BA   19   CR         2   TR  1   CH 10   NT  C--          8/15
BA   19   CR         2   TR  6   CH  4   NT  F             2/5
BA   19   CR         2   TR  6   CH  4   NT  Bb            2/5
BA   19   CR         2   TR  6   CH  4   NT  Bb-           2/5
BA   19   CR         2   TR  6   CH  4   NT  D             2/5
BA   19   CR     2+2/3   TR  1   CH 10   NT  C--          4/15
BA   19   CR         3   TR  1   CH 10   NT  E--           4/5
BA   19   CR         3   TR  6   CH  4   NT  Bb-           4/5
BA   19   CR         3   TR  6   CH  4   NT  F             4/5
BA   19   CR         3   TR  6   CH  4   NT  Bb            4/5
BA   19   CR         3   TR  6   CH  4   NT  D             4/5
BA   19   CR   3+17/24   TR  2   CH  1   NT  Bb--         4/15

BA   20   CR         0   TR  1   CH 10   NT  C--           4/5
BA   20   CR         0   TR  2   CH  1   NT  C-            2/5
BA   20   CR         0   TR  6   CH  4   NT  C'            2/5
BA   20   CR         0   TR  6   CH  4   NT  C             2/5
BA   20   CR         0   TR  6   CH  4   NT  G             2/5
BA   20   CR         0   TR  6   CH  4   NT  E             2/5
BA   20   CR         1   TR  1   CH 10   NT  E--           4/5
BA   20   CR         1   TR  6   CH  4   NT  C             4/5
BA   20   CR         1   TR  6   CH  4   NT  E             4/5
BA   20   CR         1   TR  6   CH  4   NT  G             4/5
BA   20   CR         1   TR  6   CH  4   NT  C'            4/5
BA   20   CR     1+5/8   TR  2   CH  1   NT  C-           4/15
BA   20   CR   1+23/24   TR  2   CH  1   NT  Bb--          2/5
BA   20   CR         2   TR  1   CH 10   NT  C--          8/15
BA   20   CR         2   TR  6   CH  4   NT  Bb-           2/5
BA   20   CR         2   TR  6   CH  4   NT  Bb            2/5
BA   20   CR         2   TR  6   CH  4   NT  F             2/5
BA   20   CR         2   TR  6   CH  4   NT  D             2/5
BA   20   CR     2+2/3   TR  1   CH 10   NT  C--          4/15
BA   20   CR         3   TR  1   CH 10   NT  E--          8/15
BA   20   CR         3   TR  6   CH  4   NT  Bb-           4/5
BA   20   CR         3   TR  6   CH  4   NT  D             4/5
