format=1 tracks=17 division=960

BA   11   CR     2+1/2   TR  2   CH 10   NT  F#--          1/2
BA   11   CR     2+3/4   TR  1   CH  1   NT  A#--          1/4
BA   11   CR         3   TR  1   CH  1   NT  C#-           1/2
BA   11   CR         3   TR  2   CH 10   NT  C#--          1/2
BA   11   CR         3   TR  2   CH 10   NT  F#--          1/2
BA   11   CR     3+1/2   TR  1   CH  1   NT  F#-           1/2
BA   11   CR     3+1/2   TR  2   CH 10   NT  F#--          1/2

BA   12   CR         0   TR  1   CH  1   NT  F#-           1/4
BA   12   CR         0   TR  2   CH 10   NT  B#---         1/2
BA   12   CR         0   TR  2   CH 10   NT  F#--          1/2
BA   12   CR       1/4   TR  1   CH  1   NT  E#-           1/4
BA   12   CR       1/2   TR  1   CH  1   NT  B#'           1/2
BA   12   CR       1/2   TR  1   CH  1   NT  D#-           1/4
BA   12   CR       1/2   TR  2   CH 10   NT  F#--          1/2
BA   12   CR       3/4   TR  1   CH  1   NT  C#-           1/4
BA   12   CR         1   TR  1   CH  1   NT  B#''          1/2
BA   12   CR         1   TR  1   CH  1   NT  A#--          1/4
BA   12   CR         1   TR  2   CH 10   NT  C#--          1/2
BA   12   CR         1   TR  2   CH 10   NT  F#--          1/2
BA   12   CR     1+1/4   TR  1   CH  1   NT  B#--          1/4
BA   12   CR     1+1/2   TR  1   CH  1   NT  B#'           1/2
BA   12   CR     1+1/2   TR  1   CH  1   NT  C#-           1/4
BA   12   CR     1+1/2   TR  2   CH 10   NT  F#--          1/2
BA   12   CR     1+3/4   TR  1   CH  1   NT  A#--          1/4
BA   12   CR         2   TR  1   CH  1   NT  A#''          1/2
BA   12   CR         2   TR  1   CH  1   NT  D#-           1/2
BA   12   CR         2   TR  2   CH 10   NT  B#---         1/2
BA   12   CR         2   TR  2   CH 10   NT  F#--          1/2
BA   12   CR     2+1/2   TR  1   CH  1   NT  G#'           1/2
BA   12   CR     2+1/2   TR  2   CH 10   NT  F#--          1/2
BA   12   CR         3   TR  1   CH  1   NT  G#''          1/2
BA   12   CR         3   TR  2   CH 10   NT  C#--          1/2
BA   12   CR         3   TR  2   CH 10   NT  F#--          1/2
BA   12   CR     3+1/2   TR  2   CH 10   NT  F#--          1/2

BA   13   CR         0   TR  1   CH  1   NT  C#--          3/4
BA   13   CR         0   TR  2   CH 10   NT  B#---         1/2
BA   13   CR         0   TR  2   CH 10   NT  F#--          1/2
BA   13   CR       1/2   TR  2   CH 10   NT  F#--          1/2
BA   13   CR       3/4   TR  1   CH  1   NT  E#--          1/4
BA   13   CR         1   TR  1   CH  1   NT  G#--          1/2
BA   13   CR         1   TR  2   CH 10   NT  C#--          1/2
BA   13   CR         1   TR  2   CH 10   NT  F#--          1/2
BA   13   CR     1+1/2   TR  1   CH  1   NT  C#-           1/2
BA   13   CR     1+1/2   TR  2   CH 10   NT  F#--          1/2
BA   13   CR         2   TR  1   CH  1   NT  B#--          1/2
BA   13   CR         2   TR  2   CH 10   NT  B#---         1/2
BA   13   CR         2   TR  2   CH 10   NT  F#--          1/2
BA   13   CR     2+1/2   TR  1   CH  1   NT  G#'           1/2
BA   13   CR     2+1/2   TR  2   CH 10   NT  F#--          1/2
BA   13   CR         3   TR  1   CH  1   NT  F#''          1/2
BA   13   CR         3   TR  1   CH  1   NT  G#''          1/2
BA   13   CR         3   TR  2   CH 10   NT  C#--          1/2
BA   13   CR         3   TR  2   CH 10   NT  F#--          1/2
BA   13   CR     3+1/2   TR  2   CH 10   NT  F#--          1/2

BA   14   CR         0   TR  1   CH  1   NT  C#--          3/4
BA   14   CR         0   TR  2   CH 10   NT  B#---         1/2
BA   14   CR         0   TR  2   CH 10   NT  F#--          1/2
BA   14   CR       1/2   TR  2   CH 10   NT  F#--          1/2
BA   14   CR       3/4   TR  1   CH  1   NT  E#--          1/4
BA   14   CR         1   TR  1   CH  1   NT  G#--          1/2
BA   14   CR         1   TR  2   CH 10   NT  C#--          1/2
BA   14   CR         1   TR  2   CH 10   NT  F#--          1/2
BA   14   CR     1+1/2   TR  1   CH  1   NT  C#-           1/2
BA   14   CR     1+1/2   TR  2   CH 10   NT  F#--          1/2
BA   14   CR         2   TR  1   CH  1   NT  B#--          1/2
BA   14   CR         2   TR  2   CH 10   NT  B#---         1/2
BA   14   CR         2   TR  2   CH 10   NT  F#--          1/2
BA   14   CR     2+1/2   TR  1   CH  1   NT  G#'           1/2
BA   14   CR     2+1/2   TR  2   CH 10   NT  F#--          1/2
BA   14   CR         3   TR  1   CH  1   NT  F#''          1/2
BA   14   CR         3   TR  1   CH  1   NT  G#''          1/2
BA   14   CR         3   TR  2   CH 10   NT  C#--          1/2
BA   14   CR         3   TR  2   CH 10   NT  F#--          1/2
BA   14   CR     3+1/2   TR  2   CH 10   NT  F#--          1/2

BA   15   CR         0   TR  1   CH  1   NT  C#--          3/4
BA   15   CR         0   TR  2   CH 10   NT  B#---         1/2
BA   15   CR         0   TR  2   CH 10   NT  F#--          1/2
BA   15   CR       1/2   TR  2   CH 10   NT  F#--          1/2
BA   15   CR       3/4   TR  1   CH  1   NT  E#--          1/4
BA   15   CR         1   TR  1   CH  1   NT  G#--          1/2
BA   15   CR         1   TR  2   CH 10   NT  C#--          1/2
BA   15   CR         1   TR  2   CH 10   NT  F#--          1/2
BA   15   CR     1+1/2   TR  1   CH  1   NT  C#-           1/2
BA   15   CR     1+1/2   TR  2   CH 10   NT  F#--          1/2
BA   15   CR         2   TR  1   CH  1   NT  F#--          3/4
BA   15   CR         2   TR  2   CH 10   NT  B#---         1/2
BA   15   CR         2   TR  2   CH 10   NT  F#--          1/2
BA   15   CR     2+1/2   TR  2   CH 10   NT  F#--          1/2
BA   15   CR     2+3/4   TR  1   CH  1   NT  A#--          1/4
BA   15   CR         3   TR  1   CH  1   NT  C#-           1/2
BA   15   CR         3   TR  2   CH 10   NT  C#--          1/2
BA   15   CR         3   TR  2   CH 10   NT  F#--          1/2
BA   15   CR     3+1/2   TR  1   CH  1   NT  F#-           1/2
BA   15   CR     3+1/2   TR  2   CH 10   NT  F#--          1/2

BA   16   CR         0   TR  1   CH  1   NT  F#-           1/2
BA   16   CR         0   TR  2   CH 10   NT  B#---         1/2
BA   16   CR         0   TR  2   CH 10   NT  F#--          1/2
BA   16   CR       1/2   TR  2   CH 10   NT  F#--          1/2
BA   16   CR         1   TR  1   CH  1   NT  G#--          1/2
BA   16   CR         1   TR  2   CH 10   NT  C#--          1/2
BA   16   CR         1   TR  2   CH 10   NT  F#--          1/2
BA   16   CR     1+1/2   TR  2   CH 10   NT  F#--          1/2
BA   16   CR         2   TR  1   CH  1   NT  C#-           1/2
BA   16   CR         2   TR  2   CH 10   NT  B#---         1/2
BA   16   CR         2   TR  2   CH 10   NT  F#--          1/2
BA   16   CR     2+1/2   TR  1   CH  1   NT  G#'           1/2
BA   16   CR     2+1/2   TR  2   CH 10   NT  F#--          1/2
BA   16   CR         3   TR  1   CH  1   NT  G#''          1/2
BA   16   CR         3   TR  2   CH 10   NT  C#--          1/2
BA   16   CR         3   TR  2   CH 10   NT  F#--          1/2
BA   16   CR     3+1/2   TR  1   CH  1   NT  F#''          1/2
BA   16   CR     3+1/2   TR  2   CH 10   NT  F#--          1/2

BA   17   CR         0   TR  1   CH  1   NT  E#''            1
BA   17   CR         0   TR  1   CH  1   Channel volume 127
BA   17   CR         0   TR  1   CH  1   NT  C#--          3/4
BA   17   CR         0   TR  2   CH 10   Channel volume 127
BA   17   CR         0   TR  2   CH 10   NT  B#---         1/2
BA   17   CR         0   TR  2   CH 10   NT  F#--          1/2
BA   17   CR       1/5   TR  1   CH  1   Channel volume 126
BA   17   CR       1/5   TR  2   CH 10   Channel volume 126
BA   17   CR      3/10   TR  1   CH  1   Channel volume 125
BA   17   CR      3/10   TR  2   CH 10   Channel volume 125
BA   17   CR       2/5   TR  1   CH  1   Channel volume 124
BA   17   CR       2/5   TR  2   CH 10   Channel volume 124
BA   17   CR       1/2   TR  2   CH 10   NT  F#--          1/2
BA   17   CR       3/5   TR  1   CH  1   Channel volume 123
BA   17   CR       3/5   TR  2   CH 10   Channel volume 123
BA   17   CR      7/10   TR  1   CH  1   Channel volume 122
BA   17   CR      7/10   TR  2   CH 10   Channel volume 122
BA   17   CR       3/4   TR  1   CH  1   NT  E#--          1/4
BA   17   CR       4/5   TR  1   CH  1   Channel volume 121
BA   17   CR       4/5   TR  2   CH 10   Channel volume 121
BA   17   CR      9/10   TR  1   CH  1   Channel volume 120
BA   17   CR      9/10   TR  2   CH 10   Channel volume 120
BA   17   CR         1   TR  1   CH  1   NT  G#--          1/2
BA   17   CR         1   TR  2   CH 10   NT  C#--          1/2
BA   17   CR         1   TR  2   CH 10   NT  F#--          1/2
BA   17   CR    1+1/10   TR  1   CH  1   Channel volume 119
BA   17   CR    1+1/10   TR  2   CH 10   Channel volume 119
BA   17   CR     1+1/5   TR  1   CH  1   Channel volume 118
BA   17   CR     1+1/5   TR  2   CH 10   Channel volume 118
BA   17   CR    1+3/10   TR  1   CH  1   Channel volume 117
BA   17   CR    1+3/10   TR  2   CH 10   Channel volume 117
BA   17   CR     1+2/5   TR  1   CH  1   Channel volume 116
BA   17   CR     1+2/5   TR  2   CH 10   Channel volume 116
BA   17   CR     1+1/2   TR  1   CH  1   NT  C#-           1/2
BA   17   CR     1+1/2   TR  2   CH 10   NT  F#--          1/2
BA   17   CR     1+3/5   TR  1   CH  1   Channel volume 115
BA   17   CR     1+3/5   TR  2   CH 10   Channel volume 115
BA   17   CR    1+7/10   TR  1   CH  1   Channel volume 114
