format=1 tracks=11 division=96

BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 17
BA    1   CR         0   TR 10   CH 10   Channel volume 95
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 95
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 17
BA    1   CR         0   TR 10   CH 10   Channel volume 95
BA    1   CR         0   TR 10   CH 10   NT  C--         11/96   von=90   voff=0
BA    1   CR       1/4   TR  8   CH 10   NT  B-          11/96   von=10   voff=0
BA    1   CR       1/2   TR  5   CH  1   NT  B--         23/96   voff=0
BA    1   CR       1/2   TR  6   CH 10   NT  D--         23/96   von=64   voff=0
BA    1   CR       1/2   TR  9   CH 10   NT  E--         11/96   von=85   voff=0
BA    1   CR       1/2   TR 10   CH 10   NT  C--         11/96   von=80   voff=0
BA    1   CR       3/4   TR  5   CH  1   NT  B--         23/96   voff=0
BA    1   CR       3/4   TR  6   CH 10   NT  D--         23/96   voff=0
BA    1   CR       3/4   TR  9   CH 10   NT  E--         11/96   voff=0
BA    1   CR       3/4   TR 10   CH 10   NT  C--         11/96   voff=0
BA    1   CR         1   TR  5   CH  1   NT  B--         47/96   voff=0
BA    1   CR         1   TR  6   CH 10   NT  D--         47/96   voff=0
BA    1   CR         1   TR  9   CH 10   NT  E--         11/96   von=100   voff=0
BA    1   CR         1   TR 10   CH 10   NT  C--         11/96   von=90   voff=0
BA    1   CR     1+1/4   TR  8   CH 10   NT  B-          11/96   voff=0
BA    1   CR     1+1/2   TR  5   CH  1   NT  B--         23/96   voff=0
BA    1   CR     1+1/2   TR  6   CH 10   NT  D--         23/96   voff=0
BA    1   CR     1+1/2   TR  9   CH 10   NT  E--         11/96   von=85   voff=0
BA    1   CR     1+1/2   TR 10   CH 10   NT  C--         11/96   von=80   voff=0
BA    1   CR     1+3/4   TR  5   CH  1   NT  B--         23/96   voff=0
BA    1   CR     1+3/4   TR  6   CH 10   NT  D--         23/96   voff=0
BA    1   CR     1+3/4   TR  9   CH 10   NT  E--         11/96   voff=0
BA    1   CR     1+3/4   TR 10   CH 10   NT  C--         11/96   voff=0
BA    1   CR         2   TR  5   CH  1   NT  B--         23/96   voff=0
BA    1   CR         2   TR  6   CH 10   NT  D--         23/96   voff=0
BA    1   CR         2   TR  7   CH  2   NT  F#---       47/96   voff=0
BA    1   CR         2   TR  9   CH 10   NT  E--         11/96   von=100   voff=0
BA    1   CR         2   TR 10   CH 10   NT  C--         11/96   von=90   voff=0
BA    1   CR     2+1/4   TR  5   CH  1   NT  B--         23/96   voff=0
BA    1   CR     2+1/4   TR  6   CH 10   NT  D--         23/96   voff=0
BA    1   CR     2+1/4   TR  8   CH 10   NT  B-          11/96   voff=0
BA    1   CR     2+1/2   TR  5   CH  1   NT  B--         23/96   voff=0
BA    1   CR     2+1/2   TR  6   CH 10   NT  D--         23/96   voff=0
BA    1   CR     2+1/2   TR  9   CH 10   NT  E--         11/96   von=85   voff=0
BA    1   CR     2+1/2   TR 10   CH 10   NT  C--         11/96   von=80   voff=0
BA    1   CR     2+3/4   TR  6   CH 10   NT  D--         23/96   voff=0
BA    1   CR     2+3/4   TR  9   CH 10   NT  E--         11/96   voff=0
BA    1   CR     2+3/4   TR 10   CH 10   NT  C--         11/96   voff=0
BA    1   CR         3   TR  6   CH 10   NT  D--         23/96   voff=0
BA    1   CR         3   TR  9   CH 10   NT  E--         11/96   von=100   voff=0
BA    1   CR         3   TR 10   CH 10   NT  C--         11/96   von=90   voff=0
BA    1   CR     3+1/4   TR  9   CH 10   NT  E--         11/96   von=85   voff=0
BA    1   CR     3+1/4   TR 10   CH 10   NT  C--         11/96   von=80   voff=0
BA    1   CR     3+1/2   TR  6   CH 10   NT  D--         23/96   voff=0
BA    1   CR     3+1/2   TR  9   CH 10   NT  E--         11/96   voff=0
BA    1   CR     3+1/2   TR 10   CH 10   NT  C--         11/96   voff=0
BA    1   CR     3+3/4   TR  9   CH 10   NT  E--         11/96   voff=0
BA    1   CR     3+3/4   TR 10   CH 10   NT  C--         11/96   voff=0

BA    2   CR         0   TR  5   CH  1   NT  B--         47/96   voff=0
BA    2   CR         0   TR  6   CH 10   NT  D--         47/96   voff=0
BA    2   CR         0   TR  7   CH  2   NT  F#---       47/96   voff=0
BA    2   CR         0   TR  9   CH 10   NT  E--         11/96   von=100   voff=0
BA    2   CR         0   TR 10   CH 10   NT  C--         11/96   von=90   voff=0
BA    2   CR       1/4   TR  8   CH 10   NT  B-          11/96   voff=0
BA    2   CR       1/2   TR  5   CH  1   NT  B--         23/96   voff=0
BA    2   CR       1/2   TR  6   CH 10   NT  D--         23/96   voff=0
BA    2   CR       1/2   TR  9   CH 10   NT  E--         11/96   von=85   voff=0
BA    2   CR       1/2   TR 10   CH 10   NT  C--         11/96   von=80   voff=0
BA    2   CR       3/4   TR  5   CH  1   NT  B--         23/96   voff=0
BA    2   CR       3/4   TR  6   CH 10   NT  D--         23/96   voff=0
BA    2   CR       3/4   TR  9   CH 10   NT  E--         11/96   voff=0
BA    2   CR       3/4   TR 10   CH 10   NT  C--         11/96   voff=0
BA    2   CR         1   TR  5   CH  1   NT  B--         47/96   voff=0
BA    2   CR         1   TR  6   CH 10   NT  D--         47/96   voff=0
BA    2   CR         1   TR  9   CH 10   NT  E--         11/96   von=100   voff=0
BA    2   CR         1   TR 10   CH 10   NT  C--         11/96   von=90   voff=0
BA    2   CR     1+1/4   TR  8   CH 10   NT  B-          11/96   voff=0
BA    2   CR     1+1/2   TR  5   CH  1   NT  B--         23/96   voff=0
BA    2   CR     1+1/2   TR  6   CH 10   NT  D--         23/96   voff=0
BA    2   CR     1+1/2   TR  9   CH 10   NT  E--         11/96   von=85   voff=0
BA    2   CR     1+1/2   TR 10   CH 10   NT  C--         11/96   von=80   voff=0
BA    2   CR     1+3/4   TR  5   CH  1   NT  B--         23/96   voff=0
BA    2   CR     1+3/4   TR  6   CH 10   NT  D--         23/96   voff=0
BA    2   CR     1+3/4   TR  9   CH 10   NT  E--         11/96   voff=0
BA    2   CR     1+3/4   TR 10   CH 10   NT  C--         11/96   voff=0
BA    2   CR         2   TR  5   CH  1   NT  B--         23/96   voff=0
BA    2   CR         2   TR  6   CH 10   NT  D--         23/96   voff=0
BA    2   CR         2   TR  7   CH  2   NT  F#---       47/96   voff=0
BA    2   CR         2   TR  9   CH 10   NT  E--         11/96   von=100   voff=0
BA    2   CR         2   TR 10   CH 10   NT  C--         11/96   von=90   voff=0
BA    2   CR     2+1/4   TR  5   CH  1   NT  B--         23/96   voff=0
BA    2   CR     2+1/4   TR  6   CH 10   NT  D--         23/96   voff=0
BA    2   CR     2+1/4   TR  8   CH 10   NT  B-          11/96   voff=0
BA    2   CR     2+1/2   TR  5   CH  1   NT  B--         23/96   voff=0
BA    2   CR     2+1/2   TR  6   CH 10   NT  D--         23/96   voff=0
BA    2   CR     2+1/2   TR  9   CH 10   NT  E--         11/96   von=85   voff=0
BA    2   CR     2+1/2   TR 10   CH 10   NT  C--         11/96   von=80   voff=0
BA    2   CR     2+3/4   TR  2   CH  4   Channel volume 95
BA    2   CR     2+3/4   TR  3   CH  5   Channel volume 95
BA    2   CR     2+3/4   TR  6   CH 10   NT  D--         23/96   voff=0
BA    2   CR     2+3/4   TR  9   CH 10   NT  E--         11/96   voff=0
BA    2   CR     2+3/4   TR 10   CH 10   NT  C--         11/96   voff=0
BA    2   CR         3   TR  2   CH  4   Channel volume 120
BA    2   CR         3   TR  2   CH  4   NT  F#-         95/96   von=100   voff=0
BA    2   CR         3   TR  3   CH  5   Channel volume 120
BA    2   CR         3   TR  3   CH  5   NT  F#          95/96   von=101   voff=0
BA    2   CR         3   TR  4   CH  6   NT  F#          95/96   von=100   voff=0
BA    2   CR         3   TR  6   CH 10   NT  D--         23/96   voff=0
BA    2   CR         3   TR  9   CH 10   NT  E--         11/96   voff=0
BA    2   CR         3   TR 10   CH 10   NT  C--         11/96   voff=0
BA    2   CR     3+1/6   TR  9   CH 10   NT  E--         11/96   voff=0
BA    2   CR     3+1/6   TR 10   CH 10   NT  C--         11/96   voff=0
BA    2   CR     3+1/3   TR  9   CH 10   NT  E--         11/96   voff=0
BA    2   CR     3+1/3   TR 10   CH 10   NT  C--         11/96   voff=0
