format=0 tracks=1 division=120

BA    1   CR         0   TR  0   CH 16   Text type 3: "untitled"
BA    1   CR         0   TR  0   CH 16   Text type 1: "Lewis Wall"
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   Tempo 55
BA    1   CR   1+11/15   TR  0   CH  2   ST &B1 &0B &53
BA    1   CR     1+3/4   TR  0   CH  1   ST &B0 &0B &49
BA    1   CR     1+3/4   TR  0   CH  1   NT  C             1/4
BA    1   CR     1+3/4   TR  0   CH  2   NT  B-            1/4
BA    1   CR   1+23/30   TR  0   CH  2   ST &B1 &0B &52
BA    1   CR   1+47/60   TR  0   CH  1   ST &B0 &0B &48
BA    1   CR   1+47/60   TR  0   CH  2   Channel volume 39
BA    1   CR   1+47/60   TR  0   CH  2   ST &B1 &0B &51
BA    1   CR     1+4/5   TR  0   CH  1   ST &B0 &0B &47
BA    1   CR   1+49/60   TR  0   CH  2   ST &B1 &0B &50
BA    1   CR     1+5/6   TR  0   CH  1   ST &B0 &0B &46
BA    1   CR     1+5/6   TR  0   CH  2   Channel volume 40
BA    1   CR   1+17/20   TR  0   CH  2   ST &B1 &0B &4F
BA    1   CR   1+13/15   TR  0   CH  1   ST &B0 &0B &45
BA    1   CR   1+13/15   TR  0   CH  2   Channel volume 41
BA    1   CR   1+13/15   TR  0   CH  2   ST &B1 &0B &4E
BA    1   CR   1+53/60   TR  0   CH  1   ST &B0 &0B &44
BA    1   CR    1+9/10   TR  0   CH  2   ST &B1 &0B &4D
BA    1   CR   1+11/12   TR  0   CH  1   ST &B0 &0B &43
BA    1   CR   1+11/12   TR  0   CH  2   Channel volume 42
BA    1   CR   1+11/12   TR  0   CH  2   ST &B1 &0B &4C
BA    1   CR   1+14/15   TR  0   CH  1   ST &B0 &0B &42
BA    1   CR   1+19/20   TR  0   CH  2   ST &B1 &0B &4B
BA    1   CR   1+29/30   TR  0   CH  1   ST &B0 &0B &41
BA    1   CR   1+29/30   TR  0   CH  2   Channel volume 43
BA    1   CR   1+59/60   TR  0   CH  1   ST &B0 &0B &40
BA    1   CR   1+59/60   TR  0   CH  2   ST &B1 &0B &4A
BA    1   CR         2   TR  0   CH  1   ST &B0 &0B &4C
BA    1   CR         2   TR  0   CH  1   NT  G-            1/4   von=107
BA    1   CR         2   TR  0   CH  2   Channel volume 44
BA    1   CR         2   TR  0   CH  2   ST &B1 &0B &49
BA    1   CR         2   TR  0   CH  2   NT  C             1/4   von=100
BA    1   CR    2+1/60   TR  0   CH  1   ST &B0 &0B &4C
BA    1   CR    2+1/60   TR  0   CH  2   Channel volume 45
BA    1   CR    2+1/30   TR  0   CH  1   ST &B0 &0B &4B
BA    1   CR    2+1/30   TR  0   CH  2   Channel volume 46
BA    1   CR    2+1/30   TR  0   CH  2   ST &B1 &0B &48
BA    1   CR    2+1/20   TR  0   CH  1   ST &B0 &0B &4A
BA    1   CR    2+1/20   TR  0   CH  2   Channel volume 47
BA    1   CR    2+1/20   TR  0   CH  2   ST &B1 &0B &47
BA    1   CR    2+1/15   TR  0   CH  1   ST &B0 &0B &49
BA    1   CR    2+1/15   TR  0   CH  2   Channel volume 48
BA    1   CR    2+1/12   TR  0   CH  2   Channel volume 49
BA    1   CR    2+1/12   TR  0   CH  2   ST &B1 &0B &46
BA    1   CR    2+1/10   TR  0   CH  1   ST &B0 &0B &48
BA    1   CR    2+1/10   TR  0   CH  2   Channel volume 51
BA    1   CR    2+7/60   TR  0   CH  1   ST &B0 &0B &47
BA    1   CR    2+7/60   TR  0   CH  2   Channel volume 52
BA    1   CR    2+7/60   TR  0   CH  2   ST &B1 &0B &45
BA    1   CR    2+2/15   TR  0   CH  1   ST &B0 &0B &46
BA    1   CR    2+2/15   TR  0   CH  2   Channel volume 53
BA    1   CR    2+2/15   TR  0   CH  2   ST &B1 &0B &44
BA    1   CR    2+3/20   TR  0   CH  1   ST &B0 &0B &45
BA    1   CR    2+3/20   TR  0   CH  2   Channel volume 54
BA    1   CR     2+1/6   TR  0   CH  2   Channel volume 55
BA    1   CR     2+1/6   TR  0   CH  2   ST &B1 &0B &43
BA    1   CR   2+11/60   TR  0   CH  1   ST &B0 &0B &44
BA    1   CR   2+11/60   TR  0   CH  2   Channel volume 56
BA    1   CR   2+11/60   TR  0   CH  2   ST &B1 &0B &42
BA    1   CR     2+1/5   TR  0   CH  1   ST &B0 &0B &43
BA    1   CR     2+1/5   TR  0   CH  2   Channel volume 58
BA    1   CR   2+13/60   TR  0   CH  1   ST &B0 &0B &42
BA    1   CR   2+13/60   TR  0   CH  2   Channel volume 59
BA    1   CR   2+13/60   TR  0   CH  2   ST &B1 &0B &41
BA    1   CR    2+7/30   TR  0   CH  1   ST &B0 &0B &41
BA    1   CR    2+7/30   TR  0   CH  2   Channel volume 60
BA    1   CR    2+7/30   TR  0   CH  2   ST &B1 &0B &40
BA    1   CR     2+1/4   TR  0   CH  1   NT  C             1/4
BA    1   CR     2+1/4   TR  0   CH  2   Channel volume 61
BA    1   CR     2+1/4   TR  0   CH  2   ST &B1 &0B &4C
BA    1   CR     2+1/4   TR  0   CH  2   NT  G-            1/4   von=107
BA    1   CR    2+4/15   TR  0   CH  1   ST &B0 &0B &42
BA    1   CR    2+4/15   TR  0   CH  2   Channel volume 62
BA    1   CR    2+4/15   TR  0   CH  2   ST &B1 &0B &4C
BA    1   CR   2+17/60   TR  0   CH  1   ST &B0 &0B &43
BA    1   CR   2+17/60   TR  0   CH  2   Channel volume 63
BA    1   CR   2+17/60   TR  0   CH  2   ST &B1 &0B &4B
BA    1   CR    2+3/10   TR  0   CH  2   Channel volume 65
BA    1   CR    2+3/10   TR  0   CH  2   ST &B1 &0B &4A
BA    1   CR   2+19/60   TR  0   CH  1   ST &B0 &0B &44
BA    1   CR   2+19/60   TR  0   CH  2   Channel volume 66
BA    1   CR   2+19/60   TR  0   CH  2   ST &B1 &0B &49
BA    1   CR     2+1/3   TR  0   CH  1   ST &B0 &0B &45
BA    1   CR     2+1/3   TR  0   CH  2   Channel volume 67
BA    1   CR    2+7/20   TR  0   CH  2   Channel volume 68
BA    1   CR    2+7/20   TR  0   CH  2   ST &B1 &0B &48
BA    1   CR   2+11/30   TR  0   CH  1   ST &B0 &0B &46
BA    1   CR   2+11/30   TR  0   CH  2   Channel volume 69
BA    1   CR   2+11/30   TR  0   CH  2   ST &B1 &0B &47
BA    1   CR   2+23/60   TR  0   CH  1   ST &B0 &0B &47
BA    1   CR   2+23/60   TR  0   CH  2   Channel volume 70
BA    1   CR   2+23/60   TR  0   CH  2   ST &B1 &0B &46
BA    1   CR     2+2/5   TR  0   CH  2   Channel volume 72
BA    1   CR     2+2/5   TR  0   CH  2   ST &B1 &0B &45
BA    1   CR    2+5/12   TR  0   CH  1   ST &B0 &0B &48
BA    1   CR    2+5/12   TR  0   CH  2   Channel volume 73
BA    1   CR   2+13/30   TR  0   CH  1   ST &B0 &0B &49
BA    1   CR   2+13/30   TR  0   CH  2   Channel volume 74
BA    1   CR   2+13/30   TR  0   CH  2   ST &B1 &0B &44
BA    1   CR    2+9/20   TR  0   CH  2   Channel volume 75
BA    1   CR    2+9/20   TR  0   CH  2   ST &B1 &0B &43
BA    1   CR    2+7/15   TR  0   CH  1   ST &B0 &0B &4A
BA    1   CR    2+7/15   TR  0   CH  2   Channel volume 76
BA    1   CR    2+7/15   TR  0   CH  2   ST &B1 &0B &42
BA    1   CR   2+29/60   TR  0   CH  1   ST &B0 &0B &4B
BA    1   CR   2+29/60   TR  0   CH  2   Channel volume 77
BA    1   CR   2+29/60   TR  0   CH  2   ST &B1 &0B &41
BA    1   CR     2+1/2   TR  0   CH  1   NT  B-            1/4   von=100
BA    1   CR     2+1/2   TR  0   CH  2   Channel volume 79
BA    1   CR     2+1/2   TR  0   CH  2   NT  C             1/4
BA    1   CR   2+31/60   TR  0   CH  1   ST &B0 &0B &4C
