format=0 tracks=1 division=120

BA   11   CR         2   TR  0   CH  1   NT  Bb---         1/6   von=90
BA   11   CR         2   TR  0   CH  2   NT  Bb            1/4   von=80
BA   11   CR     2+1/3   TR  0   CH 10   NT  G#--          1/6   von=68
BA   11   CR     2+1/3   TR  0   CH  2   NT  C'           3/20
BA   11   CR     2+1/2   TR  0   CH 10   NT  G#--          1/3   von=70
BA   11   CR     2+1/2   TR  0   CH  1   NT  Bb---         1/2   von=110
BA   11   CR     2+5/6   TR  0   CH 10   NT  G#--          1/6   von=65
BA   11   CR     2+5/6   TR  0   CH  2   NT  Eb'          1/10   von=89
BA   11   CR         3   TR  0   CH 10   NT  F#--          1/4   von=100
BA   11   CR         3   TR  0   CH 10   NT  D--           1/3   von=65
BA   11   CR     3+1/3   TR  0   CH 10   NT  G#--          1/6   von=60
BA   11   CR     3+1/3   TR  0   CH  1   NT  Eb--          2/3   von=120
BA   11   CR     3+1/3   TR  0   CH  2   NT  Eb'          3/20   von=66
BA   11   CR     3+1/2   TR  0   CH 10   NT  G#--          1/3   von=61
BA   11   CR     3+1/2   TR  0   CH  2   NT  C'            1/3   von=72
BA   11   CR     3+5/6   TR  0   CH 10   NT  G#--          1/6   von=64
BA   11   CR     3+5/6   TR  0   CH  2   NT  Bb            1/6   von=80

BA   12   CR         0   TR  0   CH 10   NT  G#--          1/4   von=100
BA   12   CR         0   TR  0   CH 10   NT  C--           1/3   von=75
BA   12   CR         0   TR  0   CH  1   NT  F--           1/3   von=100
BA   12   CR       1/3   TR  0   CH 10   NT  G#--          1/6   von=68
BA   12   CR       1/2   TR  0   CH 10   NT  G#--          1/3   von=70
BA   12   CR       1/2   TR  0   CH  2   NT  C'           3/20   von=68
BA   12   CR       5/6   TR  0   CH 10   NT  G#--          1/6   von=65
BA   12   CR       5/6   TR  0   CH  2   NT  C'           3/20   von=64
BA   12   CR         1   TR  0   CH 10   NT  F#--          1/4   von=100
BA   12   CR         1   TR  0   CH 10   NT  D--           1/3   von=65
BA   12   CR         1   TR  0   CH  2   NT  Bb           7/30   von=75
BA   12   CR     1+1/3   TR  0   CH 10   NT  G#--          1/6   von=60
