format=1 tracks=9 division=96

BA    1   CR         0   TR  6   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  6   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  6   CH  8   ST &B7 &0A &34
BA    1   CR         0   TR  6   CH  8   Channel volume 110
BA    1   CR         0   TR  6   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  6   CH  8   Instrument 25
BA    1   CR         0   TR  6   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  6   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  6   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  6   CH  8   ST &B7 &0A &34
BA    1   CR         0   TR  6   CH  8   Channel volume 110
BA    1   CR         0   TR  6   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  6   CH  8   Instrument 25
BA    1   CR         0   TR  6   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  6   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  6   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  6   CH  8   ST &B7 &0A &34
BA    1   CR         0   TR  6   CH  8   Channel volume 110
BA    1   CR         0   TR  6   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  6   CH  8   Instrument 25
BA    1   CR         0   TR  7   CH 16   Text type 3: "Hope you enjoy my rendition of it.  God knows there's enough of them here at"
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 127
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 127
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 127
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
