format=1 tracks=11 division=96

BA    1   CR         0   TR  9   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 100
BA    1   CR         0   TR  9   CH 10   ST &E9 &08 &41
BA    1   CR         0   TR  9   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 100
BA    1   CR         0   TR  9   CH 10   ST &E9 &08 &41
BA    1   CR         0   TR 10   CH 16   Text type 3: "MIDI out #8"
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 100
BA    1   CR         0   TR 10   CH 10   ST &E9 &08 &41
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 100
BA    1   CR         0   TR 10   CH 10   ST &E9 &08 &41
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 100
BA    1   CR         0   TR 10   CH 10   ST &E9 &08 &41
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 100
BA    1   CR         0   TR 10   CH 10   ST &E9 &08 &41
BA    1   CR      1/24   TR  4   CH  5   ST &E4 &4C &41
BA    1   CR       1/4   TR  3   CH  4   NT  E           23/96   voff=99
BA    1   CR       1/4   TR  8   CH 10   NT  G#--         5/32   von=99   voff=99
BA    1   CR       1/2   TR  3   CH  4   NT  A-          23/96   voff=99
BA    1   CR       1/2   TR  6   CH  2   NT  D-          23/96   voff=99
BA    1   CR       1/2   TR  9   CH 10   NT  Bb--        13/32   von=99   voff=99
BA    1   CR       3/4   TR  3   CH  4   NT  C           23/96   voff=99
BA    1   CR         1   TR  1   CH  1   NT  A           95/96   voff=99
BA    1   CR         1   TR  3   CH  4   NT  D           23/96   voff=99
BA    1   CR         1   TR  6   CH  2   NT  E--         47/96   voff=99
BA    1   CR         1   TR  8   CH 10   NT  G#--         5/32   von=84   voff=84
BA    1   CR         1   TR 10   CH 10   NT  E--         47/96   von=99   voff=99
BA    1   CR     1+1/4   TR  3   CH  4   NT  F#          23/96   voff=99
BA    1   CR     1+1/4   TR  8   CH 10   NT  G#--         5/32   von=99   voff=99
BA    1   CR     1+1/2   TR  3   CH  4   NT  B-          23/96   voff=99
BA    1   CR     1+1/2   TR  6   CH  2   NT  E-          23/96   voff=99
BA    1   CR     1+1/2   TR  9   CH 10   NT  Bb--        13/32   voff=99
BA    1   CR     1+3/4   TR  3   CH  4   NT  D           23/96   voff=99
BA    1   CR         2   TR  1   CH  1   NT  E         5+95/96   voff=99
BA    1   CR         2   TR  5   CH  6   NT  B            7/32   von=99   voff=99
BA    1   CR         2   TR  6   CH  2   NT  A---        47/96   voff=99
BA    1   CR         2   TR  7   CH 10   NT  C--         23/96   voff=99
BA    1   CR         2   TR  8   CH 10   NT  G#--         5/32   von=84   voff=84
BA    1   CR     2+1/4   TR  5   CH  6   NT  B            7/32   voff=99
BA    1   CR     2+1/4   TR  8   CH 10   NT  G#--         5/32   von=99   voff=99
BA    1   CR     2+1/2   TR  5   CH  6   NT  B'           7/32   voff=99
BA    1   CR     2+1/2   TR  6   CH  2   NT  A--         23/96   voff=99
BA    1   CR     2+1/2   TR  9   CH 10   NT  Bb--        13/32   voff=99
BA    1   CR     2+3/4   TR  5   CH  6   NT  B            7/32   voff=99
BA    1   CR         3   TR  5   CH  6   NT  B'           7/32   voff=99
BA    1   CR         3   TR  6   CH  2   NT  A---        47/96   voff=99
BA    1   CR         3   TR  8   CH 10   NT  G#--         5/32   von=84   voff=84
BA    1   CR         3   TR 10   CH 10   NT  E--         47/96   voff=99
BA    1   CR     3+1/4   TR  5   CH  6   NT  B'           7/32   voff=99
BA    1   CR     3+1/4   TR  8   CH 10   NT  G#--         5/32   von=99   voff=99
BA    1   CR     3+1/2   TR  5   CH  6   NT  B            7/32   voff=99
BA    1   CR     3+1/2   TR  6   CH  2   NT  A--         23/96   voff=99
BA    1   CR     3+1/2   TR  9   CH 10   NT  Bb--        13/32   voff=99
BA    1   CR     3+3/4   TR  5   CH  6   NT  B'           7/32   voff=99

BA    2   CR         0   TR  5   CH  6   NT  E''          7/32   voff=99
BA    2   CR         0   TR  6   CH  2   NT  A---        47/96   voff=99
BA    2   CR         0   TR  7   CH 10   NT  C--         23/96   voff=99
BA    2   CR         0   TR  8   CH 10   NT  G#--         5/32   von=84   voff=84
BA    2   CR       1/4   TR  5   CH  6   NT  G''          7/32   voff=99
BA    2   CR       1/4   TR  8   CH 10   NT  G#--         5/32   von=99   voff=99
BA    2   CR       1/2   TR  5   CH  6   NT  D''          7/32   voff=99
BA    2   CR       1/2   TR  6   CH  2   NT  A--         23/96   voff=99
BA    2   CR       1/2   TR  9   CH 10   NT  Bb--        13/32   voff=99
BA    2   CR       3/4   TR  5   CH  6   NT  E''          7/32   voff=99
BA    2   CR         1   TR  5   CH  6   NT  B'           7/32   voff=99
BA    2   CR         1   TR  6   CH  2   NT  A---        47/96   voff=99
BA    2   CR         1   TR  8   CH 10   NT  G#--         5/32   von=84   voff=84
BA    2   CR         1   TR 10   CH 10   NT  E--         47/96   voff=99
BA    2   CR     1+1/4   TR  5   CH  6   NT  D''          7/32   voff=99
BA    2   CR     1+1/4   TR  8   CH 10   NT  G#--         5/32   von=99   voff=99
BA    2   CR     1+1/2   TR  5   CH  6   NT  A'           7/32   voff=99
BA    2   CR     1+1/2   TR  6   CH  2   NT  A--         23/96   voff=99
BA    2   CR     1+1/2   TR  9   CH 10   NT  Bb--        13/32   voff=99
BA    2   CR     1+3/4   TR  5   CH  6   NT  B'           7/32   voff=99
BA    2   CR         2   TR  5   CH  6   NT  B            7/32   voff=99
BA    2   CR         2   TR  6   CH  2   NT  A---        47/96   voff=99
BA    2   CR         2   TR  7   CH 10   NT  C--         23/96   voff=99
BA    2   CR         2   TR  8   CH 10   NT  G#--         5/32   von=84   voff=84
BA    2   CR     2+1/4   TR  5   CH  6   NT  B            7/32   voff=99
BA    2   CR     2+1/4   TR  8   CH 10   NT  G#--         5/32   von=99   voff=99
BA    2   CR     2+1/2   TR  5   CH  6   NT  B'           7/32   voff=99
BA    2   CR     2+1/2   TR  6   CH  2   NT  A--         23/96   voff=99
BA    2   CR     2+1/2   TR  9   CH 10   NT  Bb--        13/32   voff=99
BA    2   CR     2+3/4   TR  5   CH  6   NT  B            7/32   voff=99
BA    2   CR         3   TR  5   CH  6   NT  B'           7/32   voff=99
BA    2   CR         3   TR  6   CH  2   NT  A---        47/96   voff=99
BA    2   CR         3   TR  8   CH 10   NT  G#--         5/32   von=84   voff=84
BA    2   CR         3   TR 10   CH 10   NT  E--         47/96   voff=99
BA    2   CR     3+1/4   TR  5   CH  6   NT  B''          7/32   voff=99
BA    2   CR     3+1/4   TR  8   CH 10   NT  G#--         5/32   von=99   voff=99
BA    2   CR     3+1/2   TR  5   CH  6   NT  B            7/32   voff=99
BA    2   CR     3+1/2   TR  6   CH  2   NT  A--         23/96   voff=99
BA    2   CR     3+1/2   TR  9   CH 10   NT  Bb--        13/32   voff=99
BA    2   CR     3+3/4   TR  5   CH  6   NT  B'           7/32   voff=99

BA    3   CR         0   TR  1   CH  1   NT  G           95/96   voff=99
BA    3   CR         0   TR  3   CH  4   NT  C           23/96   voff=99
BA    3   CR         0   TR  6   CH  2   NT  A---        47/96   voff=99
BA    3   CR         0   TR  7   CH 10   NT  C--         23/96   voff=99
BA    3   CR         0   TR  8   CH 10   NT  G#--         5/32   von=84   voff=84
BA    3   CR       1/4   TR  3   CH  4   NT  E           23/96   voff=99
BA    3   CR       1/4   TR  8   CH 10   NT  G#--         5/32   von=99   voff=99
BA    3   CR       1/2   TR  3   CH  4   NT  A-          23/96   voff=99
BA    3   CR       1/2   TR  6   CH  2   NT  A--         23/96   voff=99
BA    3   CR       1/2   TR  9   CH 10   NT  Bb--        13/32   voff=99
BA    3   CR       3/4   TR  3   CH  4   NT  C           23/96   voff=99
BA    3   CR         1   TR  1   CH  1   NT  A           71/96   voff=99
BA    3   CR         1   TR  3   CH  4   NT  D           23/96   voff=99
BA    3   CR         1   TR  6   CH  2   NT  A---        47/96   voff=99
BA    3   CR         1   TR  8   CH 10   NT  G#--         5/32   von=84   voff=84
BA    3   CR         1   TR 10   CH 10   NT  E--         47/96   voff=99
BA    3   CR     1+1/4   TR  3   CH  4   NT  F#          23/96   voff=99
BA    3   CR     1+1/4   TR  8   CH 10   NT  G#--         5/32   von=99   voff=99
BA    3   CR     1+1/2   TR  3   CH  4   NT  B-          23/96   voff=99
BA    3   CR     1+1/2   TR  6   CH  2   NT  A--         23/96   voff=99
BA    3   CR     1+1/2   TR  9   CH 10   NT  Bb--        13/32   voff=99
BA    3   CR     1+3/4   TR  1   CH  1   NT  G           11/96   voff=99
BA    3   CR     1+3/4   TR  3   CH  4   NT  D           23/96   voff=99
BA    3   CR     1+7/8   TR  1   CH  1   NT  A           11/96   voff=99
BA    3   CR         2   TR  1   CH  1   NT  E         3+95/96   voff=99
BA    3   CR         2   TR  5   CH  6   NT  B            7/32   voff=99
BA    3   CR         2   TR  6   CH  2   NT  A---        47/96   voff=99
BA    3   CR         2   TR  7   CH 10   NT  C--         23/96   voff=99
BA    3   CR         2   TR  8   CH 10   NT  G#--         5/32   von=84   voff=84
BA    3   CR     2+1/4   TR  5   CH  6   NT  B            7/32   voff=99
BA    3   CR     2+1/4   TR  8   CH 10   NT  G#--         5/32   von=99   voff=99
BA    3   CR     2+1/2   TR  6   CH  2   NT  A--         23/96   voff=99
BA    3   CR     2+1/2   TR  9   CH 10   NT  Bb--        13/32   voff=99
BA    3   CR     2+3/4   TR  5   CH  6   NT  B            7/32   voff=99
BA    3   CR         3   TR  6   CH  2   NT  A---        47/96   voff=99
BA    3   CR         3   TR  8   CH 10   NT  G#--         5/32   von=84   voff=84
BA    3   CR         3   TR 10   CH 10   NT  E--         47/96   voff=99
BA    3   CR     3+1/4   TR  5   CH  6   NT  D'           7/32   voff=99
BA    3   CR     3+1/4   TR  8   CH 10   NT  G#--         5/32   von=99   voff=99
BA    3   CR     3+1/2   TR  5   CH  6   NT  E'           7/32   voff=99
BA    3   CR     3+1/2   TR  6   CH  2   NT  A--         23/96   voff=99
BA    3   CR     3+1/2   TR  9   CH 10   NT  Bb--        13/32   voff=99
BA    3   CR     3+3/4   TR  5   CH  6   NT  G'           7/32   voff=99

BA    4   CR         0   TR  5   CH  6   NT  B            7/32   voff=99
BA    4   CR         0   TR  6   CH  2   NT  A---        47/96   voff=99
BA    4   CR         0   TR  7   CH 10   NT  C--         23/96   voff=99
BA    4   CR         0   TR  8   CH 10   NT  G#--         5/32   von=84   voff=84
BA    4   CR       1/4   TR  5   CH  6   NT  B            7/32   voff=99
BA    4   CR       1/4   TR  8   CH 10   NT  G#--         5/32   von=99   voff=99
BA    4   CR       1/2   TR  6   CH  2   NT  A--         23/96   voff=99
BA    4   CR       1/2   TR  9   CH 10   NT  Bb--        13/32   voff=99
BA    4   CR       3/4   TR  5   CH  6   NT  B            7/32   voff=99
BA    4   CR         1   TR  6   CH  2   NT  A---        47/96   voff=99
BA    4   CR         1   TR  8   CH 10   NT  G#--         5/32   von=84   voff=84
BA    4   CR         1   TR 10   CH 10   NT  E--         47/96   voff=99
BA    4   CR     1+1/4   TR  5   CH  6   NT  D'           7/32   voff=99
BA    4   CR     1+1/4   TR  8   CH 10   NT  G#--         5/32   von=99   voff=99
BA    4   CR     1+1/2   TR  5   CH  6   NT  E'           7/32   voff=99
BA    4   CR     1+1/2   TR  6   CH  2   NT  A--         23/96   voff=99
BA    4   CR     1+1/2   TR  9   CH 10   NT  Bb--        13/32   voff=99
BA    4   CR     1+3/4   TR  5   CH  6   NT  G'           7/32   voff=99
BA    4   CR         2   TR  1   CH  1   NT  D         1+95/96   voff=99
BA    4   CR         2   TR  5   CH  6   NT  F#           7/32   voff=99
BA    4   CR         2   TR  6   CH  2   NT  G---        47/96   voff=99
BA    4   CR         2   TR  7   CH 10   NT  C--         23/96   voff=99
BA    4   CR         2   TR  8   CH 10   NT  G#--         5/32   von=84   voff=84
BA    4   CR     2+1/4   TR  8   CH 10   NT  G#--         5/32   von=99   voff=99
BA    4   CR     2+1/2   TR  5   CH  6   NT  F#           7/32   voff=99
BA    4   CR     2+1/2   TR  6   CH  2   NT  G--         23/96   voff=99
BA    4   CR     2+1/2   TR  9   CH 10   NT  Bb--        13/32   voff=99
BA    4   CR     2+3/4   TR  5   CH  6   NT  F#           7/32   voff=99
BA    4   CR         3   TR  5   CH  6   NT  A            7/32   voff=99
BA    4   CR         3   TR  6   CH  2   NT  G---        47/96   voff=99
BA    4   CR         3   TR  8   CH 10   NT  G#--         5/32   von=84   voff=84
BA    4   CR         3   TR 10   CH 10   NT  E--         47/96   voff=99
BA    4   CR     3+1/4   TR  5   CH  6   NT  B            7/32   voff=99
BA    4   CR     3+1/4   TR  8   CH 10   NT  G#--         5/32   von=99   voff=99
BA    4   CR     3+1/2   TR  6   CH  2   NT  G--         23/96   voff=99
BA    4   CR     3+1/2   TR  9   CH 10   NT  Bb--        13/32   voff=99
BA    4   CR     3+3/4   TR  5   CH  6   NT  F#           7/32   voff=99

BA    5   CR         0   TR  1   CH  1   NT  G           95/96   voff=99
BA    5   CR         0   TR  3   CH  4   NT  C           23/96   voff=99
BA    5   CR         0   TR  6   CH  2   NT  D--         47/96   voff=99
BA    5   CR         0   TR  7   CH 10   NT  C--         23/96   voff=99
BA    5   CR         0   TR  8   CH 10   NT  G#--         5/32   von=84   voff=84
