format=1 tracks=11 division=480

BA    2   CR     11/24   TR  2   CH  2   ST &B1 &5B &64
BA    2   CR     11/24   TR  2   CH  2   Channel volume 125
BA    2   CR     11/24   TR  2   CH  2   ST &B1 &0A &22
BA    2   CR     11/24   TR  4   CH  4   ST &B3 &5B &64
BA    2   CR     11/24   TR  4   CH  4   Channel volume 125
BA    2   CR     23/48   TR  6   CH  6   ST &B5 &0A &30
BA    2   CR       1/2   TR  1   CH  1   ST &B0 &5B &40
BA    2   CR       1/2   TR  1   CH  1   ST &B0 &0A &5A
BA    2   CR       1/2   TR  2   CH  2   NT  Bb'          9/40   von=90
BA    2   CR       1/2   TR  3   CH  3   ST &B2 &0A &1E
BA    2   CR       1/2   TR  4   CH  4   NT  Bb'          9/40
BA    2   CR       1/2   TR  4   CH  4   ST &B3 &0B &67
BA    2   CR       1/2   TR  4   CH  4   ST &B3 &0A &5C
BA    2   CR       1/2   TR  4   CH  4   ST &B3 &5E &28
BA    2   CR       1/2   TR  5   CH  5   ST &B4 &5D &17
BA    2   CR       1/2   TR  6   CH  6   ST &B5 &5B &40
BA    2   CR     25/48   TR  2   CH  2   ST &B1 &5B &64
BA    2   CR     25/48   TR  2   CH  2   Channel volume 125
BA    2   CR     25/48   TR  2   CH  2   ST &B1 &0A &23
BA    2   CR     25/48   TR  4   CH  4   ST &B3 &5B &64
BA    2   CR     25/48   TR  4   CH  4   Channel volume 125
BA    2   CR     13/24   TR  6   CH  6   ST &B5 &0A &30
BA    2   CR      9/16   TR  1   CH  1   ST &B0 &5B &40
BA    2   CR      9/16   TR  1   CH  1   ST &B0 &0A &5A
BA    2   CR      9/16   TR  3   CH  3   ST &B2 &0A &1E
BA    2   CR      9/16   TR  4   CH  4   ST &B3 &0B &67
BA    2   CR      9/16   TR  4   CH  4   ST &B3 &0A &5C
BA    2   CR      9/16   TR  4   CH  4   ST &B3 &5E &28
BA    2   CR      9/16   TR  5   CH  5   ST &B4 &5D &17
BA    2   CR      9/16   TR  6   CH  6   ST &B5 &5B &40
BA    2   CR      7/12   TR  2   CH  2   ST &B1 &5B &64
BA    2   CR      7/12   TR  2   CH  2   Channel volume 125
BA    2   CR      7/12   TR  2   CH  2   ST &B1 &0A &24
BA    2   CR      7/12   TR  4   CH  4   ST &B3 &5B &64
BA    2   CR      7/12   TR  4   CH  4   Channel volume 125
BA    2   CR     29/48   TR  6   CH  6   ST &B5 &0A &30
BA    2   CR       5/8   TR  1   CH  1   ST &B0 &5B &40
BA    2   CR       5/8   TR  1   CH  1   ST &B0 &0A &5A
BA    2   CR       5/8   TR  3   CH  3   ST &B2 &0A &1E
BA    2   CR       5/8   TR  4   CH  4   ST &B3 &0B &68
BA    2   CR       5/8   TR  4   CH  4   ST &B3 &0A &5D
BA    2   CR       5/8   TR  4   CH  4   ST &B3 &5E &28
BA    2   CR       5/8   TR  5   CH  5   ST &B4 &5D &17
BA    2   CR       5/8   TR  6   CH  6   ST &B5 &5B &40
BA    2   CR     31/48   TR  2   CH  2   ST &B1 &5B &64
BA    2   CR     31/48   TR  2   CH  2   Channel volume 125
BA    2   CR     31/48   TR  2   CH  2   ST &B1 &0A &25
BA    2   CR     31/48   TR  4   CH  4   ST &B3 &5B &64
BA    2   CR     31/48   TR  4   CH  4   Channel volume 125
BA    2   CR       2/3   TR  6   CH  6   ST &B5 &0A &30
BA    2   CR     11/16   TR  1   CH  1   ST &B0 &5B &40
BA    2   CR     11/16   TR  1   CH  1   ST &B0 &0A &5A
BA    2   CR     11/16   TR  3   CH  3   ST &B2 &0A &1E
BA    2   CR     11/16   TR  4   CH  4   ST &B3 &0B &68
BA    2   CR     11/16   TR  4   CH  4   ST &B3 &0A &5E
BA    2   CR     11/16   TR  4   CH  4   ST &B3 &5E &28
BA    2   CR     11/16   TR  5   CH  5   ST &B4 &5D &17
BA    2   CR     11/16   TR  6   CH  6   ST &B5 &5B &40
BA    2   CR     17/24   TR  2   CH  2   ST &B1 &5B &64
BA    2   CR     17/24   TR  2   CH  2   Channel volume 125
BA    2   CR     17/24   TR  2   CH  2   ST &B1 &0A &26
BA    2   CR     17/24   TR  4   CH  4   ST &B3 &5B &64
BA    2   CR     17/24   TR  4   CH  4   Channel volume 125
BA    2   CR     35/48   TR  6   CH  6   ST &B5 &0A &30
BA    2   CR       3/4   TR  1   CH  1   ST &B0 &5B &40
BA    2   CR       3/4   TR  1   CH  1   ST &B0 &0A &5A
BA    2   CR       3/4   TR  2   CH  2   NT  E''           1/5   von=80
BA    2   CR       3/4   TR  3   CH  3   ST &B2 &0A &1E
BA    2   CR       3/4   TR  4   CH  4   NT  E''           1/5
BA    2   CR       3/4   TR  4   CH  4   ST &B3 &0B &69
BA    2   CR       3/4   TR  4   CH  4   ST &B3 &0A &5E
BA    2   CR       3/4   TR  4   CH  4   ST &B3 &5E &28
BA    2   CR       3/4   TR  5   CH  5   ST &B4 &5D &17
BA    2   CR       3/4   TR  6   CH  6   ST &B5 &5B &40
BA    2   CR     37/48   TR  2   CH  2   ST &B1 &5B &64
BA    2   CR     37/48   TR  2   CH  2   Channel volume 125
BA    2   CR     37/48   TR  2   CH  2   ST &B1 &0A &26
BA    2   CR     37/48   TR  4   CH  4   ST &B3 &5B &64
BA    2   CR     37/48   TR  4   CH  4   Channel volume 125
BA    2   CR     19/24   TR  6   CH  6   ST &B5 &0A &30
BA    2   CR     13/16   TR  1   CH  1   ST &B0 &5B &40
