format=1 tracks=5 division=92

BA    4   CR    3+5/23   TR  2   CH  3   NT  Bb-         10/23
BA    4   CR    3+5/23   TR  3   CH  4   NT  Bb---        5/23
BA    4   CR    3+5/23   TR  4   CH 10   NT  F#--         5/23
BA    4   CR   3+10/23   TR  3   CH  4   NT  Bb---        5/23
BA    4   CR   3+10/23   TR  4   CH 10   NT  F#--         5/23
BA    4   CR   3+15/23   TR  1   CH  2   NT  Bb--        10/23
BA    4   CR   3+15/23   TR  2   CH  3   NT  Bb-         10/23
BA    4   CR   3+15/23   TR  3   CH  4   NT  Bb---        5/23
BA    4   CR   3+15/23   TR  4   CH 10   NT  F#--         5/23
BA    4   CR   3+20/23   TR  4   CH 10   NT  F#--         5/23

BA    5   CR      2/23   TR  1   CH  2   NT  Bb--        10/23
BA    5   CR      2/23   TR  2   CH  3   NT  Bb-         10/23
BA    5   CR      2/23   TR  3   CH  4   NT  Bb---        5/23
BA    5   CR      2/23   TR  4   CH 10   NT  F#--         5/23
BA    5   CR      7/23   TR  4   CH 10   NT  F#--        10/23
BA    5   CR     12/23   TR  1   CH  2   NT  C#-         20/23
BA    5   CR     12/23   TR  2   CH  3   NT  F-          20/23
BA    5   CR     12/23   TR  3   CH  4   NT  B---        20/23
BA    5   CR     12/23   TR  4   CH 10   NT  E--       1+17/23
BA    5   CR     17/23   TR  4   CH 10   NT  F#--         5/23
BA    5   CR     22/23   TR  4   CH 10   NT  F#--         5/23
BA    5   CR    1+4/23   TR  4   CH 10   NT  F#--         5/23
BA    5   CR    1+9/23   TR  1   CH  2   NT  Bb--        10/23
BA    5   CR    1+9/23   TR  2   CH  3   NT  Bb-         10/23
BA    5   CR    1+9/23   TR  3   CH  4   NT  Bb---        5/23
BA    5   CR    1+9/23   TR  4   CH 10   NT  F#--         5/23
BA    5   CR   1+14/23   TR  4   CH 10   NT  F#--         5/23
BA    5   CR   1+19/23   TR  1   CH  2   NT  Bb--        10/23
