format=1 tracks=4 division=192

BA    1   CR 2+133/192   TR  2   CH  2   Channel volume 72
BA    1   CR   2+17/24   TR  2   CH  2   Channel volume 71
BA    1   CR   2+23/32   TR  2   CH  2   Channel volume 70
BA    1   CR   2+47/64   TR  2   CH  2   Channel volume 69
BA    1   CR     2+3/4   TR  2   CH  2   Channel volume 68
BA    1   CR   2+73/96   TR  2   CH  2   Channel volume 67
BA    1   CR 2+149/192   TR  2   CH  2   Channel volume 66
BA    1   CR   2+19/24   TR  2   CH  2   Channel volume 65
BA    1   CR   2+77/96   TR  2   CH  2   Channel volume 64
BA    1   CR 2+157/192   TR  2   CH  2   Channel volume 63
BA    1   CR     2+5/6   TR  2   CH  2   Channel volume 62
BA    1   CR   2+27/32   TR  2   CH  2   Channel volume 61
BA    1   CR   2+55/64   TR  2   CH  2   Channel volume 60
BA    1   CR     2+7/8   TR  2   CH  2   Channel volume 59
BA    1   CR   2+85/96   TR  2   CH  2   Channel volume 58
BA    1   CR 2+173/192   TR  2   CH  2   Channel volume 57
BA    1   CR   2+11/12   TR  2   CH  2   Channel volume 56
BA    1   CR   2+89/96   TR  2   CH  2   Channel volume 55
BA    1   CR 2+181/192   TR  2   CH  2   Channel volume 54
BA    1   CR   2+23/24   TR  2   CH  2   Channel volume 53
BA    1   CR   2+31/32   TR  2   CH  2   Channel volume 52
BA    1   CR   2+63/64   TR  2   CH  2   Channel volume 51
BA    1   CR         3   TR  2   CH  2   Channel volume 50
BA    1   CR         3   TR  3   CH  3   NT  D-            1/6
BA    1   CR    3+1/64   TR  2   CH  2   Channel volume 49
BA    1   CR   3+7/192   TR  2   CH  2   Channel volume 48
BA    1   CR  3+11/192   TR  2   CH  2   Channel volume 47
BA    1   CR    3+7/96   TR  2   CH  2   Channel volume 46
BA    1   CR    3+3/32   TR  2   CH  2   Channel volume 45
BA    1   CR   3+11/96   TR  2   CH  2   Channel volume 44
BA    1   CR  3+25/192   TR  2   CH  2   Channel volume 43
BA    1   CR  3+29/192   TR  2   CH  2   Channel volume 42
BA    1   CR   3+11/64   TR  2   CH  2   Channel volume 41
BA    1   CR    3+3/16   TR  2   CH  2   Channel volume 40
BA    1   CR    3+5/24   TR  2   CH  2   Channel volume 39
