format=1 tracks=12 division=96

BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &78
BA    1   CR         0   TR  6   CH  6   Channel volume 110
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 33
BA    1   CR         0   TR  6   CH  6   ST &B5 &02 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &5B &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &78
BA    1   CR         0   TR  6   CH  6   Channel volume 110
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 33
BA    1   CR         0   TR  6   CH  6   ST &B5 &02 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &5B &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &78
BA    1   CR         0   TR  6   CH  6   Channel volume 110
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 33
BA    1   CR         0   TR  6   CH  6   ST &B5 &02 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &5B &00
BA    1   CR         0   TR  7   CH 16   Text type 3: "friends.  And even if you didn't care for the original Gameboy soundtrack, maybe"
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &00
BA    1   CR         0   TR  7   CH  7   Channel volume 109
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   Channel volume 109
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 38
BA    1   CR         0   TR  7   CH  7   ST &B6 &02 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &5B &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   Channel volume 109
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 38
BA    1   CR         0   TR  7   CH  7   ST &B6 &02 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &5B &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   Channel volume 109
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 38
BA    1   CR         0   TR  7   CH  7   ST &B6 &02 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &5B &00
BA    1   CR         0   TR  8   CH 16   Text type 3: "you'll like this piece.  Who knows.  And yes, this is another S3M conversion,"
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &78
BA    1   CR         0   TR  8   CH  8   Channel volume 108
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &78
BA    1   CR         0   TR  8   CH  8   Channel volume 108
