format=1 tracks=4 division=1024

BA    9   CR 1+535/1024   TR  3   CH  3   NT  E        479/1024   von=64   voff=0
BA    9   CR 2+21/1024   TR  1   CH  1   NT  B       1001/1024   von=67   voff=0
BA    9   CR 2+21/1024   TR  2   CH  2   NT  B         507/512   von=67   voff=0
BA    9   CR 2+21/1024   TR  3   CH  3   NT  F#        507/512   von=67   voff=0
BA    9   CR   3+3/256   TR  1   CH  1   NT  E         499/512   von=65   voff=0
BA    9   CR   3+3/256   TR  2   CH  2   NT  D'      1011/1024   von=65   voff=0
BA    9   CR   3+3/256   TR  3   CH  3   NT  D       1011/1024   von=65   voff=0

BA   10   CR     1/256   TR  1   CH  1   NT  A         1+3/256   von=69   voff=0
BA   10   CR     1/256   TR  2   CH  2   NT  C#'      277/1024   von=69   voff=0
BA   10   CR     1/256   TR  3   CH  3   NT  E       1+25/1024   von=69   voff=0
BA   10   CR  297/1024   TR  2   CH  2   NT  D'       233/1024   von=64   voff=0
BA   10   CR   273/512   TR  2   CH  2   NT  C#'      477/1024   voff=0
BA   10   CR  1+15/512   TR  1   CH  1   NT  E       1001/1024   von=65   voff=0
BA   10   CR  1+15/512   TR  2   CH  2   NT  B         237/512   von=65   voff=0
BA   10   CR  1+15/512   TR  3   CH  3   NT  D         507/512   von=65   voff=0
BA   10   CR 1+535/1024   TR  2   CH  2   NT  A        479/1024   von=64   voff=0
BA   10   CR 2+21/1024   TR  1   CH  1   NT  G#      1001/1024   von=67   voff=0
BA   10   CR 2+21/1024   TR  2   CH  2   NT  B         507/512   von=67   voff=0
BA   10   CR 2+21/1024   TR  3   CH  3   NT  C#       479/1024   von=67   voff=0
BA   10   CR 2+531/1024   TR  3   CH  3   NT  D         237/512   von=64   voff=0
BA   10   CR   3+3/256   TR  1   CH  1   NT  E         499/512   von=65   voff=0
BA   10   CR   3+3/256   TR  2   CH  2   NT  G#      1011/1024   von=65   voff=0
BA   10   CR   3+3/256   TR  3   CH  3   NT  E       1011/1024   von=65   voff=0

BA   11   CR     1/256   TR  1   CH  1   NT  A       1+239/256   von=81   voff=0
BA   11   CR     1/256   TR  2   CH  2   NT  A        511/1024   von=69   voff=0
BA   11   CR     1/256   TR  3   CH  3   NT  E       1+25/1024   von=69   voff=0
BA   11   CR   273/512   TR  2   CH  2   NT  B        477/1024   von=64   voff=0
BA   11   CR  1+15/512   TR  2   CH  2   NT  C#'       507/512   von=65   voff=0
BA   11   CR  1+15/512   TR  3   CH  3   NT  F#        237/512   von=65   voff=0
BA   11   CR 1+535/1024   TR  3   CH  3   NT  D        479/1024   von=64   voff=0
BA   11   CR 2+21/1024   TR  1   CH  1   NT  F#        465/512   von=79   voff=0
BA   11   CR 2+21/1024   TR  2   CH  2   NT  D'        507/512   von=67   voff=0
BA   11   CR 2+21/1024   TR  3   CH  3   NT  E         507/512   von=67   voff=0
BA   11   CR   3+3/256   TR  1   CH  1   NT  G        927/1024   von=77   voff=0
BA   11   CR   3+3/256   TR  2   CH  2   NT  C#'       237/512   von=65   voff=0
BA   11   CR   3+3/256   TR  3   CH  3   NT  F#      1011/1024   von=65   voff=0
BA   11   CR 3+517/1024   TR  2   CH  2   NT  B         119/256   von=64   voff=0

BA   12   CR     1/256   TR  1   CH  1   NT  G#       965/1024   von=81   voff=0
BA   12   CR     1/256   TR  2   CH  2   NT  E'      1+25/1024   von=69   voff=0
BA   12   CR     1/256   TR  3   CH  3   NT  G#      1+25/1024   von=69   voff=0
BA   12   CR  1+15/512   TR  1   CH  1   NT  A         465/512   von=77   voff=0
BA   12   CR  1+15/512   TR  2   CH  2   NT  D'        237/512   von=65   voff=0
BA   12   CR  1+15/512   TR  3   CH  3   NT  F#        507/512   von=65   voff=0
BA   12   CR 1+535/1024   TR  2   CH  2   NT  C#'      479/1024   von=64   voff=0
BA   12   CR 2+21/1024   TR  1   CH  1   NT  D'      1+459/512   von=79   voff=0
BA   12   CR 2+21/1024   TR  2   CH  2   NT  B       1+501/512   von=67   voff=0
BA   12   CR   3+3/256   TR  3   CH  3   NT  G#      1011/1024   voff=0

BA   13   CR     1/256   TR  1   CH  1   NT  C#'     3+935/1024   von=76   voff=0
BA   13   CR     1/256   TR  3   CH  3   NT  E       1+25/1024   von=69   voff=0
BA   13   CR    59/256   TR  1   CH  1   Channel volume 90
BA   13   CR  371/1024   TR  1   CH  1   Channel volume 91
BA   13   CR   253/512   TR  1   CH  1   Channel volume 93
BA   13   CR   273/512   TR  2   CH  2   NT  C#'      477/1024   von=64   voff=0
BA   13   CR  641/1024   TR  1   CH  1   Channel volume 95
BA   13   CR    97/128   TR  1   CH  1   Channel volume 98
BA   13   CR  911/1024   TR  1   CH  1   Channel volume 100
BA   13   CR  1+11/512   TR  1   CH  1   Channel volume 101
BA   13   CR  1+15/512   TR  2   CH  2   NT  B         237/512   von=65   voff=0
BA   13   CR 1+157/1024   TR  1   CH  1   Channel volume 102
BA   13   CR  1+73/256   TR  1   CH  1   Channel volume 103
BA   13   CR 1+219/512   TR  1   CH  1   Channel volume 104
BA   13   CR 1+535/1024   TR  2   CH  2   NT  C#'      479/1024   von=64   voff=0
BA   13   CR 1+567/1024   TR  1   CH  1   Channel volume 103
BA   13   CR 1+477/512   TR  1   CH  1   Channel volume 102
BA   13   CR 2+21/1024   TR  2   CH  2   NT  C#'      479/1024   von=67   voff=0
BA   13   CR 2+21/1024   TR  3   CH  3   NT  E         507/512   von=67   voff=0
BA   13   CR 2+59/1024   TR  1   CH  1   Channel volume 101
BA   13   CR  2+47/256   TR  1   CH  1   Channel volume 100
BA   13   CR 2+223/512   TR  1   CH  1   Channel volume 99
BA   13   CR 2+531/1024   TR  2   CH  2   NT  D'        237/512   von=64   voff=0
BA   13   CR 2+575/1024   TR  1   CH  1   Channel volume 98
BA   13   CR   2+11/16   TR  1   CH  1   Channel volume 96
BA   13   CR 2+833/1024   TR  1   CH  1   Channel volume 95
BA   13   CR 2+481/512   TR  1   CH  1   Channel volume 94
BA   13   CR   3+3/256   TR  2   CH  2   NT  C#'       237/512   von=65   voff=0
BA   13   CR   3+3/256   TR  3   CH  3   NT  F#        237/512   von=65   voff=0
BA   13   CR 3+67/1024   TR  1   CH  1   Channel volume 93
BA   13   CR  3+49/256   TR  1   CH  1   Channel volume 92
BA   13   CR 3+325/1024   TR  1   CH  1   Channel volume 91
BA   13   CR 3+227/512   TR  1   CH  1   Channel volume 90
