format=1 tracks=3 division=48

BA   11   CR    2+1/12   TR  2   CH  2   Channel volume 107
BA   11   CR    2+3/16   TR  2   CH  2   Channel volume 105
BA   11   CR    2+7/24   TR  2   CH  2   Channel volume 103
BA   11   CR   2+19/48   TR  2   CH  2   Channel volume 101
BA   11   CR     2+1/2   TR  2   CH  2   Channel volume 100
BA   11   CR    2+7/12   TR  2   CH  2   Channel volume 98
BA   11   CR   2+11/16   TR  2   CH  2   Channel volume 96
BA   11   CR   2+19/24   TR  2   CH  2   Channel volume 94
BA   11   CR   2+43/48   TR  2   CH  2   Channel volume 93
BA   11   CR         3   TR  2   CH  2   Channel volume 91
BA   11   CR    3+1/12   TR  2   CH  2   Channel volume 89
BA   11   CR    3+3/16   TR  2   CH  2   Channel volume 87
BA   11   CR    3+7/24   TR  2   CH  2   Channel volume 86
BA   11   CR   3+19/48   TR  2   CH  2   Channel volume 84
BA   11   CR     3+1/2   TR  2   CH  2   Channel volume 82
BA   11   CR    3+7/12   TR  2   CH  2   Channel volume 81
BA   11   CR   3+11/16   TR  2   CH  2   Channel volume 79
BA   11   CR   3+19/24   TR  2   CH  2   Channel volume 77
BA   11   CR   3+43/48   TR  2   CH  2   Channel volume 75

BA   12   CR         0   TR  2   CH  2   Channel volume 74
BA   12   CR      1/12   TR  2   CH  2   Channel volume 72
BA   12   CR      3/16   TR  2   CH  2   Channel volume 70
BA   12   CR      7/24   TR  2   CH  2   Channel volume 68
BA   12   CR     19/48   TR  2   CH  2   Channel volume 67
BA   12   CR       1/2   TR  2   CH  2   Channel volume 65
BA   12   CR      7/12   TR  2   CH  2   Channel volume 63
BA   12   CR     11/16   TR  2   CH  2   Channel volume 61
BA   12   CR     19/24   TR  2   CH  2   Channel volume 60
BA   12   CR     43/48   TR  2   CH  2   Channel volume 58
BA   12   CR         1   TR  2   CH  2   Channel volume 56
BA   12   CR    1+1/12   TR  2   CH  2   Channel volume 54
BA   12   CR    1+3/16   TR  2   CH  2   Channel volume 53
BA   12   CR    1+7/24   TR  2   CH  2   Channel volume 51
BA   12   CR   1+19/48   TR  2   CH  2   Channel volume 49
BA   12   CR     1+1/2   TR  2   CH  2   Channel volume 47
BA   12   CR    1+7/12   TR  2   CH  2   Channel volume 46
BA   12   CR   1+11/16   TR  2   CH  2   Channel volume 44
BA   12   CR   1+19/24   TR  2   CH  2   Channel volume 42
BA   12   CR   1+43/48   TR  2   CH  2   Channel volume 41
BA   12   CR         2   TR  2   CH  2   Channel volume 39
BA   12   CR    2+1/12   TR  2   CH  2   Channel volume 37
BA   12   CR    2+3/16   TR  2   CH  2   Channel volume 35
BA   12   CR    2+7/24   TR  2   CH  2   Channel volume 34
BA   12   CR   2+19/48   TR  2   CH  2   Channel volume 32
BA   12   CR     2+1/2   TR  2   CH  2   Channel volume 30
BA   12   CR    2+7/12   TR  2   CH  2   Channel volume 28
BA   12   CR   2+11/16   TR  2   CH  2   Channel volume 27
BA   12   CR   2+19/24   TR  2   CH  2   Channel volume 25
BA   12   CR   2+43/48   TR  2   CH  2   Channel volume 23
BA   12   CR         3   TR  2   CH  2   Channel volume 21
BA   12   CR    3+1/12   TR  2   CH  2   Channel volume 20
BA   12   CR    3+3/16   TR  2   CH  2   Channel volume 18
BA   12   CR    3+7/24   TR  2   CH  2   Channel volume 16
BA   12   CR   3+19/48   TR  2   CH  2   Channel volume 14
BA   12   CR     3+1/2   TR  2   CH  2   Channel volume 13
BA   12   CR    3+7/12   TR  2   CH  2   Channel volume 11
BA   12   CR   3+11/16   TR  2   CH  2   Channel volume 9
BA   12   CR   3+19/24   TR  2   CH  2   Channel volume 7
BA   12   CR   3+43/48   TR  2   CH  2   Channel volume 6

BA   13   CR         0   TR  1   CH  1   NT  D'              1
BA   13   CR         0   TR  2   CH  2   Channel volume 4
BA   13   CR      1/12   TR  2   CH  2   Channel volume 2
BA   13   CR      3/16   TR  2   CH  2   Channel volume 126
BA   13   CR       1/4   TR  2   CH  2   NT  D'              1
BA   13   CR         1   TR  1   CH  1   NT  F#'           1/2
BA   13   CR     1+1/4   TR  2   CH  2   NT  F#'           1/2
BA   13   CR     1+1/2   TR  1   CH  1   NT  A             1/2
BA   13   CR     1+3/4   TR  2   CH  2   NT  A             1/2
BA   13   CR         2   TR  1   CH  1   NT  B             1/2
BA   13   CR     2+1/4   TR  2   CH  2   NT  B             1/2
BA   13   CR     2+1/2   TR  1   CH  1   NT  C#'           1/2
BA   13   CR     2+3/4   TR  2   CH  2   NT  C#'           1/2
BA   13   CR         3   TR  1   CH  1   NT  D'          1+1/2
BA   13   CR    3+1/12   TR  2   CH  2   Channel volume 127
BA   13   CR    3+3/16   TR  2   CH  2   Channel volume 124
BA   13   CR     3+1/4   TR  2   CH  2   NT  D'          2+3/4
BA   13   CR    3+7/24   TR  2   CH  2   Channel volume 120
BA   13   CR   3+19/48   TR  2   CH  2   Channel volume 116
BA   13   CR     3+1/2   TR  2   CH  2   Channel volume 112
BA   13   CR    3+7/12   TR  2   CH  2   Channel volume 108
BA   13   CR   3+11/16   TR  2   CH  2   Channel volume 105
BA   13   CR   3+19/24   TR  2   CH  2   Channel volume 101
BA   13   CR   3+43/48   TR  2   CH  2   Channel volume 97

BA   14   CR         0   TR  2   CH  2   Channel volume 93
BA   14   CR      1/12   TR  2   CH  2   Channel volume 89
BA   14   CR      3/16   TR  2   CH  2   Channel volume 85
BA   14   CR      7/24   TR  2   CH  2   Channel volume 82
BA   14   CR     19/48   TR  2   CH  2   Channel volume 78
BA   14   CR       1/2   TR  1   CH 16   End of track
BA   14   CR       1/2   TR  2   CH  2   Channel volume 74
BA   14   CR      7/12   TR  2   CH  2   Channel volume 70
BA   14   CR     11/16   TR  2   CH  2   Channel volume 66
BA   14   CR     19/24   TR  2   CH  2   Channel volume 63
BA   14   CR     43/48   TR  2   CH  2   Channel volume 59
BA   14   CR         1   TR  2   CH  2   Channel volume 55
BA   14   CR    1+1/12   TR  2   CH  2   Channel volume 51
BA   14   CR    1+3/16   TR  2   CH  2   Channel volume 47
BA   14   CR    1+7/24   TR  2   CH  2   Channel volume 43
BA   14   CR   1+19/48   TR  2   CH  2   Channel volume 40
BA   14   CR     1+1/2   TR  2   CH  2   Channel volume 36
BA   14   CR    1+7/12   TR  2   CH  2   Channel volume 32
BA   14   CR   1+11/16   TR  2   CH  2   Channel volume 28
BA   14   CR   1+19/24   TR  2   CH  2   Channel volume 24
BA   14   CR   1+43/48   TR  2   CH  2   Channel volume 21
BA   14   CR         2   TR  2   CH  2   Channel volume 17
BA   14   CR    2+1/12   TR  2   CH  2   Channel volume 13
BA   14   CR    2+3/16   TR  2   CH  2   Channel volume 9
BA   14   CR    2+7/24   TR  2   CH  2   Channel volume 5
BA   14   CR   2+19/48   TR  2   CH  2   Channel volume 1
BA   14   CR   2+19/48   TR  2   CH 16   End of track
# Successfully parsed
# Duration = 19.1985 seconds
