format=1 tracks=7 division=240

BA    5   CR 3+217/240   TR  2   CH  2   NT  D-            1/5
BA    5   CR   3+37/40   TR  1   CH  1   NT  D'          41/80

BA    6   CR     19/48   TR  2   CH  2   NT  D-           2/15
BA    6   CR     17/40   TR  1   CH  1   NT  E'          11/24
BA    6   CR     19/30   TR  2   CH  2   NT  D-           3/16
BA    6   CR     53/60   TR  2   CH  2   NT  D          43/240
BA    6   CR     43/48   TR  1   CH  1   NT  F#'         11/20
BA    6   CR    1+5/12   TR  2   CH  2   NT  D-           9/80
BA    6   CR    1+7/16   TR  1   CH  1   NT  D'            1/3
BA    6   CR   1+49/80   TR  2   CH  2   NT  D-          11/80
BA    6   CR 1+101/120   TR  6   CH  6   NT  A--         2+1/6
BA    6   CR   1+43/48   TR  2   CH  2   NT  E-         47/240
BA    6   CR   1+37/40   TR  1   CH  1   NT  D'          47/48
BA    6   CR    2+5/12   TR  2   CH  2   NT  E-           2/15
BA    6   CR   2+31/48   TR  2   CH  2   NT  E-           7/40
BA    6   CR   2+69/80   TR  1   CH  1   NT  C#'       1+41/80
BA    6   CR   2+43/48   TR  2   CH  2   NT  E            7/40
BA    6   CR    3+5/12   TR  2   CH  2   NT  E-           9/80
BA    6   CR   3+19/30   TR  2   CH  2   NT  E-         43/240
BA    6   CR     3+7/8   TR  2   CH  2   NT  B--          5/24
BA    6   CR   3+37/40   TR  6   CH  6   NT  B--       5+11/12

BA    7   CR    41/120   TR  1   CH  1   NT  B           25/48
BA    7   CR     17/40   TR  2   CH  2   NT  B--          7/48
BA    7   CR     31/48   TR  2   CH  2   NT  B--          7/40
BA    7   CR       5/6   TR  1   CH  1   NT  C#'         49/80
BA    7   CR     15/16   TR  2   CH  2   NT  B-           7/48
BA    7   CR    1+5/12   TR  1   CH  1   NT  D'          39/80
BA    7   CR    1+7/15   TR  2   CH  2   NT  B--         11/80
BA    7   CR   1+17/24   TR  2   CH  2   NT  B--          7/48
BA    7   CR   1+11/12   TR  1   CH  1   NT  B          1+1/12
BA    7   CR 1+227/240   TR  2   CH  2   NT  B--           1/6
