format=1 tracks=11 division=96

BA    1   CR         0   TR  6   CH 16   Text type 3: "like the S3M version, but none of them worked.  It's alright, I guess...  Not"
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &00
BA    1   CR         0   TR  6   CH  6   Channel volume 110
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   Channel volume 110
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 4
BA    1   CR         0   TR  6   CH  6   ST &B5 &02 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &5B &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   Channel volume 110
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 4
BA    1   CR         0   TR  6   CH  6   ST &B5 &02 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &5B &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   Channel volume 110
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 4
BA    1   CR         0   TR  6   CH  6   ST &B5 &02 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &5B &00
BA    1   CR         0   TR  6   CH  6   NT  Eb---       11/48   von=126   voff=126
BA    1   CR         0   TR  7   CH 16   Text type 3: "as good as I'd've liked...""
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &78
BA    1   CR         0   TR  7   CH  7   Channel volume 110
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &78
BA    1   CR         0   TR  7   CH  7   Channel volume 110
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 5
BA    1   CR         0   TR  7   CH  7   ST &B6 &02 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &5B &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &78
BA    1   CR         0   TR  7   CH  7   Channel volume 110
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 5
BA    1   CR         0   TR  7   CH  7   ST &B6 &02 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &5B &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &78
BA    1   CR         0   TR  7   CH  7   Channel volume 110
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 5
BA    1   CR         0   TR  7   CH  7   ST &B6 &02 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &5B &00
BA    1   CR         0   TR  7   CH  7   NT  Eb          11/48   von=126   voff=126
BA    1   CR         0   TR  8   CH 16   Text type 3: "Visit my site, "Music of the Game II:  Café De La Luna" for more MIDI goodness!"
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &18
BA    1   CR         0   TR  8   CH  8   Channel volume 67
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &18
BA    1   CR         0   TR  8   CH  8   Channel volume 67
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 84
BA    1   CR         0   TR  8   CH  8   ST &B7 &02 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &5B &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &18
BA    1   CR         0   TR  8   CH  8   Channel volume 67
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 84
BA    1   CR         0   TR  8   CH  8   ST &B7 &02 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &5B &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &18
BA    1   CR         0   TR  8   CH  8   Channel volume 67
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 84
BA    1   CR         0   TR  8   CH  8   ST &B7 &02 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &5B &00
BA    1   CR         0   TR  9   CH 16   Text type 3: "-=( http://www.ninthdimension.net/motg2 )=-"
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &58
BA    1   CR         0   TR  9   CH  9   Channel volume 90
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &58
BA    1   CR         0   TR  9   CH  9   Channel volume 90
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   Instrument 20
BA    1   CR         0   TR  9   CH  9   ST &B8 &02 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &5B &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &58
BA    1   CR         0   TR  9   CH  9   Channel volume 90
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   Instrument 20
BA    1   CR         0   TR  9   CH  9   ST &B8 &02 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &5B &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &58
BA    1   CR         0   TR  9   CH  9   Channel volume 90
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   Instrument 20
BA    1   CR         0   TR  9   CH  9   ST &B8 &02 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &5B &00
BA    1   CR         0   TR  9   CH  9   NT  Eb          11/48   von=126   voff=126
BA    1   CR         0   TR 10   CH 16   Text type 3: " "
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &38
BA    1   CR         0   TR 10   CH 10   Channel volume 110
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &38
BA    1   CR         0   TR 10   CH 10   Channel volume 110
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 17
BA    1   CR         0   TR 10   CH 10   ST &B9 &5B &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &38
BA    1   CR         0   TR 10   CH 10   Channel volume 110
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 17
BA    1   CR         0   TR 10   CH 10   ST &B9 &5B &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &38
BA    1   CR         0   TR 10   CH 10   Channel volume 110
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 17
BA    1   CR         0   TR 10   CH 10   ST &B9 &5B &00
BA    1   CR      1/96   TR  8   CH  8   NT  F'          11/48   von=126   voff=126
BA    1   CR      1/96   TR 10   CH 10   NT  B---        35/48   von=126   voff=126
BA    1   CR       1/4   TR  1   CH  1   NT  F#'         11/48   voff=126
BA    1   CR       1/4   TR  2   CH  2   NT  Eb'         23/48   voff=126
BA    1   CR       1/4   TR  5   CH  5   NT  F#'         11/48   voff=126
