format=0 tracks=1 division=192

BA   11   CR       3/4   TR  0   CH  4   NT  F--         95/96
BA   11   CR         1   TR  0   CH 10   NT  E--         23/96
BA   11   CR         1   TR  0   CH 10   NT  F#--        23/96
BA   11   CR         1   TR  0   CH  3   NT  A             5/6
BA   11   CR     1+1/4   TR  0   CH 10   NT  F#--        23/96
BA   11   CR     1+1/2   TR  0   CH 10   NT  Bb--        47/96
BA   11   CR     1+3/4   TR  0   CH  4   NT  F--         23/96
BA   11   CR         2   TR  0   CH 10   NT  C--         47/96
BA   11   CR         2   TR  0   CH 10   NT  F#--        47/96
BA   11   CR         2   TR  0   CH  3   NT  G#            5/6
BA   11   CR         2   TR  0   CH  4   NT  E--         71/96
BA   11   CR     2+1/2   TR  0   CH 10   NT  Bb--        47/96
BA   11   CR     2+3/4   TR  0   CH  4   NT  E--         95/96
BA   11   CR         3   TR  0   CH 10   NT  E--         47/96
BA   11   CR         3   TR  0   CH 10   NT  F#--        47/96
BA   11   CR         3   TR  0   CH  2   NT  D'          35/96
BA   11   CR         3   TR  0   CH  3   NT  G#          35/96
BA   11   CR     3+3/8   TR  0   CH  2   NT  C'          35/96
BA   11   CR     3+3/8   TR  0   CH  3   NT  E           35/96
BA   11   CR     3+1/2   TR  0   CH 10   NT  C--         47/96
BA   11   CR     3+1/2   TR  0   CH 10   NT  Bb--        47/96
BA   11   CR     3+3/4   TR  0   CH  2   NT  B           23/96
BA   11   CR     3+3/4   TR  0   CH  3   NT  D           23/96
BA   11   CR     3+3/4   TR  0   CH  4   NT  E--         23/96

BA   12   CR         0   TR  0   CH 10   NT  F#--        23/96
BA   12   CR         0   TR  0   CH  2   NT  A         1+71/96
BA   12   CR         0   TR  0   CH  3   NT  C             5/6
BA   12   CR         0   TR  0   CH  4   NT  A--         71/96
BA   12   CR       1/4   TR  0   CH 10   NT  F#--        23/96
BA   12   CR       1/2   TR  0   CH 10   NT  Bb--        23/96
BA   12   CR       3/4   TR  0   CH 10   NT  F#--        23/96
BA   12   CR       3/4   TR  0   CH  4   NT  A--         95/96
BA   12   CR         1   TR  0   CH 10   NT  E--         23/96
BA   12   CR         1   TR  0   CH 10   NT  F#--        23/96
BA   12   CR         1   TR  0   CH  3   NT  E             5/6
BA   12   CR     1+1/4   TR  0   CH 10   NT  F#--        23/96
BA   12   CR     1+1/2   TR  0   CH 10   NT  Bb--        47/96
BA   12   CR     1+3/4   TR  0   CH  2   NT  B           23/96
BA   12   CR     1+3/4   TR  0   CH  4   NT  A--         23/96
BA   12   CR         2   TR  0   CH 10   NT  C--         47/96
BA   12   CR         2   TR  0   CH 10   NT  F#--        47/96
BA   12   CR         2   TR  0   CH  2   NT  C'            5/6
BA   12   CR         2   TR  0   CH  3   NT  G             5/6
BA   12   CR         2   TR  0   CH  4   NT  G--         71/96
BA   12   CR     2+1/2   TR  0   CH 10   NT  Bb--        47/96
BA   12   CR     2+3/4   TR  0   CH  4   NT  G--         95/96
BA   12   CR         3   TR  0   CH 10   NT  E--         23/96
BA   12   CR         3   TR  0   CH 10   NT  F#--        23/96
BA   12   CR         3   TR  0   CH  2   NT  F#'           5/6
BA   12   CR         3   TR  0   CH  3   NT  A             5/6
BA   12   CR     3+1/4   TR  0   CH 10   NT  F#--        23/96
BA   12   CR     3+1/2   TR  0   CH 10   NT  Bb--        23/96
BA   12   CR     3+3/4   TR  0   CH 10   NT  F#--        23/96
BA   12   CR     3+3/4   TR  0   CH  4   NT  G--         23/96

BA   13   CR         0   TR  0   CH 10   NT  C--         47/96
BA   13   CR         0   TR  0   CH 10   NT  F#--        47/96
BA   13   CR         0   TR  0   CH  2   NT  D'          3+3/4
BA   13   CR         0   TR  0   CH  3   NT  F#            5/6
BA   13   CR         0   TR  0   CH  4   NT  D--         71/96
BA   13   CR       1/2   TR  0   CH 10   NT  Bb--        47/96
BA   13   CR       3/4   TR  0   CH  4   NT  D--         23/96
BA   13   CR         1   TR  0   CH 10   NT  E--         23/96
BA   13   CR         1   TR  0   CH 10   NT  F#--        23/96
BA   13   CR         1   TR  0   CH  3   NT  G             5/6
BA   13   CR         1   TR  0   CH  4   NT  E--         71/96
BA   13   CR     1+1/4   TR  0   CH 10   NT  F#--        23/96
BA   13   CR     1+1/2   TR  0   CH 10   NT  Bb--        47/96
BA   13   CR     1+3/4   TR  0   CH  4   NT  E--         23/96
BA   13   CR         2   TR  0   CH 10   NT  C--         47/96
BA   13   CR         2   TR  0   CH 10   NT  F#--        47/96
BA   13   CR         2   TR  0   CH  3   NT  G#            5/6
BA   13   CR         2   TR  0   CH  4   NT  F--         71/96
BA   13   CR     2+1/2   TR  0   CH 10   NT  Bb--        47/96
BA   13   CR     2+3/4   TR  0   CH  4   NT  F--         23/96
BA   13   CR         3   TR  0   CH 10   NT  E--         47/96
BA   13   CR         3   TR  0   CH 10   NT  F#--        47/96
BA   13   CR         3   TR  0   CH  3   NT  A             5/6
BA   13   CR         3   TR  0   CH  4   NT  F#--        71/96
BA   13   CR     3+1/2   TR  0   CH 10   NT  C--         47/96
BA   13   CR     3+1/2   TR  0   CH 10   NT  Bb--        47/96
BA   13   CR     3+3/4   TR  0   CH  4   NT  F#--        23/96

BA   14   CR         0   TR  0   CH 10   NT  F#--        23/96
BA   14   CR         0   TR  0   CH  2   NT  B         1+71/96
BA   14   CR         0   TR  0   CH  3   NT  G           1+3/4
BA   14   CR         0   TR  0   CH  4   NT  G--         71/96
BA   14   CR       1/4   TR  0   CH 10   NT  F#--        23/96
BA   14   CR       1/2   TR  0   CH 10   NT  Bb--        23/96
BA   14   CR       3/4   TR  0   CH 10   NT  F#--        23/96
BA   14   CR       3/4   TR  0   CH  4   NT  G--         95/96
BA   14   CR         1   TR  0   CH 10   NT  E--         23/96
BA   14   CR         1   TR  0   CH 10   NT  F#--        23/96
