format=1 tracks=33 division=480

BA    2   CR     3+1/4   TR  1   CH  1   NT  B            9/40   von=91
BA    2   CR     3+1/4   TR  2   CH  2   NT  D'           9/40   von=73
BA    2   CR     3+1/2   TR  1   CH  1   NT  A            9/40   von=93
BA    2   CR     3+1/2   TR  2   CH  2   NT  C'           9/40   von=75
BA    2   CR     3+1/2   TR  5   CH  5   NT  G#'           2/5   von=76
BA    2   CR     3+3/4   TR  1   CH  1   NT  B            9/40   von=96
BA    2   CR     3+3/4   TR  2   CH  2   NT  D'           9/40   von=79

BA    3   CR         0   TR  0   CH 16   Tempo 153.0005
BA    3   CR         0   TR  1   CH  1   NT  A            9/40   von=85
BA    3   CR         0   TR  2   CH  2   NT  C'           9/40   von=83
BA    3   CR         0   TR  3   CH  3   NT  A---            2   von=101
BA    3   CR         0   TR  3   CH  3   NT  A--             2
BA    3   CR         0   TR  4   CH  4   NT  E               2   von=100
BA    3   CR         0   TR  4   CH  4   NT  A-              2
BA    3   CR         0   TR  5   CH  5   NT  A'            2/5   von=89
BA    3   CR      1/48   TR  0   CH 16   Tempo 157.0004
BA    3   CR       1/4   TR  1   CH  1   NT  C'           9/40   von=86
BA    3   CR       1/4   TR  2   CH  2   NT  E'           9/40   von=85
BA    3   CR       1/2   TR  1   CH  1   NT  B            9/40   von=88
BA    3   CR       1/2   TR  2   CH  2   NT  D'           9/40   von=86
BA    3   CR       1/2   TR  5   CH  5   NT  E'            2/5   von=81
BA    3   CR       3/4   TR  1   CH  1   NT  C'           9/40   von=91
BA    3   CR       3/4   TR  2   CH  2   NT  E'           9/40   von=89
BA    3   CR         1   TR  1   CH  1   NT  A            9/40   von=96
BA    3   CR         1   TR  2   CH  2   NT  C'           9/40   von=91
BA    3   CR         1   TR  5   CH  5   NT  C'            2/5   von=100
BA    3   CR     1+1/4   TR  1   CH  1   NT  C'           9/40   von=99
BA    3   CR     1+1/4   TR  2   CH  2   NT  E'           9/40   von=93
BA    3   CR     1+1/2   TR  1   CH  1   NT  B            9/40
BA    3   CR     1+1/2   TR  2   CH  2   NT  D'           9/40   von=95
BA    3   CR     1+1/2   TR  5   CH  5   NT  A'            2/5   von=93
BA    3   CR     1+3/4   TR  1   CH  1   NT  C'           9/40   von=103
BA    3   CR     1+3/4   TR  2   CH  2   NT  E'           9/40   von=97
