format=1 tracks=12 division=96

BA    1   CR         0   TR  7   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  7   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  7   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  7   CH  5   Channel volume 111
BA    1   CR         0   TR  7   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  7   CH  5   Instrument 25
BA    1   CR         0   TR  7   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  7   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  7   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  7   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  7   CH  5   Channel volume 111
BA    1   CR         0   TR  7   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  7   CH  5   Instrument 25
BA    1   CR         0   TR  7   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  7   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  7   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  7   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  7   CH  5   Channel volume 111
BA    1   CR         0   TR  7   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  7   CH  5   Instrument 25
BA    1   CR         0   TR  8   CH 16   Text type 3: "MIDI Out #8"
BA    1   CR         0   TR  8   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  8   CH  6   Channel volume 111
BA    1   CR         0   TR  8   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  8   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  8   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  8   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  8   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  8   CH  6   Channel volume 111
BA    1   CR         0   TR  8   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  8   CH  6   Instrument 25
BA    1   CR         0   TR  8   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  8   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  8   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  8   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  8   CH  6   Channel volume 111
BA    1   CR         0   TR  8   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  8   CH  6   Instrument 25
BA    1   CR         0   TR  8   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  8   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  8   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  8   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  8   CH  6   Channel volume 111
BA    1   CR         0   TR  8   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  8   CH  6   Instrument 25
BA    1   CR         0   TR  9   CH 16   Text type 3: "MIDI Out #9"
BA    1   CR         0   TR  9   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  9   CH  7   Channel volume 111
BA    1   CR         0   TR  9   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  9   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  9   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  9   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  9   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  9   CH  7   Channel volume 111
BA    1   CR         0   TR  9   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  9   CH  7   Instrument 56
BA    1   CR         0   TR  9   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  9   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  9   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  9   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  9   CH  7   Channel volume 111
BA    1   CR         0   TR  9   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  9   CH  7   Instrument 56
BA    1   CR         0   TR  9   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  9   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  9   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  9   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  9   CH  7   Channel volume 111
BA    1   CR         0   TR  9   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  9   CH  7   Instrument 56
BA    1   CR         0   TR 10   CH 16   Text type 3: "MIDI Out #4"
BA    1   CR         0   TR 10   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR 10   CH  2   Channel volume 100
BA    1   CR         0   TR 10   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR 10   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR 10   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR 10   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR 10   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR 10   CH  2   Channel volume 100
BA    1   CR         0   TR 10   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR 10   CH  2   Instrument 36
BA    1   CR         0   TR 10   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR 10   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR 10   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR 10   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR 10   CH  2   Channel volume 100
BA    1   CR         0   TR 10   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR 10   CH  2   Instrument 36
BA    1   CR         0   TR 10   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR 10   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR 10   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR 10   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR 10   CH  2   Channel volume 100
BA    1   CR         0   TR 10   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR 10   CH  2   Instrument 36
BA    1   CR         0   TR 10   CH  2   NT  C---          1/4   von=100
BA    1   CR         0   TR 11   CH 16   Text type 3: "MIDI Out #2"
BA    1   CR         0   TR 11   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 11   CH 10   Channel volume 102
BA    1   CR         0   TR 11   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 11   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 11   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 11   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 11   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 11   CH 10   Channel volume 102
BA    1   CR         0   TR 11   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 11   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 11   CH 10   ST &B9 &64 &00
