format=1 tracks=8 division=96

BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &3A
BA    1   CR         0   TR  6   CH  6   Channel volume 107
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 35
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &3A
BA    1   CR         0   TR  6   CH  6   Channel volume 107
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 35
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &3A
BA    1   CR         0   TR  6   CH  6   Channel volume 107
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 35
BA    1   CR         0   TR  7   CH 16   Text type 3: "-=( http://www.ninthdimension.net/motg2 )=-"
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 110
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 110
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   Instrument 9
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 110
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   Instrument 9
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 110
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   Instrument 9
BA    1   CR       1/4   TR  7   CH 10   NT  D--         11/48   von=108   voff=108
BA    1   CR       1/2   TR  7   CH 10   NT  D--         11/48   voff=108
BA    1   CR       3/4   TR  7   CH 10   NT  D--         11/48   voff=108
BA    1   CR         1   TR  7   CH 10   NT  D--         11/48   voff=108
BA    1   CR     1+1/4   TR  7   CH 10   NT  D--         11/48   voff=108
BA    1   CR     1+1/2   TR  7   CH 10   NT  D--         11/48   voff=108
BA    1   CR     1+3/4   TR  7   CH 10   NT  D--         11/48   voff=108
BA    1   CR         2   TR  1   CH  1   NT  C#'       1+25/96   von=109   voff=109
BA    1   CR         2   TR  1   CH  1   NT  F#'       1+25/96   voff=109
BA    1   CR         2   TR  2   CH  2   NT  G#-       1+25/96   von=109   voff=109
BA    1   CR         2   TR  2   CH  2   NT  C#        1+25/96   voff=109
BA    1   CR         2   TR  3   CH  3   NT  F#        2+47/48   von=109   voff=109
BA    1   CR         2   TR  3   CH  3   NT  C#         3+1/96   voff=109
BA    1   CR         2   TR  4   CH  4   NT  F#-       2+47/48   von=109   voff=109
BA    1   CR         2   TR  4   CH  4   NT  C#-        3+1/96   voff=109
BA    1   CR         2   TR  5   CH  5   NT  Eb-         23/48   von=109   voff=109
BA    1   CR         2   TR  6   CH  6   NT  Eb-         23/48   von=109   voff=109
BA    1   CR         2   TR  7   CH 10   NT  A-          47/48   voff=108
BA    1   CR         2   TR  7   CH 10   NT  F#--        23/48   von=109   voff=109
BA    1   CR     2+1/2   TR  5   CH  5   NT  Eb-         23/48   voff=109
BA    1   CR     2+1/2   TR  6   CH  6   NT  Eb-         23/48   voff=109
BA    1   CR     2+1/2   TR  7   CH 10   NT  F#--        23/48   voff=109
BA    1   CR         3   TR  5   CH  5   NT  Eb          23/48   voff=109
BA    1   CR         3   TR  6   CH  6   NT  Eb          23/48   voff=109
BA    1   CR         3   TR  7   CH 10   NT  F#--        23/48   voff=109
BA    1   CR         3   TR  7   CH 10   NT  D--         23/48   voff=109
BA    1   CR     3+1/2   TR  1   CH  1   NT  C'          23/48   voff=109
BA    1   CR     3+1/2   TR  1   CH  1   NT  F'          23/48   voff=109
BA    1   CR     3+1/2   TR  2   CH  2   NT  G#-         23/48   voff=109
BA    1   CR     3+1/2   TR  2   CH  2   NT  C#          23/48   voff=109
BA    1   CR     3+1/2   TR  5   CH  5   NT  Eb-         23/48   voff=109
BA    1   CR     3+1/2   TR  6   CH  6   NT  Eb-         23/48   voff=109
BA    1   CR     3+1/2   TR  7   CH 10   NT  F#--        23/48   voff=109

BA    2   CR         0   TR  1   CH  1   NT  C'          79/96   voff=109
BA    2   CR         0   TR  1   CH  1   NT  F'          79/96   voff=109
BA    2   CR         0   TR  2   CH  2   NT  G#-         79/96   voff=109
BA    2   CR         0   TR  2   CH  2   NT  C#          79/96   voff=109
BA    2   CR         0   TR  5   CH  5   NT  Eb-         23/48   voff=109
BA    2   CR         0   TR  6   CH  6   NT  Eb-         23/48   voff=109
BA    2   CR         0   TR  7   CH 10   NT  F#--        23/48   voff=109
BA    2   CR       1/2   TR  5   CH  5   NT  Eb          23/48   voff=109
BA    2   CR       1/2   TR  6   CH  6   NT  Eb          23/48   voff=109
BA    2   CR       1/2   TR  7   CH 10   NT  F#--        23/48   voff=109
BA    2   CR       1/2   TR  7   CH 10   NT  D--         23/48   voff=109
BA    2   CR         1   TR  1   CH  1   NT  G#        1+23/48   voff=109
BA    2   CR         1   TR  1   CH  1   NT  C#'       1+23/48   voff=109
BA    2   CR         1   TR  2   CH  2   NT  Eb-       1+23/48   voff=109
BA    2   CR         1   TR  2   CH  2   NT  G#-       1+23/48   voff=109
BA    2   CR         1   TR  3   CH  3   NT  C#           1/96   voff=109
BA    2   CR         1   TR  3   CH  3   NT  G#-       2+47/48   voff=109
BA    2   CR         1   TR  4   CH  4   NT  C#-          1/96   voff=109
BA    2   CR         1   TR  4   CH  4   NT  G#--      2+47/48   voff=109
BA    2   CR         1   TR  5   CH  5   NT  Eb-         23/48   voff=109
BA    2   CR         1   TR  6   CH  6   NT  Eb-         23/48   voff=109
BA    2   CR         1   TR  7   CH 10   NT  E-          47/48   von=108   voff=108
BA    2   CR         1   TR  7   CH 10   NT  F#--        23/48   von=109   voff=109
BA    2   CR     1+1/2   TR  5   CH  5   NT  Eb          23/48   voff=109
BA    2   CR     1+1/2   TR  6   CH  6   NT  Eb          23/48   voff=109
BA    2   CR     1+1/2   TR  7   CH 10   NT  F#--        23/48   voff=109
BA    2   CR         2   TR  5   CH  5   NT  Eb-         23/48   voff=109
BA    2   CR         2   TR  6   CH  6   NT  Eb-         23/48   voff=109
BA    2   CR         2   TR  7   CH 10   NT  F#--        23/48   voff=109
