format=1 tracks=5 division=240

BA   12   CR         0   TR  1   CH 10   NT  A---          1/2
BA   12   CR         0   TR  2   CH  1   NT  C--             1
BA   12   CR         0   TR  3   CH  2   NT  C             1/2
BA   12   CR         0   TR  3   CH  2   NT  G-            1/2
BA   12   CR       1/2   TR  1   CH 10   NT  F#--          1/2
BA   12   CR         1   TR  1   CH 10   NT  Eb--          1/2
BA   12   CR         1   TR  1   CH 10   NT  A---          1/2
BA   12   CR         1   TR  3   CH  2   NT  G-            1/2
BA   12   CR         1   TR  3   CH  2   NT  D             1/2
BA   12   CR     1+1/2   TR  1   CH 10   NT  F#--          1/2
BA   12   CR     1+1/2   TR  2   CH  1   NT  C--           1/2
BA   12   CR         2   TR  1   CH 10   NT  A---          1/2
BA   12   CR         2   TR  2   CH  1   NT  G---            1
BA   12   CR         2   TR  3   CH  2   NT  Eb            1/2
BA   12   CR         2   TR  3   CH  2   NT  G-            1/2
BA   12   CR     2+1/2   TR  1   CH 10   NT  D-            1/2
BA   12   CR     2+1/2   TR  1   CH 10   NT  F#--          1/2
BA   12   CR         3   TR  1   CH 10   NT  C-            1/2
BA   12   CR         3   TR  1   CH 10   NT  Eb--          1/2
BA   12   CR         3   TR  1   CH 10   NT  A---          1/2
BA   12   CR         3   TR  3   CH  2   NT  G-            1/2
BA   12   CR         3   TR  3   CH  2   NT  D             1/2
BA   12   CR     3+1/2   TR  1   CH 10   NT  B--           1/2
BA   12   CR     3+1/2   TR  1   CH 10   NT  F#--          1/2
BA   12   CR     3+1/2   TR  2   CH  1   NT  G---          1/2

BA   13   CR         0   TR  1   CH 10   NT  G-            1/2
BA   13   CR         0   TR  1   CH 10   NT  A---          1/2
BA   13   CR         0   TR  2   CH  1   NT  F--             1
BA   13   CR         0   TR  3   CH  2   NT  C             1/2
BA   13   CR         0   TR  3   CH  2   NT  F             1/2
BA   13   CR       1/2   TR  1   CH 10   NT  F#--          1/2
BA   13   CR         1   TR  1   CH 10   NT  Eb--          1/2
BA   13   CR         1   TR  1   CH 10   NT  A---          1/2
BA   13   CR         1   TR  3   CH  2   NT  G             1/2
BA   13   CR         1   TR  3   CH  2   NT  C             1/2
BA   13   CR         1   TR  4   CH  3   NT  F'            1/2
BA   13   CR     1+1/2   TR  1   CH 10   NT  F#--          1/2
BA   13   CR     1+1/2   TR  2   CH  1   NT  F--           1/2
BA   13   CR         2   TR  1   CH 10   NT  A---          1/2
BA   13   CR         2   TR  2   CH  1   NT  C--             1
BA   13   CR         2   TR  3   CH  2   NT  C             1/2
BA   13   CR         2   TR  3   CH  2   NT  G#            1/2
BA   13   CR         2   TR  4   CH  3   NT  F'              1
BA   13   CR     2+1/2   TR  1   CH 10   NT  F#--          1/2
BA   13   CR         3   TR  1   CH 10   NT  Eb--          1/2
BA   13   CR         3   TR  1   CH 10   NT  A---          1/2
BA   13   CR         3   TR  3   CH  2   NT  G             1/2
BA   13   CR         3   TR  3   CH  2   NT  C             1/2
BA   13   CR         3   TR  4   CH  3   NT  Eb'           1/2
BA   13   CR     3+1/2   TR  1   CH 10   NT  F#--          1/2
BA   13   CR     3+1/2   TR  2   CH  1   NT  C--           1/2
BA   13   CR     3+1/2   TR  4   CH  3   NT  F'            1/2

BA   14   CR         0   TR  1   CH 10   NT  A---          1/2
BA   14   CR         0   TR  2   CH  1   NT  F--             1
BA   14   CR         0   TR  3   CH  2   NT  C             1/2
BA   14   CR         0   TR  3   CH  2   NT  F             1/2
BA   14   CR       1/2   TR  1   CH 10   NT  F#--          1/2
BA   14   CR       1/2   TR  4   CH  3   NT  C'            1/2
BA   14   CR         1   TR  1   CH 10   NT  Eb--          1/2
