format=0 tracks=1 division=480

BA    2   CR         0   TR  0   CH  4   ST &B3 &0A &46
BA    2   CR         0   TR  0   CH  4   Channel volume 85
BA    2   CR         0   TR  0   CH  5   ST &B4 &20 &00
BA    2   CR         0   TR  0   CH  5   ST &B4 &00 &00
BA    2   CR         0   TR  0   CH  5   Instrument 47
BA    2   CR         0   TR  0   CH  5   ST &B4 &0A &05
BA    2   CR         0   TR  0   CH  6   ST &B5 &20 &00
BA    2   CR         0   TR  0   CH  6   ST &B5 &00 &00
BA    2   CR         0   TR  0   CH  6   Instrument 74
BA    2   CR         0   TR  0   CH  6   ST &B5 &0A &32
BA    2   CR         0   TR  0   CH  7   ST &B6 &20 &00
BA    2   CR         0   TR  0   CH  7   ST &B6 &00 &00
BA    2   CR         0   TR  0   CH  7   Instrument 74
BA    2   CR         0   TR  0   CH  7   ST &B6 &0A &32
BA    2   CR         0   TR  0   CH  8   ST &B7 &00 &00
BA    2   CR         0   TR  0   CH  8   ST &B7 &20 &00
BA    2   CR         0   TR  0   CH  8   Instrument 59
BA    2   CR         0   TR  0   CH  8   ST &B7 &0A &46
BA    2   CR         0   TR  0   CH  9   ST &B8 &00 &00
BA    2   CR         0   TR  0   CH  9   ST &B8 &20 &00
BA    2   CR         0   TR  0   CH  9   Instrument 49
BA    2   CR         0   TR  0   CH  9   ST &B8 &0A &46
BA    2   CR         0   TR  0   CH 10   ST &B9 &20 &00
BA    2   CR         0   TR  0   CH 10   ST &B9 &00 &00
BA    2   CR         0   TR  0   CH 10   Instrument 49
BA    2   CR         0   TR  0   CH 11   ST &BA &00 &00
BA    2   CR         0   TR  0   CH 11   ST &BA &20 &00
BA    2   CR         0   TR  0   CH 11   Instrument 49
BA    2   CR         0   TR  0   CH 11   ST &BA &0A &5A
BA    2   CR         0   TR  0   CH 11   ST &BA &0B &4B
BA    2   CR         0   TR  0   CH 12   ST &BB &00 &00
BA    2   CR         0   TR  0   CH 12   ST &BB &20 &00
BA    2   CR         0   TR  0   CH 12   Instrument 57
BA    2   CR         0   TR  0   CH 12   ST &BB &0A &50
BA    2   CR         0   TR  0   CH 13   ST &BC &00 &00
BA    2   CR         0   TR  0   CH 13   ST &BC &20 &00
BA    2   CR         0   TR  0   CH 13   Instrument 49
BA    2   CR         0   TR  0   CH 13   ST &BC &0A &27
BA    2   CR         0   TR  0   CH 14   ST &BD &00 &00
BA    2   CR         0   TR  0   CH 14   ST &BD &20 &00
BA    2   CR         0   TR  0   CH 14   Instrument 58
BA    2   CR         0   TR  0   CH 14   ST &BD &0A &46
BA    2   CR    11/480   TR  0   CH  1   ST &B0 &0A &14
BA    2   CR    11/480   TR  0   CH  2   ST &B1 &0A &14
BA    2   CR    11/480   TR  0   CH  3   Channel volume 85
BA    2   CR    11/480   TR  0   CH  9   ST &B8 &0A &1E
BA    2   CR    11/480   TR  0   CH 13   ST &BC &0A &28
BA    2   CR      1/16   TR  0   CH  1   ST &B0 &5B &64
BA    2   CR      1/16   TR  0   CH  1   ST &B0 &0B &51
BA    2   CR      1/16   TR  0   CH  2   ST &B1 &5B &64
BA    2   CR      1/16   TR  0   CH  2   ST &B1 &0B &51
BA    2   CR      1/16   TR  0   CH  3   ST &B2 &0A &46
BA    2   CR      1/16   TR  0   CH  4   ST &B3 &0A &46
BA    2   CR      1/16   TR  0   CH  4   Channel volume 85
BA    2   CR      1/16   TR  0   CH  5   ST &B4 &0A &05
BA    2   CR      1/16   TR  0   CH  6   ST &B5 &0A &32
BA    2   CR      1/16   TR  0   CH  7   ST &B6 &0A &32
BA    2   CR      1/16   TR  0   CH  8   ST &B7 &0A &46
BA    2   CR      1/16   TR  0   CH 11   ST &BA &0A &5A
BA    2   CR      1/16   TR  0   CH 11   ST &BA &0B &4B
BA    2   CR      1/16   TR  0   CH 12   ST &BB &0A &50
BA    2   CR      1/16   TR  0   CH 14   ST &BD &0A &46
BA    2   CR    41/480   TR  0   CH  1   ST &B0 &0A &14
BA    2   CR    41/480   TR  0   CH  2   ST &B1 &0A &14
BA    2   CR    41/480   TR  0   CH  3   Channel volume 85
BA    2   CR    41/480   TR  0   CH  9   ST &B8 &0A &1E
BA    2   CR    41/480   TR  0   CH 13   ST &BC &0A &28
BA    2   CR       1/8   TR  0   CH  1   ST &B0 &5B &64
BA    2   CR       1/8   TR  0   CH  1   ST &B0 &0B &52
BA    2   CR       1/8   TR  0   CH  2   ST &B1 &5B &64
BA    2   CR       1/8   TR  0   CH  2   ST &B1 &0B &52
BA    2   CR       1/8   TR  0   CH  3   ST &B2 &0A &46
BA    2   CR       1/8   TR  0   CH  4   ST &B3 &0A &46
BA    2   CR       1/8   TR  0   CH  4   Channel volume 85
BA    2   CR       1/8   TR  0   CH  5   ST &B4 &0A &05
BA    2   CR       1/8   TR  0   CH  6   ST &B5 &0A &32
BA    2   CR       1/8   TR  0   CH  7   ST &B6 &0A &32
BA    2   CR       1/8   TR  0   CH  8   ST &B7 &0A &46
BA    2   CR       1/8   TR  0   CH 11   ST &BA &0A &5A
BA    2   CR       1/8   TR  0   CH 11   ST &BA &0B &4B
BA    2   CR       1/8   TR  0   CH 12   ST &BB &0A &50
BA    2   CR       1/8   TR  0   CH 14   ST &BD &0A &46
BA    2   CR    71/480   TR  0   CH  1   ST &B0 &0A &14
BA    2   CR    71/480   TR  0   CH  2   ST &B1 &0A &14
BA    2   CR    71/480   TR  0   CH  3   Channel volume 85
BA    2   CR    71/480   TR  0   CH  9   ST &B8 &0A &1E
BA    2   CR    71/480   TR  0   CH 13   ST &BC &0A &28
BA    2   CR      3/16   TR  0   CH  1   ST &B0 &5B &64
BA    2   CR      3/16   TR  0   CH  1   ST &B0 &0B &53
BA    2   CR      3/16   TR  0   CH  2   ST &B1 &5B &64
BA    2   CR      3/16   TR  0   CH  2   ST &B1 &0B &53
BA    2   CR      3/16   TR  0   CH  3   ST &B2 &0A &46
BA    2   CR      3/16   TR  0   CH  4   ST &B3 &0A &46
BA    2   CR      3/16   TR  0   CH  4   Channel volume 85
BA    2   CR      3/16   TR  0   CH  5   ST &B4 &0A &05
BA    2   CR      3/16   TR  0   CH  6   ST &B5 &0A &32
BA    2   CR      3/16   TR  0   CH  7   ST &B6 &0A &32
BA    2   CR      3/16   TR  0   CH  8   ST &B7 &0A &46
BA    2   CR      3/16   TR  0   CH 11   ST &BA &0A &5A
BA    2   CR      3/16   TR  0   CH 11   ST &BA &0B &4B
BA    2   CR      3/16   TR  0   CH 12   ST &BB &0A &50
BA    2   CR      3/16   TR  0   CH 14   ST &BD &0A &46
BA    2   CR   101/480   TR  0   CH  1   ST &B0 &0A &14
BA    2   CR   101/480   TR  0   CH  2   ST &B1 &0A &14
BA    2   CR   101/480   TR  0   CH  3   Channel volume 85
BA    2   CR   101/480   TR  0   CH  9   ST &B8 &0A &1E
BA    2   CR   101/480   TR  0   CH 13   ST &BC &0A &28
BA    2   CR       1/4   TR  0   CH  1   ST &B0 &5B &64
BA    2   CR       1/4   TR  0   CH  1   ST &B0 &0B &54
BA    2   CR       1/4   TR  0   CH  2   ST &B1 &5B &64
BA    2   CR       1/4   TR  0   CH  2   ST &B1 &0B &54
BA    2   CR       1/4   TR  0   CH  3   ST &B2 &0A &46
BA    2   CR       1/4   TR  0   CH  4   ST &B3 &0A &46
BA    2   CR       1/4   TR  0   CH  4   Channel volume 85
BA    2   CR       1/4   TR  0   CH  5   ST &B4 &0A &05
BA    2   CR       1/4   TR  0   CH  6   ST &B5 &0A &32
BA    2   CR       1/4   TR  0   CH  7   ST &B6 &0A &32
BA    2   CR       1/4   TR  0   CH  8   ST &B7 &0A &46
BA    2   CR       1/4   TR  0   CH 11   ST &BA &0A &5A
BA    2   CR       1/4   TR  0   CH 11   ST &BA &0B &4B
BA    2   CR       1/4   TR  0   CH 12   ST &BB &0A &50
BA    2   CR       1/4   TR  0   CH 14   ST &BD &0A &46
BA    2   CR   131/480   TR  0   CH  1   ST &B0 &0A &14
BA    2   CR   131/480   TR  0   CH  2   ST &B1 &0A &14
BA    2   CR   131/480   TR  0   CH  3   Channel volume 85
BA    2   CR   131/480   TR  0   CH  9   ST &B8 &0A &1E
BA    2   CR      9/32   TR  0   CH 13   ST &BC &0A &28
BA    2   CR      5/16   TR  0   CH  1   ST &B0 &5B &64
BA    2   CR      5/16   TR  0   CH  1   ST &B0 &0B &55
