format=1 tracks=8 division=480

BA   18   CR         0   TR  7   CH  7   NT  E         2+23/24   voff=80
BA   18   CR         3   TR  7   CH  7   NT  D           11/24   voff=80
BA   18   CR     3+1/2   TR  7   CH  7   NT  F           11/24   voff=80

BA   19   CR         0   TR  2   CH  2   NT  F--         23/24   voff=80
BA   19   CR         0   TR  7   CH  7   NT  E         1+11/24   voff=80
BA   19   CR     1+1/2   TR  7   CH  7   NT  D           11/24   voff=80
BA   19   CR         2   TR  2   CH  2   NT  F--         23/24   voff=80
BA   19   CR         2   TR  7   CH  7   NT  E         3+23/24   voff=80

BA   20   CR         0   TR  6   CH  6   NT  F         1+23/24   voff=80
BA   20   CR         2   TR  6   CH  6   NT  D         1+23/24   voff=80
BA   20   CR         3   TR  7   CH  7   NT  D           11/24   voff=80
BA   20   CR     3+1/2   TR  7   CH  7   NT  F           11/24   voff=80

BA   21   CR         0   TR  1   CH  1   NT  E'       15+23/24   voff=80
BA   21   CR         0   TR  1   CH  1   NT  C#'      15+23/24   voff=80
BA   21   CR         0   TR  1   CH  1   NT  C'       15+23/24   voff=80
BA   21   CR         0   TR  2   CH  2   NT  D-          23/24   voff=80
BA   21   CR         0   TR  3   CH  3   NT  E-       15+23/24   voff=80
BA   21   CR         0   TR  4   CH  4   NT  E--      15+23/24   von=95   voff=80
BA   21   CR         0   TR  5   CH  5   NT  A        15+23/24   von=95   voff=80
BA   21   CR         0   TR  5   CH  5   NT  F        15+23/24   voff=80
BA   21   CR         0   TR  6   CH  6   NT  F         3+23/24   voff=80
BA   21   CR         0   TR  7   CH  7   NT  E         1+11/24   voff=80
BA   21   CR     1+1/2   TR  7   CH  7   NT  G#          11/24   voff=80
BA   21   CR         2   TR  7   CH  7   NT  E         4+23/24   voff=80

BA   22   CR         0   TR  6   CH  6   NT  C         3+23/24   voff=80

BA   23   CR         0   TR  6   CH  6   NT  G-        3+23/24   von=95   voff=80

BA   24   CR         0   TR  6   CH  6   NT  A-        3+23/24   voff=80
BA   24   CR         3   TR  7   CH  7   NT  E           11/24   voff=80
BA   24   CR     3+1/2   TR  7   CH  7   NT  F           11/24   voff=80

BA   25   CR         0   TR  1   CH  1   NT  D''       1+23/24   von=47   voff=80
BA   25   CR         0   TR  1   CH  1   NT  B'        1+23/24   voff=80
BA   25   CR         0   TR  2   CH  2   NT  F--         23/24   voff=80
BA   25   CR         0   TR  3   CH  3   NT  E-        7+23/24   voff=80
BA   25   CR         0   TR  4   CH  4   NT  E--       7+23/24   von=79   voff=80
BA   25   CR         0   TR  5   CH  5   NT  G         1+23/24   von=47   voff=80
BA   25   CR         0   TR  5   CH  5   NT  E         1+23/24   voff=80
BA   25   CR         0   TR  6   CH  6   NT  G         7+23/24   von=79   voff=80
BA   25   CR         0   TR  6   CH  6   NT  E         7+23/24   voff=80
BA   25   CR         0   TR  6   CH  6   NT  B-        7+23/24   voff=80
BA   25   CR         0   TR  7   CH  7   NT  G         2+23/24   voff=80
BA   25   CR         2   TR  1   CH  1   NT  D''       1+23/24   voff=80
BA   25   CR         2   TR  1   CH  1   NT  B'        1+23/24   voff=80
BA   25   CR         2   TR  2   CH  2   NT  F--         23/24   voff=80
BA   25   CR         2   TR  5   CH  5   NT  G         1+23/24   von=63   voff=80
BA   25   CR         2   TR  5   CH  5   NT  E         1+23/24   voff=80
BA   25   CR         3   TR  7   CH  7   NT  B           23/24   voff=80

BA   26   CR         0   TR  5   CH  5   NT  E         3+23/24   voff=80
BA   26   CR         0   TR  5   CH  5   NT  B-        3+23/24   voff=80
BA   26   CR         0   TR  7   CH  7   NT  Bb        2+11/24   voff=80
BA   26   CR         2   TR  1   CH  1   NT  G'        1+11/24   voff=80
BA   26   CR         2   TR  1   CH  1   NT  B'        1+11/24   voff=80
BA   26   CR     3+1/2   TR  1   CH  1   NT  B'          11/24   voff=80
BA   26   CR     3+1/2   TR  1   CH  1   NT  G'          11/24   voff=80
