format=1 tracks=11 division=120

BA    1   CR         0   TR  0   CH 16   Text type 3: "Mega Man 9 - Special Stage (XG) - Sequenced by Teck"
BA    1   CR         0   TR  7   CH  7   ST &B6 &20 &41
BA    1   CR         0   TR  7   CH  7   Instrument 81
BA    1   CR         0   TR  7   CH  7   Channel volume 65
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &14
BA    1   CR         0   TR  7   CH  7   ST &B6 &63 &01
BA    1   CR         0   TR  7   CH  7   ST &B6 &62 &09
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &4E
BA    1   CR         0   TR  7   CH  7   ST &B6 &26 &10
BA    1   CR         0   TR  7   CH  7   ST &B6 &63 &01
BA    1   CR         0   TR  7   CH  7   ST &B6 &62 &0A
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &4A
BA    1   CR         0   TR  7   CH  7   ST &B6 &26 &1C
BA    1   CR         0   TR  7   CH  7   ST &B6 &54 &53
BA    1   CR         0   TR  7   CH  7   ST &B6 &05 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &41 &7F
BA    1   CR         0   TR  7   CH  7   ST &B6 &5D &50
BA    1   CR         0   TR  7   CH  7   ST &B6 &01 &23
BA    1   CR         0   TR  7   CH  7   ST &B6 &5B &6E
BA    1   CR         0   TR  7   CH  7   ST &B6 &4A &7F
BA    1   CR         0   TR  7   CH  7   ST &B6 &63 &01
BA    1   CR         0   TR  7   CH  7   ST &B6 &62 &08
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &55
BA    1   CR         0   TR  7   CH  7   ST &B6 &26 &78
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &03
BA    1   CR         0   TR  7   CH  7   ST &B6 &26 &10
BA    1   CR         0   TR  8   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  8   CH 16   Text type 3: "Drumz0rs"
BA    1   CR         0   TR  8   CH 10   ST &B9 &00 &7F
BA    1   CR         0   TR  8   CH 10   ST &B9 &20 &00
BA    1   CR         0   TR  8   CH 10   Instrument 25
BA    1   CR         0   TR  8   CH 10   Channel volume 100
BA    1   CR         0   TR  8   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  8   CH 10   ST &B9 &4A &7F
BA    1   CR         0   TR  8   CH 10   ST &B9 &5B &2D
BA    1   CR         0   TR  8   CH 10   ST &B9 &5D &0A
BA    1   CR         0   TR  8   CH 10   ST &E9 &7F &7F
BA    1   CR         0   TR  9   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  9   CH 16   Text type 3: "Electric Toms"
BA    1   CR         0   TR  9   CH 11   ST &BA &00 &00
BA    1   CR         0   TR  9   CH 11   ST &BA &20 &41
BA    1   CR         0   TR  9   CH 11   Instrument 119
BA    1   CR         0   TR  9   CH 11   Channel volume 127
BA    1   CR         0   TR  9   CH 11   ST &BA &0A &00
BA    1   CR         0   TR  9   CH 11   ST &BA &4A &7F
BA    1   CR         0   TR  9   CH 11   ST &BA &47 &40
BA    1   CR         0   TR  9   CH 11   ST &BA &5B &6E
BA    1   CR         0   TR  9   CH 11   ST &BA &5D &3C
BA    1   CR         0   TR 10   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR 10   CH 16   Text type 3: "Bendy Square (Main)"
