format=1 tracks=9 division=96

BA    6   CR         0   TR  8   CH 10   NT  A           47/96   von=68
BA    6   CR         0   TR  8   CH 10   NT  C--         47/96   von=100
BA    6   CR       1/2   TR  4   CH  3   NT  E-          47/96
BA    6   CR       1/2   TR  8   CH 10   NT  A           47/96   von=48
BA    6   CR       1/2   TR  8   CH 10   NT  C--         47/96   von=100
BA    6   CR         1   TR  8   CH 10   NT  A           47/96   von=68
BA    6   CR         1   TR  8   CH 10   NT  D--         47/96   von=100
BA    6   CR     1+1/2   TR  4   CH  3   NT  G--         47/96
BA    6   CR     1+1/2   TR  8   CH 10   NT  A           47/96   von=48
BA    6   CR         2   TR  2   CH  1   NT  B-          47/96
BA    6   CR         2   TR  4   CH  3   NT  D-          95/96
BA    6   CR         2   TR  8   CH 10   NT  A           47/96   von=68
BA    6   CR     2+1/2   TR  2   CH  1   NT  D           95/96
BA    6   CR     2+1/2   TR  8   CH 10   NT  A           47/96   von=48
BA    6   CR         3   TR  4   CH  3   NT  E-          47/96
BA    6   CR         3   TR  8   CH 10   NT  A           47/96   von=68
BA    6   CR         3   TR  8   CH 10   NT  D--         47/96   von=100
BA    6   CR     3+1/2   TR  2   CH  1   NT  E           95/96
BA    6   CR     3+1/2   TR  4   CH  3   NT  B--         47/96
BA    6   CR     3+1/2   TR  8   CH 10   NT  A           47/96   von=48

BA    7   CR         0   TR  4   CH  3   NT  B--         47/96
BA    7   CR         0   TR  8   CH 10   NT  A           47/96   von=68
BA    7   CR       1/2   TR  2   CH  1   NT  D           95/96
BA    7   CR       1/2   TR  4   CH  3   NT  B--         47/96
BA    7   CR       1/2   TR  8   CH 10   NT  A           47/96   von=48
BA    7   CR         1   TR  8   CH 10   NT  A           47/96   von=68
BA    7   CR         1   TR  8   CH 10   NT  D--         47/96   von=100
BA    7   CR     1+1/2   TR  2   CH  1   NT  E           95/96
BA    7   CR     1+1/2   TR  4   CH  3   NT  A--         47/96
BA    7   CR     1+1/2   TR  8   CH 10   NT  A           47/96   von=48
BA    7   CR         2   TR  4   CH  3   NT  B--         95/96
BA    7   CR         2   TR  8   CH 10   NT  A           47/96   von=68
BA    7   CR     2+1/2   TR  2   CH  1   NT  G           95/96
BA    7   CR     2+1/2   TR  8   CH 10   NT  A           47/96   von=48
BA    7   CR         3   TR  4   CH  3   NT  D-          95/96
BA    7   CR         3   TR  8   CH 10   NT  A           47/96   von=68
BA    7   CR         3   TR  8   CH 10   NT  D--         47/96   von=100
BA    7   CR     3+1/2   TR  2   CH  1   NT  Bb        2+47/96
BA    7   CR     3+1/2   TR  8   CH 10   NT  A           47/96   von=48

BA    8   CR         0   TR  4   CH  3   NT  C-        1+47/96
BA    8   CR         0   TR  8   CH 10   NT  A           47/96   von=68
BA    8   CR       1/2   TR  8   CH 10   NT  A           47/96   von=48
BA    8   CR         1   TR  8   CH 10   NT  A           47/96   von=68
BA    8   CR         1   TR  8   CH 10   NT  D--         47/96   von=100
BA    8   CR     1+1/2   TR  4   CH  3   NT  B--         47/96
BA    8   CR     1+1/2   TR  8   CH 10   NT  A           47/96   von=48
BA    8   CR         2   TR  2   CH  1   NT  A           47/96
BA    8   CR         2   TR  4   CH  3   NT  C-          95/96
BA    8   CR         2   TR  8   CH 10   NT  A           47/96   von=68
BA    8   CR     2+1/2   TR  2   CH  1   NT  G           47/96
BA    8   CR     2+1/2   TR  8   CH 10   NT  A           47/96   von=48
BA    8   CR         3   TR  2   CH  1   NT  E           47/96
BA    8   CR         3   TR  4   CH  3   NT  G--         47/96
BA    8   CR         3   TR  8   CH 10   NT  D--         47/96   von=100
BA    8   CR         3   TR  8   CH 10   NT  A           47/96   von=68
BA    8   CR     3+1/2   TR  2   CH  1   NT  A           95/96
BA    8   CR     3+1/2   TR  4   CH  3   NT  B--         95/96
BA    8   CR     3+1/2   TR  8   CH 10   NT  A           47/96   von=48

BA    9   CR         0   TR  8   CH 10   NT  A           47/96   von=68
BA    9   CR       1/2   TR  2   CH  1   NT  G           47/96
BA    9   CR       1/2   TR  4   CH  3   NT  D-          95/96
BA    9   CR       1/2   TR  8   CH 10   NT  A           47/96   von=48
BA    9   CR         1   TR  2   CH  1   NT  E           47/96
BA    9   CR         1   TR  8   CH 10   NT  A           47/96   von=68
BA    9   CR         1   TR  8   CH 10   NT  D--         47/96   von=100
BA    9   CR     1+1/2   TR  2   CH  1   NT  G           95/96
BA    9   CR     1+1/2   TR  4   CH  3   NT  F#-         47/96
BA    9   CR     1+1/2   TR  8   CH 10   NT  A           47/96   von=48
BA    9   CR         2   TR  4   CH  3   NT  A-          95/96
BA    9   CR         2   TR  8   CH 10   NT  A           47/96   von=68
BA    9   CR     2+1/2   TR  2   CH  1   NT  E           47/96
BA    9   CR     2+1/2   TR  8   CH 10   NT  A           47/96   von=48
BA    9   CR         3   TR  2   CH  1   NT  D           47/96
BA    9   CR         3   TR  3   CH  2   NT  B-          47/96   von=100
BA    9   CR         3   TR  4   CH  3   NT  B-          47/96
BA    9   CR         3   TR  8   CH 10   NT  A           47/96   von=68
BA    9   CR         3   TR  8   CH 10   NT  D--         47/96   von=100
BA    9   CR     3+1/2   TR  2   CH  1   NT  E           47/96
BA    9   CR     3+1/2   TR  3   CH  2   NT  B-          47/96
BA    9   CR     3+1/2   TR  4   CH  3   NT  B-          47/96
BA    9   CR     3+1/2   TR  8   CH 10   NT  A           47/96   von=48

BA   10   CR         0   TR  2   CH  1   NT  G         3+95/96
BA   10   CR         0   TR  3   CH  2   NT  E         3+95/96
BA   10   CR         0   TR  4   CH  3   NT  C-          47/96
BA   10   CR         0   TR  8   CH 10   NT  A           47/96   von=68
BA   10   CR         0   TR  8   CH 10   NT  C--         47/96   von=100
BA   10   CR       1/2   TR  4   CH  3   NT  C-          47/96
BA   10   CR       1/2   TR  8   CH 10   NT  A           47/96   von=48
BA   10   CR       1/2   TR  8   CH 10   NT  C--         47/96   von=100
BA   10   CR         1   TR  8   CH 10   NT  A           47/96   von=68
BA   10   CR         1   TR  8   CH 10   NT  D--         47/96   von=100
BA   10   CR     1+1/2   TR  4   CH  3   NT  B--         47/96
BA   10   CR     1+1/2   TR  8   CH 10   NT  A           47/96   von=48
BA   10   CR         2   TR  4   CH  3   NT  C-        1+47/96
BA   10   CR         2   TR  6   CH  6   NT  E'          23/96   von=100
BA   10   CR         2   TR  8   CH 10   NT  A           47/96   von=68
BA   10   CR     2+1/2   TR  6   CH  6   NT  G'          23/96
BA   10   CR     2+1/2   TR  8   CH 10   NT  A           47/96   von=48
BA   10   CR     2+1/2   TR  8   CH 10   NT  D--         47/96   von=100
BA   10   CR         3   TR  6   CH  6   NT  B'          23/96
BA   10   CR         3   TR  8   CH 10   NT  A           47/96   von=68
BA   10   CR     3+1/2   TR  4   CH  3   NT  D-          47/96
BA   10   CR     3+1/2   TR  8   CH 10   NT  A           47/96   von=48
BA   10   CR     3+1/2   TR  8   CH 10   NT  D--         47/96   von=100

BA   11   CR         0   TR  2   CH  1   NT  A         1+95/96
BA   11   CR         0   TR  3   CH  2   NT  E         1+95/96
BA   11   CR         0   TR  4   CH  3   NT  D-          47/96
BA   11   CR         0   TR  8   CH 10   NT  A           47/96   von=68
BA   11   CR       1/2   TR  4   CH  3   NT  D-          47/96
BA   11   CR       1/2   TR  8   CH 10   NT  A           47/96   von=48
BA   11   CR         1   TR  8   CH 10   NT  A           47/96   von=68
BA   11   CR         1   TR  8   CH 10   NT  D--         47/96   von=100
BA   11   CR     1+1/2   TR  4   CH  3   NT  D-          47/96
BA   11   CR     1+1/2   TR  8   CH 10   NT  A           47/96   von=48
BA   11   CR         2   TR  2   CH  1   NT  G         1+95/96
BA   11   CR         2   TR  3   CH  2   NT  D         1+95/96
BA   11   CR         2   TR  4   CH  3   NT  A--         95/96
BA   11   CR         2   TR  8   CH 10   NT  A           47/96   von=68
BA   11   CR     2+1/2   TR  8   CH 10   NT  A           47/96   von=48
BA   11   CR         3   TR  4   CH  3   NT  D-          95/96
BA   11   CR         3   TR  8   CH 10   NT  A           47/96   von=68
BA   11   CR         3   TR  8   CH 10   NT  D--         47/96   von=100
BA   11   CR     3+1/2   TR  8   CH 10   NT  A           47/96   von=48

BA   12   CR         0   TR  2   CH  1   NT  B           95/96
BA   12   CR         0   TR  3   CH  2   NT  G           95/96
BA   12   CR         0   TR  4   CH  3   NT  E-          47/96
BA   12   CR         0   TR  8   CH 10   NT  A           47/96   von=68
BA   12   CR       1/2   TR  4   CH  3   NT  E-          47/96
BA   12   CR       1/2   TR  8   CH 10   NT  A           47/96   von=48
BA   12   CR         1   TR  2   CH  1   NT  A           47/96
BA   12   CR         1   TR  3   CH  2   NT  E           47/96
BA   12   CR         1   TR  8   CH 10   NT  A           47/96   von=68
BA   12   CR         1   TR  8   CH 10   NT  D--         47/96   von=100
BA   12   CR     1+1/2   TR  2   CH  1   NT  G           47/96
BA   12   CR     1+1/2   TR  3   CH  2   NT  D           47/96
BA   12   CR     1+1/2   TR  4   CH  3   NT  E-          47/96
BA   12   CR     1+1/2   TR  8   CH 10   NT  A           47/96   von=48
BA   12   CR         2   TR  4   CH  3   NT  E-          95/96
BA   12   CR         2   TR  8   CH 10   NT  A           47/96   von=68
BA   12   CR     2+1/2   TR  2   CH  1   NT  E           47/96
BA   12   CR     2+1/2   TR  3   CH  2   NT  B-          47/96
BA   12   CR     2+1/2   TR  8   CH 10   NT  A           47/96   von=48
BA   12   CR         3   TR  4   CH  3   NT  B--         47/96
BA   12   CR         3   TR  8   CH 10   NT  D--         47/96   von=100
