format=1 tracks=9 division=96

BA    1   CR         0   TR  7   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  7   CH  4   Channel volume 100
BA    1   CR         0   TR  7   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  7   CH  4   Instrument 10
BA    1   CR         0   TR  8   CH 16   Text type 3: "MIDI out"
BA    1   CR         0   TR  8   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  8   CH  1   Channel volume 100
BA    1   CR         0   TR  8   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  8   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  8   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  8   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  8   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  8   CH  1   Channel volume 100
BA    1   CR         0   TR  8   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  8   CH  1   Instrument 1
BA    1   CR         0   TR  8   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  8   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  8   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  8   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  8   CH  1   Channel volume 100
BA    1   CR         0   TR  8   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  8   CH  1   Instrument 1
BA    1   CR         0   TR  8   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  8   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  8   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  8   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  8   CH  1   Channel volume 100
BA    1   CR         0   TR  8   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  8   CH  1   Instrument 1
BA    1   CR         0   TR  8   CH  1   NT  E---      5+47/96   von=80   voff=0
BA    1   CR         0   TR  8   CH  1   NT  E--       5+47/96   voff=0
BA    1   CR     1+1/2   TR  2   CH  2   NT  E-        1+47/96   von=80   voff=0
BA    1   CR     1+1/2   TR  2   CH  2   NT  A-        1+47/96   voff=0
BA    1   CR     1+1/2   TR  2   CH  2   NT  E         1+47/96   voff=0
BA    1   CR         3   TR  2   CH  2   NT  F-        2+95/96   voff=0
BA    1   CR         3   TR  2   CH  2   NT  Bb-       2+95/96   voff=0
BA    1   CR         3   TR  2   CH  2   NT  Eb        2+95/96   voff=0

BA    2   CR     1+1/2   TR  8   CH  1   NT  B---        47/96   voff=0
BA    2   CR         2   TR  8   CH  1   NT  E---      5+47/96   voff=0
BA    2   CR         2   TR  8   CH  1   NT  E--       5+47/96   voff=0
BA    2   CR     3+1/2   TR  2   CH  2   NT  E-        1+47/96   voff=0
BA    2   CR     3+1/2   TR  2   CH  2   NT  A-        1+47/96   voff=0
BA    2   CR     3+1/2   TR  2   CH  2   NT  E         1+47/96   voff=0

BA    3   CR         1   TR  2   CH  2   NT  F-        1+47/96   voff=0
BA    3   CR         1   TR  2   CH  2   NT  Bb-       1+47/96   voff=0
BA    3   CR         1   TR  2   CH  2   NT  Eb        1+47/96   voff=0
BA    3   CR     2+3/8   TR  6   CH  3   NT  Eb'         47/96   von=80   voff=0
BA    3   CR     2+1/2   TR  6   CH  3   NT  E'          47/96   voff=0
BA    3   CR         3   TR  6   CH  3   NT  A           47/96   voff=0
BA    3   CR     3+1/2   TR  6   CH  3   NT  Eb'         47/96   voff=0
BA    3   CR     3+1/2   TR  8   CH  1   NT  B---        47/96   voff=0

BA    4   CR         0   TR  6   CH  3   NT  D'          47/96   voff=0
BA    4   CR         0   TR  8   CH  1   NT  E---      1+47/96   voff=0
BA    4   CR         0   TR  8   CH  1   NT  E--       1+47/96   voff=0
BA    4   CR       1/2   TR  6   CH  3   NT  G           47/96   voff=0
BA    4   CR         1   TR  6   CH  3   NT  C'          47/96   voff=0
BA    4   CR     1+1/2   TR  6   CH  3   NT  B           47/96   voff=0
BA    4   CR   1+25/48   TR  2   CH  2   NT  E-        1+47/96   voff=0
BA    4   CR   1+25/48   TR  2   CH  2   NT  A--       1+47/96   voff=0
BA    4   CR   1+25/48   TR  2   CH  2   NT  E--       1+47/96   voff=0
BA    4   CR         2   TR  6   CH  3   NT  F         2+47/96   voff=0
BA    4   CR    3+1/48   TR  2   CH  2   NT  F--       2+47/96   voff=0
BA    4   CR    3+1/48   TR  2   CH  2   NT  Bb--      2+47/96   voff=0
BA    4   CR    3+1/48   TR  2   CH  2   NT  Eb-       2+47/96   voff=0

BA    5   CR     37/96   TR  6   CH  3   NT  B           47/96   voff=0
BA    5   CR       1/2   TR  6   CH  3   NT  C'          47/96   voff=0
BA    5   CR         1   TR  6   CH  3   NT  F           47/96   voff=0
BA    5   CR     1+1/2   TR  6   CH  3   NT  C'          47/96   voff=0
BA    5   CR     1+1/2   TR  8   CH  1   NT  B---        47/96   voff=0
BA    5   CR         2   TR  6   CH  3   NT  B           47/96   voff=0
BA    5   CR         2   TR  8   CH  1   NT  E---      1+47/96   voff=0
BA    5   CR         2   TR  8   CH  1   NT  E--       1+47/96   voff=0
BA    5   CR     2+1/2   TR  6   CH  3   NT  E           47/96   voff=0
BA    5   CR         3   TR  6   CH  3   NT  Bb          47/96   voff=0
BA    5   CR     3+1/2   TR  6   CH  3   NT  A           47/96   voff=0
BA    5   CR   3+25/48   TR  2   CH  2   NT  E--       1+47/96   voff=0
BA    5   CR   3+25/48   TR  2   CH  2   NT  A--       1+47/96   voff=0
BA    5   CR   3+25/48   TR  2   CH  2   NT  E-        1+47/96   voff=0

BA    6   CR         0   TR  6   CH  3   NT  D           95/96   voff=0
BA    6   CR         1   TR  6   CH  3   NT  C           95/96   voff=0
BA    6   CR    1+1/48   TR  2   CH  2   NT  Eb-       2+95/96   voff=0
BA    6   CR    1+1/48   TR  2   CH  2   NT  Bb--      2+95/96   voff=0
BA    6   CR    1+1/48   TR  2   CH  2   NT  F--       2+95/96   voff=0
BA    6   CR         2   TR  6   CH  3   NT  D           95/96   voff=0
BA    6   CR         3   TR  6   CH  3   NT  Bb-         47/96   voff=0
BA    6   CR     3+1/2   TR  6   CH  3   NT  D           47/96   voff=0
BA    6   CR     3+7/8   TR  6   CH  3   NT  Bb-         47/96   voff=0

BA    7   CR         0   TR  6   CH  3   NT  B-              3   voff=0
BA    7   CR         0   TR  8   CH  1   NT  E---      5+47/96   voff=0
BA    7   CR         0   TR  8   CH  1   NT  E--       5+47/96   voff=0
BA    7   CR     1+1/2   TR  2   CH  2   NT  E-        1+47/96   voff=0
BA    7   CR     1+1/2   TR  2   CH  2   NT  A-        1+47/96   voff=0
BA    7   CR     1+1/2   TR  2   CH  2   NT  E         1+47/96   voff=0
BA    7   CR         3   TR  2   CH  2   NT  F-        2+95/96   voff=0
BA    7   CR         3   TR  2   CH  2   NT  Bb-       2+95/96   voff=0
BA    7   CR         3   TR  2   CH  2   NT  Eb        2+95/96   voff=0

BA    8   CR     1+1/2   TR  8   CH  1   NT  B---        47/96   voff=0
BA    8   CR         2   TR  8   CH  1   NT  E---      5+47/96   voff=0
BA    8   CR         2   TR  8   CH  1   NT  E--       5+47/96   voff=0
BA    8   CR     3+1/2   TR  2   CH  2   NT  E-        1+47/96   voff=0
BA    8   CR     3+1/2   TR  2   CH  2   NT  A-        1+47/96   voff=0
BA    8   CR     3+1/2   TR  2   CH  2   NT  E         1+47/96   voff=0

BA    9   CR         1   TR  2   CH  2   NT  F-        1+47/96   voff=0
BA    9   CR         1   TR  2   CH  2   NT  Bb-       1+47/96   voff=0
BA    9   CR         1   TR  2   CH  2   NT  Eb        1+47/96   voff=0
