format=1 tracks=6 division=256

BA    1   CR         0   TR  4   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &64 &7F
BA    1   CR         0   TR  4   CH  3   ST &B2 &65 &7F
BA    1   CR         0   TR  4   CH  3   ST &B2 &26 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &06 &40
BA    1   CR         0   TR  4   CH  3   ST &B2 &64 &01
BA    1   CR         0   TR  4   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  4   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  4   CH  3   Instrument 49
BA    1   CR         0   TR  4   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  4   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  5   CH  4   Instrument 2
BA    1   CR         0   TR  5   CH  4   ST &B3 &79 &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &40 &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &5B &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  5   CH  4   Channel volume 86
BA    1   CR         0   TR  5   CH 16   Text type 3: "Solo"
BA    1   CR         0   TR  5   CH  4   ST &B3 &5F &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &5F &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &5C &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &5C &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &5B &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &5D &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &5D &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &0A &68
BA    1   CR         0   TR  5   CH  4   Channel volume 88
BA    1   CR         0   TR  5   CH  4   ST &B3 &00 &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &64 &7F
BA    1   CR         0   TR  5   CH  4   ST &B3 &65 &7F
BA    1   CR         0   TR  5   CH  4   ST &B3 &06 &40
BA    1   CR         0   TR  5   CH  4   ST &B3 &64 &02
BA    1   CR         0   TR  5   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &64 &7F
BA    1   CR         0   TR  5   CH  4   ST &B3 &65 &7F
BA    1   CR         0   TR  5   CH  4   ST &B3 &06 &40
