format=1 tracks=8 division=192

BA    8   CR    2+1/48   TR  2   CH 10   NT  C#-             1
BA    8   CR     2+1/2   TR  6   CH  8   NT  B'            1/2
BA    8   CR   2+25/48   TR  2   CH 10   NT  C--             1
BA    8   CR   2+25/48   TR  3   CH  2   NT  A--         15/32
BA    8   CR         3   TR  2   CH 10   NT  D--             1
BA    8   CR         3   TR  3   CH  2   NT  A--        95/192
BA    8   CR     3+1/2   TR  6   CH  8   NT  G#'             2
BA    8   CR   3+25/48   TR  3   CH  2   NT  A--         15/32

BA    9   CR         0   TR  3   CH  2   NT  B--        95/192
BA    9   CR      1/48   TR  2   CH 10   NT  D--             1
BA    9   CR     25/48   TR  3   CH  2   NT  B--         15/32
BA    9   CR         1   TR  2   CH 10   NT  D--          1/48
BA    9   CR         1   TR  2   CH 10   NT  C#-             1
BA    9   CR         1   TR  3   CH  2   NT  B--        95/192
BA    9   CR   1+25/48   TR  2   CH 10   NT  D--         23/48
BA    9   CR   1+25/48   TR  3   CH  2   NT  B--         15/32
BA    9   CR         2   TR  1   CH  3   NT  E           1+1/2
BA    9   CR         2   TR  2   CH 10   NT  C#-             1
BA    9   CR    2+1/96   TR  3   CH  2   NT  E-          11/24
BA    9   CR   2+31/64   TR  3   CH  2   NT  E-          33/64
BA    9   CR         3   TR  2   CH 10   NT  D--             1
BA    9   CR         3   TR  6   CH  8   NT  E''           1/2
BA    9   CR    3+1/96   TR  3   CH  2   NT  E-          47/96
BA    9   CR     3+1/2   TR  1   CH  3   NT  B-          1+1/2
BA    9   CR 3+101/192   TR  3   CH  2   NT  E-         91/192

BA   10   CR         0   TR  6   CH  8   NT  E''           1/2
BA   10   CR     5/192   TR  3   CH  2   NT  E-         91/192
BA   10   CR       1/2   TR  6   CH  8   NT  Eb''          1/2
BA   10   CR   101/192   TR  3   CH  2   NT  E-         91/192
BA   10   CR         1   TR  1   CH  3   NT  B               1
BA   10   CR         1   TR  2   CH 10   NT  D--             1
BA   10   CR    1+1/96   TR  3   CH  2   NT  E-          47/96
BA   10   CR     1+1/2   TR  6   CH  8   NT  E''           1/2
BA   10   CR   1+25/48   TR  3   CH  2   NT  E-         91/192
BA   10   CR         2   TR  1   CH  3   NT  F#          1+1/2
BA   10   CR         2   TR  3   CH  2   NT  E-         91/192
BA   10   CR   2+25/48   TR  3   CH  2   NT  E-          15/32
BA   10   CR 2+109/192   TR  6   CH  8   NT  Eb''        11/24
BA   10   CR         3   TR  2   CH 10   NT  D--             1
BA   10   CR    3+1/96   TR  3   CH  2   NT  E-         91/192
BA   10   CR     3+1/2   TR  1   CH  3   NT  G#        2+49/96
BA   10   CR     3+1/2   TR  6   CH  8   NT  B'              2
BA   10   CR   3+25/48   TR  3   CH  2   NT  E-         91/192

BA   11   CR      1/96   TR  3   CH  2   NT  E-            1/2
BA   11   CR     25/48   TR  3   CH  2   NT  E-          15/32
BA   11   CR         1   TR  2   CH 10   NT  D--             1
BA   11   CR         1   TR  3   CH  2   NT  E-            1/2
BA   11   CR   1+25/48   TR  3   CH  2   NT  E-          15/32
BA   11   CR         2   TR  1   CH  3   NT  E           1+1/2
BA   11   CR         2   TR  3   CH  2   NT  Eb-           1/2
BA   11   CR   2+25/48   TR  3   CH  2   NT  Eb-        91/192
BA   11   CR         3   TR  2   CH 10   NT  D--             1
BA   11   CR         3   TR  3   CH  2   NT  Eb-           1/2
BA   11   CR         3   TR  6   CH  8   NT  C#''          1/2
BA   11   CR     3+1/2   TR  1   CH  3   NT  B-          1+1/2
BA   11   CR   3+25/48   TR  3   CH  2   NT  Eb-         15/32

BA   12   CR         0   TR  3   CH  2   NT  Eb-           1/2
BA   12   CR      1/96   TR  6   CH  8   NT  C#''          1/2
BA   12   CR       1/2   TR  6   CH  8   NT  B'            1/2
BA   12   CR     25/48   TR  3   CH  2   NT  Eb-        91/192
BA   12   CR         1   TR  1   CH  3   NT  B               1
BA   12   CR         1   TR  2   CH 10   NT  D--             1
BA   12   CR         1   TR  3   CH  2   NT  Eb-         47/96
BA   12   CR     1+1/2   TR  6   CH  8   NT  C#''          1/2
BA   12   CR   1+25/48   TR  3   CH  2   NT  Eb-        91/192
BA   12   CR         2   TR  1   CH  3   NT  F#          1+1/2
BA   12   CR         2   TR  3   CH  2   NT  Eb-        95/192
BA   12   CR     2+1/2   TR  6   CH  8   NT  B'            1/2
BA   12   CR   2+25/48   TR  3   CH  2   NT  Eb-         15/32
BA   12   CR         3   TR  2   CH 10   NT  D--             1
BA   12   CR         3   TR  3   CH  2   NT  Eb-           1/2
BA   12   CR     3+1/2   TR  1   CH  3   NT  G#      1+101/192
BA   12   CR     3+1/2   TR  6   CH  8   NT  G#'             2
BA   12   CR   3+25/48   TR  3   CH  2   NT  Eb-         15/32

BA   13   CR         0   TR  3   CH  2   NT  Eb-           1/2
BA   13   CR     25/48   TR  3   CH  2   NT  Eb-         15/32
BA   13   CR         1   TR  1   CH  3   NT  B-            1/2
BA   13   CR         1   TR  2   CH 10   NT  D--             1
BA   13   CR         1   TR  3   CH  2   NT  Eb-        95/192
BA   13   CR     1+1/2   TR  1   CH  3   NT  Eb            1/2
BA   13   CR   1+25/48   TR  2   CH 10   NT  D--         23/48
BA   13   CR   1+25/48   TR  3   CH  2   NT  Eb-         15/32
BA   13   CR         2   TR  1   CH  3   NT  E           1+1/2
BA   13   CR         2   TR  3   CH  2   NT  D-         95/192
BA   13   CR   2+25/48   TR  3   CH  2   NT  D-          15/32
BA   13   CR         3   TR  2   CH 10   NT  D--             1
BA   13   CR         3   TR  3   CH  2   NT  D-         95/192
BA   13   CR         3   TR  6   CH  8   NT  E''           1/2
BA   13   CR     3+1/2   TR  1   CH  3   NT  B-          1+1/2
BA   13   CR   3+25/48   TR  3   CH  2   NT  D-          15/32

BA   14   CR         0   TR  3   CH  2   NT  D-         95/192
BA   14   CR         0   TR  6   CH  8   NT  E''           1/2
BA   14   CR       1/2   TR  6   CH  8   NT  Eb''          1/2
BA   14   CR     25/48   TR  3   CH  2   NT  D-          15/32
BA   14   CR         1   TR  1   CH  3   NT  B               1
BA   14   CR         1   TR  2   CH 10   NT  D--             1
BA   14   CR         1   TR  3   CH  2   NT  D-         95/192
BA   14   CR     1+1/2   TR  6   CH  8   NT  E''           1/2
BA   14   CR   1+25/48   TR  3   CH  2   NT  D-          15/32
BA   14   CR         2   TR  1   CH  3   NT  F#          1+1/2
BA   14   CR         2   TR  3   CH  2   NT  D-         95/192
BA   14   CR   2+25/48   TR  3   CH  2   NT  D-          15/32
BA   14   CR 2+109/192   TR  6   CH  8   NT  Eb''        11/24
BA   14   CR         3   TR  2   CH 10   NT  D--             1
BA   14   CR         3   TR  3   CH  2   NT  D-         95/192
BA   14   CR     3+1/2   TR  1   CH  3   NT  G#          1+1/2
BA   14   CR     3+1/2   TR  6   CH  8   NT  B'              2
BA   14   CR   3+25/48   TR  3   CH  2   NT  D-          15/32

BA   15   CR         0   TR  3   CH  2   NT  D-         95/192
BA   15   CR     25/48   TR  3   CH  2   NT  D-          15/32
BA   15   CR         1   TR  2   CH 10   NT  D--             1
BA   15   CR         1   TR  3   CH  2   NT  D-         95/192
BA   15   CR    1+1/96   TR  1   CH  3   NT  F#            1/2
BA   15   CR     1+1/2   TR  1   CH  3   NT  G#            1/2
BA   15   CR   1+25/48   TR  3   CH  2   NT  D-          15/32
BA   15   CR         2   TR  1   CH  3   NT  A           1+1/2
BA   15   CR         2   TR  2   CH 10   NT  C#-             1
BA   15   CR         2   TR  3   CH  2   NT  C#-        95/192
BA   15   CR   2+25/48   TR  3   CH  2   NT  C#-         15/32
BA   15   CR         3   TR  2   CH 10   NT  D--             1
BA   15   CR         3   TR  3   CH  2   NT  C#-        95/192
BA   15   CR         3   TR  6   CH  8   NT  C#''          1/2
BA   15   CR     3+1/2   TR  1   CH  3   NT  G#          1+1/2
BA   15   CR   3+25/48   TR  3   CH  2   NT  C#-           1/2

BA   16   CR         0   TR  3   CH  2   NT  B--           1/2
BA   16   CR      1/96   TR  6   CH  8   NT  C#''          1/2
BA   16   CR       1/2   TR  6   CH  8   NT  B'            1/2
BA   16   CR   101/192   TR  3   CH  2   NT  B--         15/32
BA   16   CR         1   TR  1   CH  3   NT  E               5
BA   16   CR         1   TR  2   CH 10   NT  D--             1
BA   16   CR         1   TR  3   CH  2   NT  B--        95/192
BA   16   CR     1+1/2   TR  6   CH  8   NT  C#''          1/2
BA   16   CR   1+25/48   TR  3   CH  2   NT  B--         15/32
BA   16   CR         2   TR  2   CH 10   NT  C#-             1
BA   16   CR         2   TR  3   CH  2   NT  A--        95/192
BA   16   CR     2+1/2   TR  6   CH  8   NT  B'            1/2
BA   16   CR   2+25/48   TR  2   CH 10   NT  C--             1
BA   16   CR   2+25/48   TR  3   CH  2   NT  A--         15/32
BA   16   CR         3   TR  3   CH  2   NT  A--        95/192
BA   16   CR    3+1/48   TR  2   CH 10   NT  D--             1
BA   16   CR     3+1/2   TR  6   CH  8   NT  G#'             2
BA   16   CR   3+25/48   TR  3   CH  2   NT  A--         15/32
BA   16   CR   3+47/48   TR  2   CH 10   NT  D--          1/24

BA   17   CR         0   TR  3   CH  2   NT  B--        95/192
BA   17   CR     25/48   TR  3   CH  2   NT  B--         15/32
BA   17   CR         1   TR  2   CH 10   NT  D--             1
BA   17   CR         1   TR  2   CH 10   NT  C#-             1
BA   17   CR         1   TR  3   CH  2   NT  B--        95/192
BA   17   CR   1+25/48   TR  2   CH 10   NT  D--         23/48
BA   17   CR   1+25/48   TR  3   CH  2   NT  B--         15/32
BA   17   CR         2   TR  2   CH 10   NT  C#-             1
BA   17   CR         2   TR  5   CH  6   NT  E          8+1/48   von=100
BA   17   CR    2+1/96   TR  3   CH  2   NT  E-          11/24
BA   17   CR   2+31/64   TR  3   CH  2   NT  E-          33/64
BA   17   CR         3   TR  2   CH 10   NT  D--             1
BA   17   CR    3+1/96   TR  3   CH  2   NT  E-          47/96
BA   17   CR 3+101/192   TR  3   CH  2   NT  E-         91/192

BA   18   CR         0   TR  4   CH  5   NT  E'          31/64   von=100
BA   18   CR     5/192   TR  3   CH  2   NT  E-         91/192
BA   18   CR   101/192   TR  3   CH  2   NT  E-         91/192
BA   18   CR   101/192   TR  4   CH  5   NT  F#'        91/192
BA   18   CR         1   TR  2   CH 10   NT  D--             1
BA   18   CR    1+1/96   TR  3   CH  2   NT  E-          47/96
BA   18   CR    1+1/96   TR  4   CH  5   NT  G#'       101/192
BA   18   CR   1+25/48   TR  3   CH  2   NT  E-         91/192
BA   18   CR 1+101/192   TR  4   CH  5   NT  A'       1+91/192
BA   18   CR         2   TR  3   CH  2   NT  E-         91/192
