format=1 tracks=5 division=480

BA    3   CR         0   TR  4   CH 10   NT  A-              1   von=95   voff=80
BA    3   CR         0   TR  4   CH 10   NT  C--             1   voff=80
BA    3   CR         1   TR  1   CH  1   NT  F'            1/2   voff=80
BA    3   CR         1   TR  4   CH 10   NT  F#--          1/2   voff=80
BA    3   CR     1+1/2   TR  1   CH  1   NT  Eb'           1/2   voff=80
BA    3   CR     1+1/2   TR  4   CH 10   NT  C--           1/2   voff=80
BA    3   CR         2   TR  1   CH  1   NT  D'            1/2   voff=80
BA    3   CR         2   TR  4   CH 10   NT  F#--            1   voff=80
BA    3   CR         2   TR  4   CH 10   NT  D--             1   voff=80
BA    3   CR     2+1/2   TR  1   CH  1   NT  Bb            1/2   voff=80
BA    3   CR         3   TR  1   CH  1   NT  G               1   voff=80
BA    3   CR         3   TR  4   CH 10   NT  F#--            1   voff=80
BA    3   CR         3   TR  4   CH 10   NT  C--             1   voff=80

BA    4   CR         0   TR  1   CH  1   NT  C'            1/2   voff=80
BA    4   CR         0   TR  4   CH 10   NT  F#--          1/2   voff=80
BA    4   CR         0   TR  4   CH 10   NT  C--           1/2   voff=80
BA    4   CR       1/2   TR  1   CH  1   NT  D'            1/2   voff=80
BA    4   CR       1/2   TR  4   CH 10   NT  D--           1/2   voff=80
BA    4   CR         1   TR  1   CH  1   NT  Eb'           1/2   voff=80
BA    4   CR         1   TR  4   CH 10   NT  F#--          1/2   voff=80
BA    4   CR     1+1/2   TR  1   CH  1   NT  F'            1/2   voff=80
BA    4   CR     1+1/2   TR  4   CH 10   NT  C--           1/2   voff=80
BA    4   CR         2   TR  1   CH  1   NT  D'              2   voff=80
BA    4   CR         2   TR  4   CH 10   NT  F#--            1   voff=80
BA    4   CR         2   TR  4   CH 10   NT  D--             1   voff=80
BA    4   CR         3   TR  4   CH 10   NT  F#--            1   voff=80
BA    4   CR         3   TR  4   CH 10   NT  C--             1   voff=80

BA    5   CR         0   TR  1   CH  1   Instrument 30
BA    5   CR         0   TR  1   CH  2   Instrument 30
BA    5   CR         0   TR  1   CH  1   Channel volume 88
BA    5   CR         0   TR  1   CH  2   Channel volume 88
BA    5   CR         0   TR  1   CH  1   NT  G'              1   voff=80
BA    5   CR         0   TR  3   CH  3   NT  C-              8   voff=80
BA    5   CR         0   TR  3   CH  3   NT  G--             8   voff=80
BA    5   CR         0   TR  3   CH  3   NT  C--             4   voff=80
BA    5   CR         0   TR  4   CH 10   NT  F#--            1   voff=80
BA    5   CR         0   TR  4   CH 10   NT  C--             1   voff=80
BA    5   CR         1   TR  1   CH  1   NT  F'            1/2   voff=80
BA    5   CR         1   TR  4   CH 10   NT  F#--          1/2   voff=80
BA    5   CR     1+1/2   TR  1   CH  1   NT  Eb'           1/2   voff=80
BA    5   CR     1+1/2   TR  4   CH 10   NT  C--           1/2   voff=80
BA    5   CR         2   TR  1   CH  1   NT  D'            1/2   voff=80
BA    5   CR         2   TR  4   CH 10   NT  F#--            1   voff=80
BA    5   CR         2   TR  4   CH 10   NT  D--             1   voff=80
BA    5   CR     2+1/2   TR  1   CH  1   NT  Bb            1/2   voff=80
BA    5   CR         3   TR  1   CH  1   NT  G               1   voff=80
BA    5   CR         3   TR  4   CH 10   NT  F#--            1   voff=80
BA    5   CR         3   TR  4   CH 10   NT  C--             1   voff=80

BA    6   CR         0   TR  1   CH  1   NT  C'            1/2   voff=80
BA    6   CR         0   TR  4   CH 10   NT  F#--          1/2   voff=80
BA    6   CR         0   TR  4   CH 10   NT  C--           1/2   voff=80
BA    6   CR       1/2   TR  1   CH  1   NT  D'            1/2   voff=80
BA    6   CR       1/2   TR  4   CH 10   NT  D--           1/2   voff=80
BA    6   CR         1   TR  1   CH  1   NT  Eb'           1/2   voff=80
BA    6   CR         1   TR  4   CH 10   NT  F#--          1/2   voff=80
BA    6   CR     1+1/2   TR  1   CH  1   NT  F'            1/2   voff=80
