format=1 tracks=18 division=96

BA    1   CR         0   TR 10   CH 11   ST &EA &00 &40
BA    1   CR         0   TR 10   CH 11   ST &BA &65 &00
BA    1   CR         0   TR 10   CH 11   ST &BA &64 &00
BA    1   CR         0   TR 10   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR 10   CH 11   ST &BA &20 &08
BA    1   CR         0   TR 10   CH 11   ST &BA &0A &40
BA    1   CR         0   TR 10   CH 11   Channel volume 127
BA    1   CR         0   TR 10   CH 11   ST &EA &00 &40
BA    1   CR         0   TR 10   CH 11   Instrument 82
BA    1   CR         0   TR 10   CH 11   ST &BA &01 &58
BA    1   CR         0   TR 10   CH 11   ST &BA &65 &00
BA    1   CR         0   TR 10   CH 11   ST &BA &64 &00
BA    1   CR         0   TR 10   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR 10   CH 11   ST &BA &20 &08
BA    1   CR         0   TR 10   CH 11   ST &BA &0A &40
BA    1   CR         0   TR 10   CH 11   Channel volume 127
BA    1   CR         0   TR 10   CH 11   ST &EA &00 &40
BA    1   CR         0   TR 10   CH 11   Instrument 82
BA    1   CR         0   TR 10   CH 11   ST &BA &01 &58
BA    1   CR         0   TR 10   CH 11   ST &BA &65 &00
BA    1   CR         0   TR 10   CH 11   ST &BA &64 &00
BA    1   CR         0   TR 10   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR 10   CH 11   ST &BA &20 &08
BA    1   CR         0   TR 10   CH 11   ST &BA &0A &40
BA    1   CR         0   TR 10   CH 11   Channel volume 127
BA    1   CR         0   TR 10   CH 11   ST &EA &00 &40
BA    1   CR         0   TR 10   CH 11   Instrument 82
BA    1   CR         0   TR 10   CH 11   ST &BA &01 &58
BA    1   CR         0   TR 11   CH 16   Text type 3: "MIDI Drums"
BA    1   CR         0   TR 11   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 11   CH 10   Channel volume 100
BA    1   CR         0   TR 11   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 11   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 11   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 11   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 11   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 11   CH 10   Channel volume 100
BA    1   CR         0   TR 11   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 11   CH 10   Instrument 25
BA    1   CR         0   TR 11   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 11   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 11   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 11   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 11   CH 10   Channel volume 100
BA    1   CR         0   TR 11   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 11   CH 10   Instrument 25
BA    1   CR         0   TR 11   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 11   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 11   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 11   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 11   CH 10   Channel volume 100
BA    1   CR         0   TR 11   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 11   CH 10   Instrument 25
BA    1   CR         0   TR 11   CH 10   NT  F#--        47/96   von=100
BA    1   CR         0   TR 11   CH 10   NT  B---        47/96
BA    1   CR         0   TR 11   CH 10   NT  A---        47/96
BA    1   CR         0   TR 11   CH 10   NT  A-        3+95/96
BA    1   CR         0   TR 11   CH 10   NT  C#-       3+95/96
BA    1   CR         0   TR 12   CH 16   Text type 3: "Dance Hats"
BA    1   CR         0   TR 12   CH 12   ST &BB &0A &40
BA    1   CR         0   TR 12   CH 12   Channel volume 100
BA    1   CR         0   TR 12   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 12   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 12   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 12   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 12   CH 12   ST &BB &00 &7F
BA    1   CR         0   TR 12   CH 12   ST &BB &0A &40
BA    1   CR         0   TR 12   CH 12   Channel volume 100
BA    1   CR         0   TR 12   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 12   CH 12   Instrument 26
BA    1   CR         0   TR 12   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 12   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 12   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 12   CH 12   ST &BB &00 &7F
BA    1   CR         0   TR 12   CH 12   ST &BB &0A &40
BA    1   CR         0   TR 12   CH 12   Channel volume 100
BA    1   CR         0   TR 12   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 12   CH 12   Instrument 26
BA    1   CR         0   TR 12   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 12   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 12   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 12   CH 12   ST &BB &00 &7F
BA    1   CR         0   TR 12   CH 12   ST &BB &0A &40
BA    1   CR         0   TR 12   CH 12   Channel volume 100
BA    1   CR         0   TR 12   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 12   CH 12   Instrument 26
BA    1   CR         0   TR 12   CH 12   NT  F#--        47/96   von=100
BA    1   CR         0   TR 13   CH 16   Text type 3: "Distortion Guitar (echo)"
BA    1   CR         0   TR 13   CH 12   ST &BB &0A &40
BA    1   CR         0   TR 13   CH 12   Channel volume 94
BA    1   CR         0   TR 13   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 13   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 13   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 13   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 13   CH 12   ST &BB &20 &08
BA    1   CR         0   TR 13   CH 12   ST &BB &0A &40
BA    1   CR         0   TR 13   CH 12   Channel volume 94
BA    1   CR         0   TR 13   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 13   CH 12   Instrument 82
BA    1   CR         0   TR 13   CH 12   ST &BB &5D &5A
BA    1   CR         0   TR 13   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 13   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 13   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 13   CH 12   ST &BB &20 &08
BA    1   CR         0   TR 13   CH 12   ST &BB &0A &40
BA    1   CR         0   TR 13   CH 12   Channel volume 94
BA    1   CR         0   TR 13   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 13   CH 12   Instrument 82
BA    1   CR         0   TR 13   CH 12   ST &BB &5D &5A
BA    1   CR         0   TR 13   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 13   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 13   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 13   CH 12   ST &BB &20 &08
BA    1   CR         0   TR 13   CH 12   ST &BB &0A &40
BA    1   CR         0   TR 13   CH 12   Channel volume 94
BA    1   CR         0   TR 13   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 13   CH 12   Instrument 82
BA    1   CR         0   TR 13   CH 12   ST &BB &5D &5A
BA    1   CR         0   TR 14   CH 16   Text type 3: "MIDI Ch. 13"
BA    1   CR         0   TR 14   CH 13   ST &BC &0A &40
BA    1   CR         0   TR 14   CH 13   Channel volume 100
BA    1   CR         0   TR 14   CH 13   ST &EC &00 &40
BA    1   CR         0   TR 14   CH 13   ST &BC &65 &00
BA    1   CR         0   TR 14   CH 13   ST &BC &64 &00
BA    1   CR         0   TR 14   CH 13   ST &BC &06 &0C
BA    1   CR         0   TR 14   CH 13   ST &BC &0A &40
BA    1   CR         0   TR 14   CH 13   Channel volume 100
BA    1   CR         0   TR 14   CH 13   ST &EC &00 &40
BA    1   CR         0   TR 14   CH 13   ST &BC &65 &00
BA    1   CR         0   TR 14   CH 13   ST &BC &64 &00
BA    1   CR         0   TR 14   CH 13   ST &BC &06 &0C
BA    1   CR         0   TR 14   CH 13   ST &BC &0A &40
BA    1   CR         0   TR 14   CH 13   Channel volume 100
BA    1   CR         0   TR 14   CH 13   ST &EC &00 &40
BA    1   CR         0   TR 14   CH 13   ST &BC &65 &00
BA    1   CR         0   TR 14   CH 13   ST &BC &64 &00
BA    1   CR         0   TR 14   CH 13   ST &BC &06 &0C
BA    1   CR         0   TR 14   CH 13   ST &BC &0A &40
BA    1   CR         0   TR 14   CH 13   Channel volume 100
BA    1   CR         0   TR 14   CH 13   ST &EC &00 &40
BA    1   CR         0   TR 15   CH 16   Text type 3: "MIDI Ch. 14"
BA    1   CR         0   TR 15   CH 14   ST &BD &0A &40
BA    1   CR         0   TR 15   CH 14   Channel volume 100
BA    1   CR         0   TR 15   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 15   CH 14   ST &BD &65 &00
BA    1   CR         0   TR 15   CH 14   ST &BD &64 &00
BA    1   CR         0   TR 15   CH 14   ST &BD &06 &0C
BA    1   CR         0   TR 15   CH 14   ST &BD &0A &40
BA    1   CR         0   TR 15   CH 14   Channel volume 100
BA    1   CR         0   TR 15   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 15   CH 14   ST &BD &65 &00
BA    1   CR         0   TR 15   CH 14   ST &BD &64 &00
BA    1   CR         0   TR 15   CH 14   ST &BD &06 &0C
BA    1   CR         0   TR 15   CH 14   ST &BD &0A &40
BA    1   CR         0   TR 15   CH 14   Channel volume 100
BA    1   CR         0   TR 15   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 15   CH 14   ST &BD &65 &00
BA    1   CR         0   TR 15   CH 14   ST &BD &64 &00
BA    1   CR         0   TR 15   CH 14   ST &BD &06 &0C
BA    1   CR         0   TR 15   CH 14   ST &BD &0A &40
BA    1   CR         0   TR 15   CH 14   Channel volume 100
BA    1   CR         0   TR 15   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 16   CH 16   Text type 3: "MIDI Ch. 15"
BA    1   CR         0   TR 16   CH 15   ST &BE &0A &40
BA    1   CR         0   TR 16   CH 15   Channel volume 100
BA    1   CR         0   TR 16   CH 15   ST &EE &00 &40
BA    1   CR         0   TR 16   CH 15   ST &BE &65 &00
BA    1   CR         0   TR 16   CH 15   ST &BE &64 &00
BA    1   CR         0   TR 16   CH 15   ST &BE &06 &0C
BA    1   CR         0   TR 16   CH 15   ST &BE &0A &40
BA    1   CR         0   TR 16   CH 15   Channel volume 100
BA    1   CR         0   TR 16   CH 15   ST &EE &00 &40
BA    1   CR         0   TR 16   CH 15   ST &BE &65 &00
BA    1   CR         0   TR 16   CH 15   ST &BE &64 &00
BA    1   CR         0   TR 16   CH 15   ST &BE &06 &0C
BA    1   CR         0   TR 16   CH 15   ST &BE &0A &40
BA    1   CR         0   TR 16   CH 15   Channel volume 100
BA    1   CR         0   TR 16   CH 15   ST &EE &00 &40
BA    1   CR         0   TR 16   CH 15   ST &BE &65 &00
BA    1   CR         0   TR 16   CH 15   ST &BE &64 &00
