format=1 tracks=15 division=96

BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &24
BA    1   CR         0   TR  5   CH  5   Channel volume 65
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 81
BA    1   CR         0   TR  5   CH  5   ST &B4 &01 &13
BA    1   CR         0   TR  5   CH  5   Channel volume 65
BA    1   CR         0   TR  6   CH 16   Text type 3: "E. Piano 2"
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &5C
BA    1   CR         0   TR  6   CH  6   Channel volume 103
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &5C
BA    1   CR         0   TR  6   CH  6   Channel volume 103
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 6
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &5C
BA    1   CR         0   TR  6   CH  6   Channel volume 103
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 6
BA    1   CR         0   TR  6   CH  6   Channel volume 103
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &5C
BA    1   CR         0   TR  6   CH  6   Channel volume 103
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 6
BA    1   CR         0   TR  6   CH  6   Channel volume 103
BA    1   CR         0   TR  7   CH 16   Text type 3: "Overdriven Guitar (Detuned)"
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  7   CH  7   Channel volume 62
BA    1   CR         0   TR  7   CH  7   ST &E6 &3C &3F
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  7   CH  7   Channel volume 62
BA    1   CR         0   TR  7   CH  7   ST &E6 &3C &3F
BA    1   CR         0   TR  7   CH  7   Instrument 30
BA    1   CR         0   TR  7   CH  7   ST &B6 &01 &18
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  7   CH  7   Channel volume 62
BA    1   CR         0   TR  7   CH  7   ST &E6 &3C &3F
BA    1   CR         0   TR  7   CH  7   Instrument 30
BA    1   CR         0   TR  7   CH  7   ST &B6 &01 &18
BA    1   CR         0   TR  7   CH  7   Channel volume 62
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  7   CH  7   Channel volume 62
BA    1   CR         0   TR  7   CH  7   ST &E6 &3C &3F
BA    1   CR         0   TR  7   CH  7   Instrument 30
BA    1   CR         0   TR  7   CH  7   ST &B6 &01 &18
BA    1   CR         0   TR  7   CH  7   Channel volume 62
BA    1   CR         0   TR  7   CH  7   Channel volume 63
BA    1   CR         0   TR  7   CH  7   NT  C-          47/96   von=100
BA    1   CR         0   TR  8   CH 16   Text type 3: "Rain"
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  8   CH  8   Channel volume 102
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  8   CH  8   Channel volume 102
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 97
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  8   CH  8   Channel volume 102
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 97
BA    1   CR         0   TR  8   CH  8   Channel volume 102
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  8   CH  8   Channel volume 102
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 97
BA    1   CR         0   TR  8   CH  8   Channel volume 102
BA    1   CR         0   TR  9   CH 16   Text type 3: "Bowed Pad"
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &40
BA    1   CR         0   TR  9   CH  9   Channel volume 102
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &40
BA    1   CR         0   TR  9   CH  9   Channel volume 102
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   Instrument 93
BA    1   CR         0   TR  9   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &40
BA    1   CR         0   TR  9   CH  9   Channel volume 102
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   Instrument 93
BA    1   CR         0   TR  9   CH  9   Channel volume 102
BA    1   CR         0   TR  9   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &40
BA    1   CR         0   TR  9   CH  9   Channel volume 102
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   Instrument 93
BA    1   CR         0   TR  9   CH  9   Channel volume 102
BA    1   CR         0   TR 10   CH 16   Text type 3: "Jazz Kit"
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 117
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 117
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 33
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 117
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 33
BA    1   CR         0   TR 10   CH 10   Channel volume 117
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 117
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 33
BA    1   CR         0   TR 10   CH 10   Channel volume 117
BA    1   CR         0   TR 10   CH 10   NT  B---        47/96   von=100
BA    1   CR         0   TR 10   CH 10   NT  F#--        47/96   von=80
BA    1   CR         0   TR 10   CH 10   NT  C--         47/96   von=100
BA    1   CR         0   TR 11   CH 16   Text type 3: "Sawtooth"
BA    1   CR         0   TR 11   CH 12   ST &BB &0A &60
BA    1   CR         0   TR 11   CH 12   Channel volume 51
BA    1   CR         0   TR 11   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 11   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 11   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 11   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 11   CH 12   ST &BB &0A &60
BA    1   CR         0   TR 11   CH 12   Channel volume 51
BA    1   CR         0   TR 11   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 11   CH 12   Instrument 82
BA    1   CR         0   TR 11   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 11   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 11   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 11   CH 12   ST &BB &0A &60
BA    1   CR         0   TR 11   CH 12   Channel volume 51
BA    1   CR         0   TR 11   CH 12   ST &EB &00 &40
