format=1 tracks=8 division=96

BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 127
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   Instrument 1
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 127
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   Instrument 1
BA    1   CR         0   TR  7   CH 10   Instrument 1
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 127
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   Instrument 1
BA    1   CR         0   TR  7   CH 10   Instrument 1
BA    1   CR         0   TR  7   CH 10   NT  B---        23/96   von=81   voff=0
BA    1   CR         0   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    1   CR       1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    1   CR       3/4   TR  1   CH  1   NT  G           23/96   voff=0
BA    1   CR       3/4   TR  2   CH  2   NT  G           23/96   voff=0
BA    1   CR       3/4   TR  3   CH  3   NT  G           23/96   voff=0
BA    1   CR         1   TR  7   CH 10   NT  E--         23/96   von=33   voff=0
BA    1   CR         1   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA    1   CR         1   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    1   CR     1+1/2   TR  1   CH  1   NT  D           23/96   voff=0
BA    1   CR     1+1/2   TR  2   CH  2   NT  D           23/96   voff=0
BA    1   CR     1+1/2   TR  3   CH  3   NT  D           23/96   voff=0
BA    1   CR     1+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    1   CR     1+3/4   TR  7   CH 10   NT  B---        23/96   voff=0
BA    1   CR         2   TR  1   CH  1   NT  E           23/96   voff=0
BA    1   CR         2   TR  2   CH  2   NT  E           23/96   voff=0
BA    1   CR         2   TR  3   CH  3   NT  E           23/96   voff=0
BA    1   CR         2   TR  7   CH 10   NT  B---        23/96   voff=0
BA    1   CR         2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    1   CR     2+1/2   TR  1   CH  1   NT  C           23/96   voff=0
BA    1   CR     2+1/2   TR  2   CH  2   NT  C           23/96   voff=0
BA    1   CR     2+1/2   TR  3   CH  3   NT  C           23/96   voff=0
BA    1   CR     2+1/2   TR  7   CH 10   NT  B---        23/96   voff=0
BA    1   CR     2+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    1   CR         3   TR  7   CH 10   NT  E--         23/96   von=33   voff=0
BA    1   CR         3   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA    1   CR         3   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    1   CR     3+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0

BA    2   CR         0   TR  1   CH  1   NT  D           23/96   voff=0
BA    2   CR         0   TR  2   CH  2   NT  D           23/96   voff=0
BA    2   CR         0   TR  3   CH  3   NT  D           23/96   voff=0
BA    2   CR         0   TR  7   CH 10   NT  B---        23/96   voff=0
BA    2   CR         0   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    2   CR       1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    2   CR       3/4   TR  1   CH  1   NT  G           23/96   voff=0
BA    2   CR       3/4   TR  2   CH  2   NT  G           23/96   voff=0
BA    2   CR       3/4   TR  3   CH  3   NT  G           23/96   voff=0
BA    2   CR         1   TR  7   CH 10   NT  E--         23/96   von=33   voff=0
BA    2   CR         1   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA    2   CR         1   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    2   CR     1+1/2   TR  1   CH  1   NT  D           23/96   voff=0
BA    2   CR     1+1/2   TR  2   CH  2   NT  D           23/96   voff=0
BA    2   CR     1+1/2   TR  3   CH  3   NT  D           23/96   voff=0
BA    2   CR     1+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    2   CR     1+3/4   TR  7   CH 10   NT  B---        23/96   voff=0
BA    2   CR         2   TR  1   CH  1   NT  E           23/96   voff=0
BA    2   CR         2   TR  2   CH  2   NT  E           23/96   voff=0
BA    2   CR         2   TR  3   CH  3   NT  E           23/96   voff=0
BA    2   CR         2   TR  7   CH 10   NT  B---        23/96   voff=0
BA    2   CR         2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    2   CR     2+1/2   TR  7   CH 10   NT  B---        23/96   voff=0
BA    2   CR     2+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    2   CR         3   TR  7   CH 10   NT  E--         23/96   von=34   voff=0
BA    2   CR         3   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA    2   CR         3   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    2   CR     3+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0

BA    3   CR         0   TR  1   CH  1   NT  D           23/96   voff=0
BA    3   CR         0   TR  2   CH  2   NT  D           23/96   voff=0
BA    3   CR         0   TR  3   CH  3   NT  D           23/96   voff=0
BA    3   CR         0   TR  7   CH 10   NT  B---        23/96   voff=0
BA    3   CR         0   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    3   CR       1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    3   CR       3/4   TR  1   CH  1   NT  G           23/96   voff=0
BA    3   CR       3/4   TR  2   CH  2   NT  G           23/96   voff=0
BA    3   CR       3/4   TR  3   CH  3   NT  G           23/96   voff=0
BA    3   CR         1   TR  7   CH 10   NT  E--         23/96   von=34   voff=0
BA    3   CR         1   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA    3   CR         1   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    3   CR     1+1/2   TR  1   CH  1   NT  D           23/96   voff=0
BA    3   CR     1+1/2   TR  2   CH  2   NT  D           23/96   voff=0
BA    3   CR     1+1/2   TR  3   CH  3   NT  D           23/96   voff=0
BA    3   CR     1+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    3   CR     1+3/4   TR  7   CH 10   NT  B---        23/96   voff=0
BA    3   CR         2   TR  1   CH  1   NT  E           23/96   voff=0
BA    3   CR         2   TR  2   CH  2   NT  E           23/96   voff=0
BA    3   CR         2   TR  3   CH  3   NT  E           23/96   voff=0
BA    3   CR         2   TR  7   CH 10   NT  B---        23/96   voff=0
BA    3   CR         2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    3   CR     2+1/2   TR  1   CH  1   NT  C           23/96   voff=0
BA    3   CR     2+1/2   TR  2   CH  2   NT  C           23/96   voff=0
BA    3   CR     2+1/2   TR  3   CH  3   NT  C           23/96   voff=0
BA    3   CR     2+1/2   TR  7   CH 10   NT  B---        23/96   voff=0
BA    3   CR     2+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    3   CR         3   TR  7   CH 10   NT  E--         23/96   von=34   voff=0
BA    3   CR         3   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA    3   CR         3   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    3   CR     3+1/2   TR  4   CH  4   NT  C'          23/96   von=81   voff=0
BA    3   CR     3+3/4   TR  4   CH  4   NT  D'          23/96   voff=0
BA    3   CR     3+3/4   TR  6   CH  6   NT  C'          23/96   von=48   voff=0

BA    4   CR         0   TR  4   CH  4   NT  A-          71/96   voff=0
BA    4   CR         0   TR  4   CH  4   NT  F           71/96   voff=0
BA    4   CR         0   TR  4   CH  4   NT  C'          71/96   voff=0
BA    4   CR         0   TR  4   CH  4   NT  F'          71/96   voff=0
BA    4   CR         0   TR  6   CH  6   NT  D'          23/96   voff=0
BA    4   CR       1/4   TR  6   CH  6   NT  A-          71/96   voff=0
BA    4   CR       1/4   TR  6   CH  6   NT  F           71/96   voff=0
BA    4   CR       1/4   TR  6   CH  6   NT  C'          71/96   voff=0
BA    4   CR       1/4   TR  6   CH  6   NT  F'          71/96   voff=0
BA    4   CR       3/4   TR  4   CH  4   NT  G-          71/96   voff=0
BA    4   CR       3/4   TR  4   CH  4   NT  G           71/96   voff=0
BA    4   CR       3/4   TR  4   CH  4   NT  C'          71/96   voff=0
BA    4   CR       3/4   TR  4   CH  4   NT  E'          71/96   voff=0
BA    4   CR         1   TR  6   CH  6   NT  G-          71/96   voff=0
BA    4   CR         1   TR  6   CH  6   NT  G           71/96   voff=0
BA    4   CR         1   TR  6   CH  6   NT  C'          71/96   voff=0
BA    4   CR         1   TR  6   CH  6   NT  E'          71/96   voff=0
