format=1 tracks=11 division=96

BA    1   CR         0   TR  8   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  8   CH  7   Channel volume 73
BA    1   CR         0   TR  8   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  8   CH  7   Instrument 79
BA    1   CR         0   TR  8   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  8   CH  7   Channel volume 73
BA    1   CR         0   TR  8   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  8   CH  7   Instrument 79
BA    1   CR         0   TR  8   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  8   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  8   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  8   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  8   CH  7   Channel volume 73
BA    1   CR         0   TR  8   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  8   CH  7   Instrument 79
BA    1   CR         0   TR  8   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  8   CH  7   Channel volume 73
BA    1   CR         0   TR  8   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  8   CH  7   Instrument 79
BA    1   CR         0   TR  9   CH 16   Text type 3: "Whistle #2"
BA    1   CR         0   TR  9   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  9   CH  8   Channel volume 55
BA    1   CR         0   TR  9   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  9   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  9   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  9   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  9   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  9   CH  8   Channel volume 55
BA    1   CR         0   TR  9   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  9   CH  8   Instrument 79
BA    1   CR         0   TR  9   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  9   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  9   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  9   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  9   CH  8   Channel volume 55
BA    1   CR         0   TR  9   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  9   CH  8   Instrument 79
BA    1   CR         0   TR  9   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  9   CH  8   Channel volume 55
BA    1   CR         0   TR  9   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  9   CH  8   Instrument 79
BA    1   CR         0   TR  9   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  9   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  9   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  9   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  9   CH  8   Channel volume 55
BA    1   CR         0   TR  9   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  9   CH  8   Instrument 79
BA    1   CR         0   TR  9   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  9   CH  8   Channel volume 55
BA    1   CR         0   TR  9   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  9   CH  8   Instrument 79
BA    1   CR         0   TR 10   CH 16   Text type 3: "Shaker"
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 66
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 66
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 1
