format=1 tracks=10 division=96

BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  8   CH  8   Channel volume 65
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 31
BA    1   CR         0   TR  8   CH  8   Channel volume 63
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  8   CH  8   Channel volume 63
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 31
BA    1   CR         0   TR  8   CH  8   Channel volume 63
BA    1   CR         0   TR  9   CH 16   Text type 3: "Electric Kit"
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 102
BA    1   CR         0   TR  9   CH 10   ST &E9 &2A &55
BA    1   CR         0   TR  9   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 102
BA    1   CR         0   TR  9   CH 10   ST &E9 &2A &55
BA    1   CR         0   TR  9   CH 10   Instrument 25
BA    1   CR         0   TR  9   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 102
BA    1   CR         0   TR  9   CH 10   ST &E9 &2A &55
BA    1   CR         0   TR  9   CH 10   Instrument 25
BA    1   CR         0   TR  9   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  9   CH 10   Channel volume 102
BA    1   CR         0   TR  9   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 102
BA    1   CR         0   TR  9   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  9   CH 10   Instrument 25
BA    1   CR         0   TR  9   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  9   CH 10   Channel volume 102
BA    1   CR         0   TR  9   CH 10   NT  Bb--      1+95/96   von=96
BA    1   CR         0   TR  9   CH 10   NT  F-        1+95/96
BA    1   CR         0   TR  9   CH 10   NT  Eb-       1+95/96
BA    1   CR         2   TR  9   CH 10   NT  Bb--      1+95/96
BA    1   CR         2   TR  9   CH 10   NT  Eb-       1+95/96
BA    1   CR         2   TR  9   CH 10   NT  F-        1+95/96

BA    2   CR         0   TR  9   CH 10   NT  Bb--      1+95/96
BA    2   CR         0   TR  9   CH 10   NT  Eb-       1+95/96
BA    2   CR         0   TR  9   CH 10   NT  F-        1+95/96
BA    2   CR         2   TR  9   CH 10   ST &E9 &2A &55
BA    2   CR         2   TR  9   CH 10   NT  E--         47/96   von=80
BA    2   CR         2   TR  9   CH 10   NT  G---        47/96   von=96
BA    2   CR     2+1/2   TR  9   CH 10   NT  E--         47/96   von=80
BA    2   CR     2+1/2   TR  9   CH 10   NT  G---        47/96   von=96
BA    2   CR         3   TR  9   CH 10   NT  E--         47/96   von=80
BA    2   CR         3   TR  9   CH 10   NT  G---        47/96   von=96
BA    2   CR     3+1/2   TR  9   CH 10   NT  E--         47/96   von=80
BA    2   CR     3+1/2   TR  9   CH 10   NT  G---        47/96   von=96

BA    3   CR         0   TR  0   CH 16   Tempo 310
BA    3   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    3   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    3   CR         0   TR  2   CH  2   NT  A--         71/96   von=96   voff=0
BA    3   CR         0   TR  2   CH  2   NT  D--         71/96   voff=0
BA    3   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    3   CR         0   TR  4   CH  4   NT  D--       1+95/96   von=97   voff=0
BA    3   CR         0   TR  5   CH  5   NT  D--       1+95/96   von=97   voff=0
BA    3   CR         0   TR  7   CH  7   NT  D--         71/96   von=96   voff=0
BA    3   CR         0   TR  7   CH  7   NT  A--         71/96   voff=0
BA    3   CR         0   TR  9   CH 10   ST &E9 &2A &55
BA    3   CR         0   TR  9   CH 10   NT  C--         47/96   von=97   voff=0
BA    3   CR         0   TR  9   CH 10   NT  B---        47/96   voff=0
BA    3   CR         0   TR  9   CH 10   NT  C#-         95/96   voff=0
BA    3   CR       1/4   TR  8   CH  8   NT  A--         71/96   von=96   voff=0
BA    3   CR       1/4   TR  8   CH  8   NT  D--         71/96   voff=0
BA    3   CR         1   TR  2   CH  2   NT  A--         23/96   voff=0
BA    3   CR         1   TR  2   CH  2   NT  D--         23/96   voff=0
BA    3   CR         1   TR  7   CH  7   NT  D--         23/96   voff=0
BA    3   CR         1   TR  7   CH  7   NT  A--         23/96   voff=0
BA    3   CR         1   TR  9   CH 10   NT  B---        47/96   voff=0
BA    3   CR         1   TR  9   CH 10   NT  C--         47/96   voff=0
BA    3   CR     1+1/4   TR  8   CH  8   NT  A--         23/96   voff=0
BA    3   CR     1+1/4   TR  8   CH  8   NT  D--         23/96   voff=0
BA    3   CR     1+1/2   TR  2   CH  2   NT  A--         23/96   voff=0
BA    3   CR     1+1/2   TR  2   CH  2   NT  D--         23/96   voff=0
BA    3   CR     1+1/2   TR  7   CH  7   NT  D--         23/96   voff=0
BA    3   CR     1+1/2   TR  7   CH  7   NT  A--         23/96   voff=0
BA    3   CR     1+1/2   TR  9   CH 10   NT  B---        47/96   voff=0
BA    3   CR     1+1/2   TR  9   CH 10   NT  C--         47/96   voff=0
BA    3   CR     1+3/4   TR  8   CH  8   NT  A--         23/96   voff=0
BA    3   CR     1+3/4   TR  8   CH  8   NT  D--         23/96   voff=0
BA    3   CR         2   TR  2   CH  2   NT  A--         23/96   voff=0
BA    3   CR         2   TR  2   CH  2   NT  D--         23/96   voff=0
BA    3   CR         2   TR  6   CH  6   NT  E           23/96   von=97   voff=0
BA    3   CR         2   TR  7   CH  7   NT  D--         23/96   voff=0
BA    3   CR         2   TR  7   CH  7   NT  A--         23/96   voff=0
BA    3   CR         2   TR  9   CH 10   NT  B---        47/96   von=96
BA    3   CR         2   TR  9   CH 10   NT  F#--        47/96   von=97   voff=0
BA    3   CR     2+1/4   TR  8   CH  8   NT  A--         23/96   voff=0
BA    3   CR     2+1/4   TR  8   CH  8   NT  D--         23/96   voff=0
BA    3   CR     2+1/2   TR  2   CH  2   NT  A--         23/96   von=64   voff=0
BA    3   CR     2+1/2   TR  2   CH  2   NT  D--         23/96   voff=0
BA    3   CR     2+1/2   TR  6   CH  6   NT  E           23/96   voff=0
BA    3   CR     2+1/2   TR  7   CH  7   NT  D--         23/96   von=64   voff=0
BA    3   CR     2+1/2   TR  7   CH  7   NT  A--         23/96   voff=0
BA    3   CR     2+1/2   TR  9   CH 10   NT  B---        47/96   von=96
BA    3   CR     2+1/2   TR  9   CH 10   NT  F#--        47/96   von=97   voff=0
BA    3   CR     2+3/4   TR  8   CH  8   NT  A--         23/96   von=64   voff=0
BA    3   CR     2+3/4   TR  8   CH  8   NT  D--         23/96   voff=0
BA    3   CR         3   TR  2   CH  2   NT  A--         71/96   von=96   voff=0
BA    3   CR         3   TR  2   CH  2   NT  D--         71/96   voff=0
BA    3   CR         3   TR  4   CH  4   NT  D--         23/96   von=96
BA    3   CR         3   TR  5   CH  5   NT  D--         23/96   von=96
BA    3   CR         3   TR  6   CH  6   NT  D-          23/96   voff=0
BA    3   CR         3   TR  7   CH  7   NT  D--         71/96   von=96   voff=0
BA    3   CR         3   TR  7   CH  7   NT  A--         71/96   voff=0
BA    3   CR         3   TR  9   CH 10   NT  B---        47/96   voff=0
BA    3   CR         3   TR  9   CH 10   NT  C--         47/96   voff=0
BA    3   CR     3+1/4   TR  8   CH  8   NT  A--         71/96   von=96   voff=0
BA    3   CR     3+1/4   TR  8   CH  8   NT  D--         71/96   voff=0
BA    3   CR     3+1/2   TR  9   CH 10   NT  B---        47/96   voff=0
BA    3   CR     3+1/2   TR  9   CH 10   NT  C--         47/96   voff=0

BA    4   CR         0   TR  2   CH  2   NT  A--         23/96   voff=0
BA    4   CR         0   TR  2   CH  2   NT  D--         23/96   voff=0
BA    4   CR         0   TR  6   CH  6   NT  E           23/96   voff=0
BA    4   CR         0   TR  7   CH  7   NT  D--         23/96   voff=0
BA    4   CR         0   TR  7   CH  7   NT  A--         23/96   voff=0
BA    4   CR         0   TR  9   CH 10   NT  B---        47/96   von=96
