format=1 tracks=9 division=96

BA    1   CR         0   TR  8   CH 16   ST &EF &56 &2A
BA    1   CR         0   TR  8   CH 16   ST &BF &65 &00
BA    1   CR         0   TR  8   CH 16   ST &BF &64 &00
BA    1   CR         0   TR  8   CH 16   ST &BF &06 &0C
BA    1   CR         0   TR  8   CH 16   ST &BF &0A &3F
BA    1   CR         0   TR  8   CH 16   Channel volume 100
BA    1   CR         0   TR  8   CH 16   ST &EF &56 &2A
BA    1   CR         0   TR  8   CH 16   Instrument 1
BA    1   CR         0   TR  8   CH 16   ST &BF &65 &00
BA    1   CR         0   TR  8   CH 16   ST &BF &64 &00
BA    1   CR         0   TR  8   CH 16   ST &BF &06 &0C
BA    1   CR         0   TR  8   CH 16   ST &BF &0A &3F
BA    1   CR         0   TR  8   CH 16   Channel volume 100
BA    1   CR         0   TR  8   CH 16   ST &EF &56 &2A
BA    1   CR         0   TR  8   CH 16   Instrument 1
BA    1   CR         0   TR  8   CH 16   ST &BF &65 &00
BA    1   CR         0   TR  8   CH 16   ST &BF &64 &00
BA    1   CR         0   TR  8   CH 16   ST &BF &06 &0C
BA    1   CR         0   TR  8   CH 16   ST &BF &0A &3F
BA    1   CR         0   TR  8   CH 16   Channel volume 100
BA    1   CR         0   TR  8   CH 16   ST &EF &56 &2A
BA    1   CR         0   TR  8   CH 16   Instrument 1
BA    1   CR       1/2   TR  3   CH  3   NT  C-          47/96   voff=0
BA    1   CR       1/2   TR  3   CH  3   NT  F-          47/96   voff=0
BA    1   CR       1/2   TR  3   CH  3   NT  C-          47/96   voff=0
BA    1   CR       1/2   TR  4   CH  4   NT  C-          47/96   voff=0
BA    1   CR       1/2   TR  4   CH  4   NT  F-          47/96   voff=0
BA    1   CR       1/2   TR  4   CH  4   NT  C-          47/96   voff=0
BA    1   CR       1/2   TR  7   CH 10   NT  F#--        23/96   voff=0
BA    1   CR         1   TR  3   CH  3   NT  C#-         47/96   voff=0
BA    1   CR         1   TR  3   CH  3   NT  F#-         47/96   voff=0
BA    1   CR         1   TR  3   CH  3   NT  C#-         47/96   voff=0
